abil_skill_acidburstclose_name	酸液爆发
abil_skill_bedofthorns_name	荆棘之床
abil_skill_bedofthorns_shortdesc	用死亡荆棘覆盖一片区域。
abil_skill_bladewall4_name	刀刃之墙
abil_skill_bladewave_name	暗影波
abil_skill_bleedbonus_desc	^number1^几率在攻击时造成流血伤害。
abil_skill_blessedhammer_desc	扔出一个会返回的造成神圣伤害的锤子。若神圣光环激活，每个锤子都会消耗一点愤怒值造成额外伤害。
abil_skill_blessedhammer_extradesc	伤害：每回合造成^number1^武器威力和^number2^精神力的电属性伤害。消耗骑士之怒，造成^number3^伤害。
abil_skill_blessedhammer_name	神圣之锤
abil_skill_blessedhammer_shortdesc	召唤一个回旋锤，造成伤害。
abil_skill_blessedpool_name	圣泉涌动
abil_skill_blessedpool_shortdesc	制造一片蔓延的圣水，当你呆在其中时每回合都会受到治疗。
abil_skill_bling_name	闪亮
abil_skill_blooddebts_desc	借取你最大生命值的^number1^的生命值，但归还时需付^number2^的利息。
abil_skill_blooddebts_extradesc	效果持续^number3^个回合。
abil_skill_blooddebts_name	鲜血债务
abil_skill_bloodlust_name	嗜血
abil_skill_bloodtracking_desc	（被动）击中敌人时，有^number1^几率对其进行追踪。敌人在接下来的^number2^回合持续可见，并对其造成^number3^额外伤害。
abil_skill_bloodtracking_name	血色印记
abil_skill_boostmorale_name	士气加成
abil_skill_bowmastery1_desc	向周围一名随机敌人射出一支箭，然后跳到一个相邻的格子。移动攻击！
abil_skill_bowmastery1_name	跳跃射击
abil_skill_bowmastery1_shortdesc	射击一个附近的随机敌人并跳到一个相邻的格子。
abil_skill_bowmastery2_desc	（无费用被动）装备弓，对落单（周围没有其他怪物）的敌人造成^number1^额外伤害。
abil_skill_bowmastery2_name	掠食者
abil_skill_bowmastery3_desc	（无费用被动）如果敌人在你的攻击范围内使用技能，你将会有^number1^的几率打断它。该被动只在装备弓时触发。
abil_skill_bowmastery3_name	散兵
abil_skill_bowmastery4_desc	在一段时间内，你的每次攻击都会召唤在下回合来袭的箭雨。
abil_skill_bowmastery4_extradesc	在正面^number1^格范围内召唤箭矢，每一发在击中时造成^number2^武器威力的伤害。
abil_skill_bowmastery4_name	箭雨风暴
abil_skill_brigandbomber_desc	^fp在你使用障眼突刺或踏影突进时，你会自动扔下一个火炸弹。
abil_skill_brigandbomber_name	暗影炸弹
abil_skill_brigandbonus2_desc	（触发能力）激活时，你新造成的流血将以毒伤代替物理伤害。
abil_skill_brigandbonus2_name	致毒武器
abil_skill_buildplanks_name	填海造陆
abil_skill_buildplanks_shortdesc	在水面上制造一块木板，你可以像走在陆地上一样走在上面。
abil_skill_bullrush_name	公牛冲锋
abil_skill_bullseye_name	靶心
abil_skill_burnshot_name	灼热射击
abil_skill_caltrops_shortdesc	放置一堆能使敌人流血和减速的尖状物。
abil_skill_campfirecheese_name	篝火奶酪
abil_skill_campfiredessert_name	篝火甜点
abil_skill_campfirefruit_name	篝火水果
abil_skill_campfiremeat_name	篝火烤肉
abil_skill_champfinder_name	声名狼藉
abil_skill_champnightmare2_name	三重暗影之握
abil_skill_champnightmare_name	暗影之握
abil_skill_champregenerate_name	再生中
abil_skill_charmsingle_shortdesc	扔出一小瓶烈酒吸引\n目标。
abil_skill_cheatdeath_desc	（被动）有一半的概论在受到致命伤害时留下1HP。
abil_skill_cheatdeath_extradesc	同时移除所有的负面效果。
abil_skill_cheatdeath_name	死亡欺诈
abil_skill_chemistheal_name	药水治疗
abil_skill_clawmastery1_extradesc	伤害提高^number1^，所有抗性提高^number2^。暂时无法被麻痹。无法移除自我封印效果。
abil_skill_clawmastery1_name	狂怒
abil_skill_clawmastery1_shortdesc	进入狂怒状态，提高你的攻击和防御，技能持续期间不能使用技能。
abil_skill_clawmastery2_desc	^fp当你使用爪类武器时，你对困惑免疫,并且你的伤害不会被降低。
abil_skill_clawmastery2_name	铁手
abil_skill_clawmastery3_desc	（无费用被动）装备爪，每次移动时，有^number1^几率斩击附近的敌人。
abil_skill_clawmastery3_name	剃刀舞步
abil_skill_clawmastery4_desc	跳向目标怪物，狂暴斩击目标以及附近的一切。暂时获得超级恢复力！
abil_skill_clawmastery4_extradesc	伤害：^number1^武器威力。在^number3^回合内，立即恢复^number2^受到的伤害。
abil_skill_clawmastery4_name	毁坏
abil_skill_clawmastery4_shortdesc	跳向目标怪物，狂暴斩击目标以及附近的一切。
abil_skill_cloakanddagger_2_desc	熟练地穿过两个敌人，交换位置并对它们造成流血。
abil_skill_cloakanddagger_2_extradesc	伤害：^number1^武器威力，附带轻度流血（每回合^number2^武器威力的伤害）。对烟雾中的敌人造成额外^number3^伤害。
abil_skill_cloakanddagger_2_shortdesc	交换同一排的两个目标的位置，需要两个不同目标。
abil_skill_cloakanddagger_desc	熟练的穿过一个敌人，交换位置并使其流血！
abil_skill_cloakanddagger_extradesc	伤害：^number1^武器威力的武器自带属性伤害，附带轻度流血（每回合^number2^武器威力的伤害）。对烟雾中的敌人额外造成^number3^伤害。
abil_skill_cloakanddagger_shortdesc	与一个敌人交换位置并攻击。
abil_skill_confuse_desc	用戏法糊弄周围的敌人。使敌人不知道如何移动和攻击！
abil_skill_confuse_name	变戏法
abil_skill_confuse_shortdesc	迷惑敌人——他们会乱走并攻击对方！
abil_skill_constrict_name	压缩
abil_skill_crabgrab_name	蟹钳擒抓
abil_skill_createillusions_name	制造幻象
abil_skill_createwhirlwinds_name	召唤风暴
abil_skill_creepingdeath_desc	召唤一个小巧却致命的植物迅速向外生长并撕碎你的敌人！
abil_skill_creepingdeath_extradesc	伤害：每回合造成^number1^精神力的毒属性伤害。
abil_skill_creepingdeath_name	死亡蔓延
abil_skill_creepingdeath_shortdesc	召唤一个能向外蔓延的植物。
abil_skill_crystalshift_2_desc	移动你的符文水晶，对其移动路径上的敌人造成伤害，同时增加你的水晶的防御。
abil_skill_crystalshift_2_extradesc	造成^number1^武器威力的物理伤害。水晶的防御提高^number2^。
abil_skill_crystalshift_2_name	水晶转移
abil_skill_crystalshift_2_shortdesc	移动你的附文水晶，对路径上的敌人造成伤害。
abil_skill_crystalshift_extradesc	造成^number1^武器威力的物理伤害。
abil_skill_daggermastery1_desc	快速的攻击一个附近的敌人，你可以很快的回复并再进行一个额外的回合。
abil_skill_daggermastery1_name	闪电刺击
abil_skill_daggermastery1_shortdesc	攻击一个附近的敌人并进行一个额外的回合。
abil_skill_daggermastery2_desc	^fp当你双持匕首时，降低精准与伤害惩罚。
abil_skill_daggermastery2_name	双持专精
abil_skill_daggermastery3_desc	（无费用被动）装备匕首时，每次对同一目标进行普通攻击，提高^number1^暴击几率，最多提高^number2^。
abil_skill_daggermastery3_name	致命弱点
abil_skill_daggermastery4_desc	在眨眼之间攻击和移动三次，不消耗回合数，并且获得^number2^充能。
abil_skill_daggermastery4_extradesc	伤害：每一击造成^number1^武器威力的伤害。匕首可叠加伤害加成。
abil_skill_daggermastery4_name	神速突袭
abil_skill_daggermastery4_shortdesc	移动到三个目标并做出三次攻击。不消耗你的回合。
abil_skill_darkbling_name	漆黑闪亮
abil_skill_deadlyfocus_desc	（被动）暴击时减少1秒的冷却时间。
abil_skill_deadlyfocus_name	致命目标
abil_skill_delayedteleport_extradesc	传送会在^number1^回合后发动。
abil_skill_delayedteleport_name	延时传送
abil_skill_delayedteleport_shortdesc	在短暂延迟后，将你传送到目标区域。
abil_skill_destroyerlaserwall_name	法斯玛之墙
abil_skill_destroywall_name	摧毁墙壁
abil_skill_destroywall_shortdesc	摧毁一个单位的墙壁。
abil_skill_detectweakness_desc	（被动）当你发现敌人时，你会周期性的发现和标记他们的弱点。攻击弱点可以造成额外的伤害！
abil_skill_detectweakness_extradesc	从弱点方向被标记的怪物造成额外^number1^伤害。
abil_skill_detectweakness_name	洞悉弱点
abil_skill_detonatevines_2_desc	引爆一个召唤的藤蔓，喷射荆棘和残骸！对爆炸周围的敌人造成伤害。
abil_skill_detonatevines_2_extradesc	爆炸伤害：^number1^精神力的火属性伤害。毒属性伤害：^number2^精神力的毒属性伤害。
abil_skill_detonatevines_2_name	荆棘爆破
abil_skill_detonatevines_2_shortdesc	引爆目标藤蔓对周围敌人在成伤害与中毒。
abil_skill_detonatevines_desc	引爆一个已召唤的藤蔓，喷射荆棘和残骸！对爆炸周围的敌人造成伤害。
abil_skill_detonatevines_extradesc	伤害：^number1^精神力的火属性伤害。
abil_skill_detonatevines_shortdesc	引爆目标藤蔓造成范围伤害。
abil_skill_divineprotection_desc	（被动）^number1^几率使敌人的暴击无效。
abil_skill_divineprotection_name	神圣保护
abil_skill_divineretribution_desc	召唤圣光攻击并削弱敌人！消耗的每一点愤怒值都会制造一道额外的闪电攻击随机敌人。
abil_skill_divineretribution_extradesc	伤害：每发造成^number1^武器威力和^number2^精神力的电属性伤害。降低目标^number3^防御。
abil_skill_divineretribution_shortdesc	召唤圣光攻击敌人！
abil_skill_dodgebuff_name	闪避加成
abil_skill_doubledown_2_desc	消耗^number1^最大生命值；如果你在^number2^回合内受到超过消耗的生命值的伤害，释放火焰冲击伤害周围敌人，并恢复^number1^生命值。
abil_skill_doubledown_2_extradesc	伤害：^number3^武器威力和^number3^精神力的火属性伤害。
abil_skill_doubledown_2_name	双倍下注
abil_skill_doubledown_desc	消耗^number1^最大生命值；如果你在^number2^回合内受到超过消耗量的伤害，放出火焰冲击伤害周围的敌人。
abil_skill_doubledown_extradesc	伤害：^number3^武器威力和^number4^精神力的火属性伤害。
abil_skill_dreaddarts_shortdesc	扔出飞镖造成持续性的强力暗影伤害。
abil_skill_dreamdrum_shortdesc	结束你目前的道具之梦并且返还你的道具装备（未升级）
abil_skill_dronereset25_name	无人机重置25
abil_skill_droneswarm_name	无人机群
abil_skill_dropice_name	滑溜步伐
abil_skill_dustinthewind_desc	短暂的提高你的招架概率，在反击中加入风属性伤害。
abil_skill_dustinthewind_extradesc	招架提高^number1^。风之反击造成^number2^武器威力的电属性伤害。
abil_skill_dustinthewind_name	风之尘埃
abil_skill_dustinthewind_shortdesc	提高招架概率及反击伤害。
abil_skill_eagleeye_desc	显示一块区域：你可以在一小段时间内一直看到这片区域内的东西。
abil_skill_eagleeye_extradesc	效果持续^number1^个回合。
abil_skill_eagleeye_name	鹰眼
abil_skill_eagleeye_shortdesc	显示一块区域：你可以一直看到这片区域内的东西
abil_skill_echobolts_desc	（可开关）将收集到的魂之回响转化为能量灌注到你的远程攻击中。每次攻击消耗一个魂之回响造成额外伤害，同时降低怪物的元素抗性。
abil_skill_echobolts_extradesc	额外伤害：^number1^武器威力和^number2^精神力的暗属性伤害。降低^number3^元素抗性。
abil_skill_echobolts_name	回响弩矢
abil_skill_elemdebuff1_name	元素减益效果
abil_skill_energyburst_name	能量爆发
abil_skill_entrepreneur_name	商人
abil_skill_eregen_name	能量回复
abil_skill_escapeartist_2_desc	从一个敌人头顶跳过以躲避危险并击晕他。
abil_skill_escapeartist_2_extradesc	伤害：^number1^武器威力，附加轻度流血（每回合^number2^武器威力伤害）。
abil_skill_escapeartist_2_name	逃脱大师
abil_skill_escapeartist_2_shortdesc	从敌人头顶跳过到开阔的地方。
abil_skill_escapeartist_desc	从一个敌人头顶跳过躲避危险并击昏他。
abil_skill_escapedungeon_name	逃离地下城
abil_skill_escapedungeon_shortdesc	在短暂延迟后逃离地下城
abil_skill_fanofknives_desc	向周围敌人扔出刀片。对流血单位造成更多伤害，让没有流血的单位流血。
abil_skill_fanofknives_extradesc	伤害：^number1^武器威力的物理伤害。如果目标在流血，额外造成^number2^伤害。
abil_skill_fanofknives_name	刀扇
abil_skill_fanofknives_shortdesc	攻击范围内所有敌人，造成流血效果，对流血单位造成额外伤害。
abil_skill_fastlearner_desc	获得更多的职业点数（JP）
abil_skill_fastlearner_name	快速学习
abil_skill_fatchance_desc	（被动）有^number1^几率在吃过食物后不会有饱腹感，可以立刻吃更多的食物。
abil_skill_fatchance_name	再来一瓶
abil_skill_feralfighting_desc	（触发能力）使用野兽般的战斗风格，消耗^number2^体力在每次近战攻击时附加一次撕咬。
abil_skill_feralfighting_extradesc	撕咬伤害：^number1^武器威力的物理伤害。
abil_skill_feralfighting_name	野性战意
abil_skill_finalsummonicejellies_name	召唤霜冻史莱姆
abil_skill_firearmor_name	燃烧铠甲
abil_skill_firebreath1_name	火焰吐息
abil_skill_firebuff_name	燃烧之手
abil_skill_fireburst_name	火焰爆发
abil_skill_fireburst_passive_name	火焰爆发
abil_skill_fireburstranged_name	火焰爆破
abil_skill_fireclaw_name	火焰爪
abil_skill_fireevocation_desc	用熔火元素冲击并造成持续烧伤（可用法形强化！）
abil_skill_fireevocation_extradesc	伤害：^number1^精神力的火属性伤害，烧伤造成每回合^number2^精神力的伤害。
abil_skill_fireevocation_shortdesc	用熔火冲击（可用法形强化！）
abil_skill_fish_name	海鱼
abil_skill_fishbleedproc_name	利齿
abil_skill_fishrush_name	鱼类冲刺
abil_skill_fistmastery1_name	飞毛腿
abil_skill_fistmastery1_shortdesc	腾空而起，沿着一条直线飞行，踢飞途中的敌人！
abil_skill_fistmastery2_desc	（无费用被动）空手时提高^number1^暴击伤害。技能的暴击伤害提高^number2^。
abil_skill_fistmastery2_name	暗杀拳
abil_skill_fistmastery3_desc	^fp徒手攻击敌人能提升自信并提高伤害和防御。
abil_skill_fistmastery3_name	斗神之魂
abil_skill_fistmastery4_name	过肩摔
abil_skill_fistmastery4_shortdesc	跃向一个敌人，将敌人抛向空中再甩向地面，造成巨大伤害。
abil_skill_fivefootstep_desc	在敌人反应之前快速的移动一步。
abil_skill_fivefootstep_name	快步
abil_skill_fivefootstep_shortdesc	在敌人反应之前快速移动一步。
abil_skill_flamecocktail2_shortdesc	大爆炸！
abil_skill_flameserpent_desc	划过空气制造几条火蛇环绕着你。攻击受火焰影响的敌人会造成额外的伤害。
abil_skill_flameserpent_extradesc	伤害：每回合造成^number1^武器威力的火属性伤害。燃烧的敌人从你的攻击中额外受到^number2^火属性伤害。
abil_skill_flameserpent_shortdesc	划过空气制造火蛇和你一起移动。
abil_skill_flameskin_name	火焰肌肤
abil_skill_flameslash_name	烈火斩
abil_skill_floracondathorns_name	荆棘护盾
abil_skill_flurryofbites_desc	疯狂撕咬附近的敌人四次！可能会撕咬同一敌人，有^number3^几率咬偏。如果有流血敌人在附近，攻击力提高。
abil_skill_flurryofbites_extradesc	伤害：^number1^武器威力的物理伤害。如果有流血敌人在附近，嗜血状态使伤害提高^number2^。
abil_skill_flurryofbites_name	狂乱啃咬
abil_skill_flurryofbites_shortdesc	狂乱地啃咬附近的敌人4次；有可能多次击中同一个目标。
abil_skill_fly_name	飞
abil_skill_foodlover_name	食物爱好者
abil_skill_forcefield_name	力能场
abil_skill_fortify_desc	（触发能力）把^number1^受到的伤害转移到符文水晶。
abil_skill_fortify_extradesc	伤害转移会先计算你的减伤。
abil_skill_fortify_name	加固
abil_skill_freezeshot_name	冰冻射击
abil_skill_freezevial_shortdesc	用致命的碎冰片在区域爆裂并减速敌人！
abil_skill_friendlysludgehit_name	污泥攻击
abil_skill_froghop_name	蛙跳
abil_skill_fungaldestruct_name	真菌爆发
abil_skill_fungalpull_name	真菌拉拽
abil_skill_fungalregen_name	真菌再生
abil_skill_fungalspores_name	真菌孢子
abil_skill_fungalspread_name	传播真菌
abil_skill_furiouscrescendo_desc	进行一次宽广的斩击同时中止歌曲，斩击的范围与威力随歌曲强度增长而增长。
abil_skill_furiouscrescendo_extradesc	伤害：^number1^武器威力和每级战歌^number2^伤害。
abil_skill_furiouscrescendo_name	怒火中烧
abil_skill_furiouscrescendo_shortdesc	宽广的斩击，同时中断演奏；斩击的范围与威力虽歌曲强度增加而增加。
abil_skill_gamblercrit_name	赌客之力
abil_skill_gloriousbattler_desc	（被动）每打败一个有价值的敌人，你目前激活的歌曲提升一个等级并获得^number1^充能。
abil_skill_gloriousbattler_name	光辉武者
abil_skill_goldaura_name	黄金
abil_skill_goldhop_name	金色跳跃
abil_skill_goldtoss_desc	把钱甩在敌人脸上！撒出（^number1^ x Level）金币，伤害均摊在被击中的敌人身上。
abil_skill_goldtoss_extradesc	伤害：^number1^ x Level的物理伤害。
abil_skill_goldtoss_name	金钱炸弹
abil_skill_grapplinghook_desc	将你拉向墙壁！
abil_skill_grapplinghook_name	抓钩
abil_skill_grapplinghook_shortdesc	将你拉向墙壁旁的一个空白格子。
abil_skill_gravitysurge_2_desc	以你的符文水晶为中心制造一股重力涌动，把附近敌人拉向中心并降低它们的雷电防御。如果你的符文水晶被摧毁,则此技能以你为中心施放。
abil_skill_gravitysurge_2_extradesc	电属性抗性降低^number1^。
abil_skill_gravitysurge_2_name	重力立场
abil_skill_gravitysurge_2_shortdesc	以你的符文水晶为中心制造一股重力涌动(如果你没有符文水晶,则以你为中心施放)，把附近敌人拉向中心并降低它们的雷电防御。
abil_skill_gravitysurge_desc	在你的符文水晶旁制造一个重力立场，拉近并禁锢所有的敌人。若你的符文水晶被摧毁了则以你为中心施放重力立场。
abil_skill_gravitysurge_extradesc	困住敌人^number1^回合。
abil_skill_gravitysurge_shortdesc	在你的符文水晶旁制造重力立场（如果没有，则目标为你），拉近并禁锢所有敌人。
abil_skill_grottosting_name	飞蝇钉刺
abil_skill_gustjump_name	风暴跳跃
abil_skill_hailofarrows_2_desc	向天射出数箭，^number2^回合后落下。
abil_skill_hailofarrows_2_name	箭雨
abil_skill_hailofarrows_desc	朝天射出箭矢，在^number1^回合后落下。
abil_skill_hailofarrows_extradesc	伤害：^number2^武器威力的伤害。
abil_skill_harrier_name	侵略者
abil_skill_hastepotion_name	极速
abil_skill_haunt_name	缠扰
abil_skill_hazardsweep_desc	（被动）当走在召唤出的灾祸或者伤害源上时，有^number1^的几率摧毁它。
abil_skill_hazardsweep_name	危险扫荡
abil_skill_healingwaters_name	治疗之水
abil_skill_heartysandwich_name	丰盛的三明治
abil_skill_heavyarmormastery1_desc	（无费用被动）装备重甲时，每一经验等级降低^number1^元素伤害。
abil_skill_heavyarmormastery1_name	重甲大师
abil_skill_heavyguard_desc	（触发能力）提高盾牌格挡的几率，并降低暴击几率。每次格挡消耗^number1^体力，并产生一点骑士之怒。
abil_skill_heavyguard_extradesc	格挡几率提高^number2^。暴击几率减半。
abil_skill_heavyguard_name	重装防卫
abil_skill_hemorrhage_desc	攻击敌人弱点，导致敌人每一步都会流血。
abil_skill_hemorrhage_name	流血
abil_skill_hemorrhage_shortdesc	目标移动时会大流血。
abil_skill_herbforaging_desc	（被动）你对气味明锐的嗅觉让你在打败重要敌人后有机会获得回复草药。
abil_skill_herbforaging_extradesc	草药在你碰到时立即被使用,能提供50%的力量加成，但地上的草药只存在3回合时间。
abil_skill_herbforaging_name	觅食
abil_skill_highlandcharge_2_name	高地冲锋
abil_skill_highlandcharge_2_shortdesc	跳到目标格子，落地时造成基于你目前歌曲等级的伤害。
abil_skill_highlandcharge_extradesc	每一级战歌增加一层额外范围，下一次攻击增加^number1^额外伤害。
abil_skill_highlandcharge_shortdesc	向前冲锋一段距离并强化下次攻击，冲锋的距离与攻击强度随歌曲等级提升而提升。
abil_skill_holdthemoon_2_desc	在召回时，打击并致残你面前的敌人。
abil_skill_holdthemoon_2_extradesc	立即获得^number1^充能。
abil_skill_holdthemoon_2_name	抱月
abil_skill_holdthemoon_2_shortdesc	禁锢并对目标敌人施放减益魔法，然后退开。
abil_skill_holdthemoon_extradesc	困住目标并在接下来的^number2^回合降低其^number1^伤害。
abil_skill_hotstreak_2_desc	随机从三个方向中选一个猛冲，在你的身后留下火焰。
abil_skill_hotstreak_2_extradesc	火焰伤害：^number1^武器威力的火属性伤害。
abil_skill_hotstreak_2_name	火焰冲刺
abil_skill_hotstreak_2_shortdesc	随机从三个方向中选一个猛冲，在你的身后留下火焰。（可旋转）
abil_skill_hotstreak_desc	冲向^number1^个方向中的随机一个，在经过的路线上留下火焰。
abil_skill_hotstreak_extradesc	火焰伤害：^number2^武器威力的火属性伤害。
abil_skill_hotstreak_shortdesc	冲向^number1^个方向中的随机一个，在经过的路线上留下火焰。（可旋转）
abil_skill_hundredfists_2_desc	对邻近的一个敌人进行压倒性的一番打击。有几率打中随机穴位。
abil_skill_hundredfists_2_name	百练拳
abil_skill_hundredfists_2_shortdesc	攻击目标敌人你。有几率打中随机穴位。
abil_skill_hundredfists_desc	乱拳攻击一个附近的敌人，对相邻的目标也会造成伤害。
abil_skill_hundredfists_extradesc	伤害：^number1^武器威力的物理伤害，^number2^对相邻敌人伤害。
abil_skill_hundredfists_shortdesc	攻击目标敌人，造成溅射伤害。
abil_skill_hunterwolf_desc	召唤一个由原能组成的忠于你的狼在您身边为你战斗，并减速敌人。
abil_skill_hunterwolf_extradesc	基于你的等级。你一次只能召唤一只幽灵狼。
abil_skill_hunterwolf_name	召唤幽灵狼
abil_skill_iaijutsu_name	居合
abil_skill_icearmor_name	霜刺铠甲
abil_skill_iceboulders_name	冰十字
abil_skill_icecone_name	冰霜召唤
abil_skill_icedaggers_name	冰霜匕首
abil_skill_iceevocation_extradesc	伤害：^number1^精神力的水属性伤害。降低^number2^点精准并获得^number2^充能。
abil_skill_iceevocation_shortdesc	用寒冰冰冻敌人，减速并降低精准（可用法形强化！）
abil_skill_icemissile_desc	发射一支冰箭，造成伤害并用冰牢关注目标。
abil_skill_icemissile_extradesc	伤害：^number1^武器威力和^number2^精神力的水属性伤害。冰牢在破裂后会减速敌人。
abil_skill_icemissile_name	冰箭
abil_skill_icemissile_shortdesc	对第一个目标造成伤害，用冰关住它并在并被打破后减速它。
abil_skill_iceprison1_name	一级冰狱
abil_skill_iceprison2_name	二级冰狱
abil_skill_iceshot_name	冰锥射击
abil_skill_iceslimehop_name	冰冻史莱姆跳
abil_skill_iceslimesummonreaction_name	冰冻史莱姆喷射
abil_skill_icetortoise_2_desc	将气通过你的武器灌注到周围的空气中，把水蒸气凝结为冰晶碎片对敌人造成伤害。每块碎片都提高你的防御。
abil_skill_icetortoise_2_extradesc	伤害：每块碎片造成^number1^武器威力的水属性伤害。每块碎片提高^number2^防御。
abil_skill_icetortoise_2_name	冰玄武
abil_skill_icetortoise_2_shortdesc	划过空气去制造一个旋转的冰片。
abil_skill_icetortoise_desc	用气通过你的武器将空气凝固成有杀伤性的冰片。
abil_skill_icetortoise_extradesc	伤害：每块碎片造成^number1^武器威力的水属性伤害。
abil_skill_icetrapprison_name	冰狱陷阱
abil_skill_immunology_desc	（被动）^number1^几率无视负面状态，但负面状态的持续时间延长^number2^回合。
abil_skill_immunology_name	免疫学
abil_skill_improvedparry_desc	（被动）提高招架敌方来自不同方向攻击的几率。
abil_skill_improvedparry_name	招架提升
abil_skill_infuseflaskapple_name	苹果汁
abil_skill_intimidate_extradesc	^number1^几率使其恐惧，降低^number2^伤害。
abil_skill_intimidate_name	恐吓
abil_skill_intimidate_shortdesc	恐惧周围的敌人，降低他们的伤害并有一定概率使他们逃跑。
abil_skill_intimidating_name	闻风丧胆
abil_skill_ironbreathing_2_desc	用古老的秘笈消除所有的中毒状态，包括流血状态，如果有任何异常状态被移除则大大提升防御。（不再治疗自己。）
abil_skill_ironbreathing_2_extradesc	防御：^number2^回合内提高^number1^。
abil_skill_ironbreathing_2_name	钢铁之息
abil_skill_ironbreathing_2_shortdesc	消除流血和中毒状态，如果有异常状态被消除，则大大提高你的防御。
