abil_skill_acidburstclose_name	Estallido ácido
abil_skill_axemastery4_extradesc	Golpea automáticamente a todos los enemigos adyacentes cada turno con tu hacha por un ^number1^ de Poder de armas.
abil_skill_axemastery4_name	Torbellino
abil_skill_backstab_desc	(Passive) Deal bonus damage when attacking an enemy from different directions.
abil_skill_backstab_name	Backstab
abil_skill_balefulechoes_desc	¡Los ecos de batallas y conflictos acaecidos largo tiempo atrás causan dolencias varias a un grupo de enemigos! Consume una Carga de eco para añadir ^number1^ penalizaciones en vez de ^number2^.
abil_skill_balefulechoes_extradesc	Puede infligir Reducir ataque, Reducir defensa, Inmovilizar, Hechizar o Paralizar.
abil_skill_balefulechoes_name	Ecos siniestros
abil_skill_balefulechoes_shortdesc	Inflige penalizaciones aleatorias a los enemigos.
abil_skill_bananas_name	Plátano
abil_skill_banditshrapnelbomb_name	Bomba de metralla
abil_skill_banish_name	Expulsión
abil_skill_barrier2_name	Escudo de barrera
abil_skill_beartraps_2_desc	Crea ^number1^ trampas para osos que inmovilizan y hacen sangrar a los enemigos que pisan sobre ellas.
abil_skill_beartraps_2_name	Trampa para osos
abil_skill_beartraps_2_shortdesc	Crea ^number1^ trampas para osos que inmovilizan y hacen sangrar a los enemigos que pisan sobre ellas.
abil_skill_beartraps_desc	Crea ^number1^ trampas para osos que inmovilizan a los enemigos que pisan sobre ellas.
abil_skill_beartraps_shortdesc	Crea ^number1^ trampas para osos que inmovilizan a los enemigos que pisan sobre ellas.
abil_skill_bedofflames_name	Lecho flamígero
abil_skill_bedofthorns_desc	Llena una pequeña área con un lecho de espinas. ¡Inocuo para ti, pero no para los monstruos!
abil_skill_bedofthorns_extradesc	Daño: ^number1^ de Poder espiritual como Veneno por turno.
abil_skill_bedofthorns_name	Lecho de espinas
abil_skill_bedofthorns_shortdesc	Llena la zona de espinas mortíferas.
abil_skill_bladewall4_name	Muro de espadas
abil_skill_bladewave_name	Onda sombría
abil_skill_bleedbonus_desc	^number1^ de probabilidad de causar Hemorragias con ataques normales.
abil_skill_blessedhammer_desc	Lanza un martillo de ardiente energía divina que vuelve a ti tras recorrer una distancia. Si Aura radiante está activa, cada martillo consumirá una Carga airada para causar daño extra.
abil_skill_blessedhammer_extradesc	Daño: ^number1^ de Poder de armas y ^number2^ de Poder espiritual como Rayo por turno. Si se gasta una Carga airada, inflige ^number2^ de daño.
abil_skill_blessedhammer_name	Martillo bendito
abil_skill_blessedhammer_shortdesc	Invoca un martillo que se desplaza hacia delante y regresa mientras inflige daño.
abil_skill_blessedpool_name	Charca bendita
abil_skill_blessedpool_shortdesc	Crea una charca de agua bendita que se extiende y te cura cada turno que permanezcas en ella.
abil_skill_bling_name	Blin-blin
abil_skill_blooddebts_desc	Tomas prestados PV equivalentes al ^number1^ de tus PV máximos, pero tendrás que devolverlos con un ^number2^ de interés.
abil_skill_blooddebts_extradesc	El efecto dura ^number3^ turnos.
abil_skill_blooddebts_name	Deuda de sangre
abil_skill_bloodlust_name	Sed de sangre
abil_skill_bloodtracking_desc	(Pasiva) Tras golpear a un enemigo, hay una probabilidad del ^number1^ de seguirle el rastro. Permanece visible durante ^number2^ turnos y recibe ^number3^ de daño.
abil_skill_bloodtracking_name	Rastro de sangre
abil_skill_boostmorale_name	Mejorar moral
abil_skill_bowmastery1_desc	Disparas una flecha a un enemigo aleatorio en las inmediaciones y luego saltas a una casilla cercana. ¡Golpea y muévete!
abil_skill_bowmastery1_name	Disparo saltarín
abil_skill_bowmastery1_shortdesc	Disparas una flecha a un enemigo aleatorio en las inmediaciones y luego saltas a una casilla cercana.
abil_skill_bowmastery2_desc	^fp Al usar un arco, inflige ^number1^ de daño a enemigos aislados (que no tengan más enemigos alrededor).
abil_skill_bowmastery2_name	Depredadora
abil_skill_bowmastery3_desc	^fp Si un enemigo usa una habilidad dentro de tu área de ataque, tienes un ^number1^ de probabilidades de interrumpir esa habilidad. Solo se activa si usas un arco.
abil_skill_bowmastery3_name	Escaramuza
abil_skill_bowmastery4_desc	Durante un breve tiempo, cada uno de tus ataques invocará también flechas adicionales que caerán al turno siguiente.
abil_skill_bowmastery4_extradesc	Invocas flechas en tu casilla de ataque y hasta en un total de ^number1^ casillas frente a ti. Estás infligen ^number2^ de Poder de armas al aterrizar.
abil_skill_bowmastery4_name	Tormenta de flechas
abil_skill_brigandbomber_desc	^fp Lanza automáticamente una Bomba ígnea de fuerza media al usar Capa y espada o Paso sombrío.
abil_skill_brigandbomber_name	Bombardera sigilosa
abil_skill_brigandbonus2_desc	(Activable) Cuando está activa, tus efectos de Hemorragia recién aplicados infligen daño por Veneno en vez de daño Físico y ganas ^number1^ de daño por Veneno.
abil_skill_brigandbonus2_name	Envenenar arma
abil_skill_buildplanks_name	Construcción de tablones
abil_skill_buildplanks_shortdesc	Crea un sólido tablón sobre el agua por el que puedes caminar como en tierra firme.
abil_skill_bullrush_name	Embestida
abil_skill_bullseye_name	Diana
abil_skill_burnshot_name	Disparo calcinante
abil_skill_caltrops_shortdesc	Erige un campo de púas que hace sangrar y ralentiza a los enemigos.
abil_skill_campfirecheese_name	Queso de fogata
abil_skill_campfiredessert_name	Postre de fogata
abil_skill_campfirefruit_name	Fruta de fogata
abil_skill_campfiremeat_name	Carne de fogata
abil_skill_champfinder_name	Infame
abil_skill_champnightmare2_name	Agarre sombrío triple
abil_skill_champnightmare_name	Agarre sombrío
abil_skill_champregenerate_name	Regenerar
abil_skill_charmsingle_shortdesc	Lanza un vial de líquido que hechiza al objetivo.
abil_skill_cheatdeath_desc	(Pasiva) Obtén una probabilidad de 50/50 de sobrevivir a un daño letal conservando 1 PV.
abil_skill_cheatdeath_extradesc	También elimina todos los efectos de estado negativos.
abil_skill_cheatdeath_name	Burlar a la muerte
abil_skill_chemistheal_name	Curación con pociones
abil_skill_clawmastery1_extradesc	El daño aumenta un ^number1^, todas las resistencias aumentan un ^number2^. No puede recibir Parálisis mientras dure. No se puede eliminar el efecto de Autosellado. Cambiar a un arma que no sea una garra cancelará todo el efecto.
abil_skill_clawmastery1_name	Frenesí
abil_skill_clawmastery1_shortdesc	Se apodera de ti un frenesí guerrero que aumenta tu poder de combate y defensa, pero no te deja usar habilidades.
abil_skill_clawmastery2_desc	^fp No te pueden paralizar mientras uses una garra y no se puede reducir el daño que infliges.
abil_skill_clawmastery2_name	Agarre férreo
abil_skill_clawmastery3_desc	^fp Con cada paso que das mientras blandes una garra, tienes una probabilidad del ^number1^ de rajar a un enemigo adyacente.
abil_skill_clawmastery3_name	Paso de navaja
abil_skill_clawmastery4_desc	Salta hacia el monstruo indicado, acuchillándolo salvajemente a él y a todo lo que lo rodea al aterrizar. ¡Te proporciona temporalmente superregeneración!
abil_skill_clawmastery4_extradesc	Daño: ^number1^ de Poder de armas. La regeneración cura el ^number2^ del daño recibido instantáneamente durante ^number3^ turnos.
abil_skill_clawmastery4_name	Devastación
abil_skill_clawmastery4_shortdesc	Salta hacia el monstruo indicado, acuchillándolo salvajemente a él y a todo lo que lo rodea al aterrizar.
abil_skill_cloakanddagger_2_desc	¡Pasas con pericia junto a dos oponentes, intercambiando posiciones y haciéndolos sangrar en el proceso!
abil_skill_cloakanddagger_2_extradesc	Daño: ^number1^ de Poder de armas, añade una Hemorragia suave (^number2^ de Poder de armas por turno). Inflige ^number3^ más de daño a los enemigos en una nube de humo.
abil_skill_cloakanddagger_2_shortdesc	Intercambias posición con dos objetivos seguidos y los atacas. Requiere dos objetivos únicos.
abil_skill_cloakanddagger_desc	¡Pasas con pericia junto a un oponente, intercambiando posiciones y haciéndolo sangrar en el proceso!
abil_skill_cloakanddagger_extradesc	Daño: ^number1^ de Poder de armas como elemento del arma, añade una Hemorragia suave (^number2^ de Poder de armas por turno). Inflige ^number3^ de daño a los enemigos en una nube de humo.
abil_skill_cloakanddagger_shortdesc	Intercambias posición con el objetivo y lo atacas.
abil_skill_confuse_desc	Usa trucos para confundir a los enemigos cercanos. ¡Los monstruos confusos no saben a dónde moverse o a quién golpear!
abil_skill_confuse_name	Prestidigitación
abil_skill_confuse_shortdesc	Confunde a los enemigos: ¡tal vez se alejen o se ataquen entre sí!
abil_skill_constrict_name	Apretar
abil_skill_crabgrab_name	Pinza cangrejera
abil_skill_createillusions_name	Conjurar ilusiones
abil_skill_createwhirlwinds_name	Llamar tornados
abil_skill_creepingdeath_desc	¡Invoca una planta pequeña, pero letal, que se extiende rápidamente y destroza a tus enemigos!
abil_skill_creepingdeath_extradesc	Daño: ^number1^ de Poder espiritual por turno como Veneno.
abil_skill_creepingdeath_name	Muerte rastrera
abil_skill_creepingdeath_shortdesc	Invoca una planta rastrera que se extiende.
abil_skill_crystalshift_2_desc	Mueve tu Cristal rúnico e inflige daño a todos los enemigos que golpea en su camino mientras mejoras la defensa del cristal.
abil_skill_crystalshift_2_extradesc	Inflige ^number1^ de Poder de armas como Físico. La defensa de cristales aumenta un ^number2^.
abil_skill_crystalshift_2_name	Movimiento cristalino
abil_skill_crystalshift_2_shortdesc	Mueve tu Cristal rúnico e inflige daño a todos los enemigos que golpea en su camino.
abil_skill_crystalshift_extradesc	Inflige ^number1^ de Poder de armas como Físico.
abil_skill_daggermastery1_desc	Atacas a un enemigo cercano tan rápido que te recuperas de inmediato y recibes un turno extra.
abil_skill_daggermastery1_name	Golpe relámpago
abil_skill_daggermastery1_shortdesc	Ataca a un enemigo cercano y toma otro turno inmediatamente.
abil_skill_daggermastery2_desc	^fp Reduce las penalizaciones de precisión y daño al usar dagas dobles (en cualquier mano).
abil_skill_daggermastery2_name	Experta en armas dobles
abil_skill_daggermastery3_desc	^fp Mientras uses una daga, aumentas la probabilidad de golpe crítico con ataques regulares un ^number1^ con cada ataque al mismo objetivo, hasta un máximo del ^number2^.
abil_skill_daggermastery3_name	Debilidad crítica
abil_skill_daggermastery4_desc	¡Ataca y muévete tres veces en un abrir y cerrar de ojos sin gastar un turno!
abil_skill_daggermastery4_extradesc	Daño: ^number1^ de Poder de armas por ataque. Los ataques se benefician de las bonificaciones acumulables de la daga.
abil_skill_daggermastery4_name	Golpe afortunado
abil_skill_daggermastery4_shortdesc	Ataca tres veces, moviéndote hasta el objetivo correspondiente con cada golpe. Turno gratis.
abil_skill_darkbling_name	Blin-blin oscuro
abil_skill_deadlyfocus_desc	(Pasiva) Reduce 1 turno el tiempo de espera cuando asestas un golpe crítico.
abil_skill_deadlyfocus_name	Puntería letal
abil_skill_delayedteleport_extradesc	El teletransporte se activa ^number1^ turnos después de usar la habilidad.
abil_skill_delayedteleport_name	Teletransporte postergado
abil_skill_delayedteleport_shortdesc	Tras una breve demora, te teletransporta a la casilla indicada.
abil_skill_destroyerlaserwall_name	Muro de plasma
abil_skill_destroywall_name	Destruir muro
abil_skill_destroywall_shortdesc	Destruye una casilla de muro.
abil_skill_detectweakness_desc	(Pasiva) Cuando observas a los enemigos, encontrarás y marcarás periódicamente sus puntos vitales. ¡Golpea los puntos marcados para infligir más daño!
abil_skill_detectweakness_extradesc	Los monstruos marcados reciben ^number1^ más de daño de ataque de la dirección vulnerable.
abil_skill_detectweakness_name	Detectar debilidad
abil_skill_detonatevines_2_desc	¡Hace estallar una liana invocada y provoca una tormenta de espinas y astillas! Daña y envenena a los enemigos cercanos a la explosión.
abil_skill_detonatevines_2_extradesc	Daño de explosión: ^number1^ de Poder espiritual como Fuego. Daño por Veneno: ^number2^ de Poder espiritual como Veneno.
abil_skill_detonatevines_2_name	Explosión espinosa
abil_skill_detonatevines_2_shortdesc	Detona la liana invocada seleccionada para dañar y envenenar a los enemigos adyacentes.
abil_skill_detonatevines_desc	¡Hace estallar una liana invocada y provoca una tormenta de espinas y astillas! Daña a los enemigos en las inmediaciones.
abil_skill_detonatevines_extradesc	Daño: ^number1^ de Poder espiritual como Fuego.
abil_skill_detonatevines_shortdesc	Detona la liana invocada seleccionada para infligir daño en esa área.
abil_skill_divineprotection_desc	(Pasiva) Gana una probabilidad del ^number1^ de anular un golpe crítico enemigo.
abil_skill_divineprotection_name	Protección divina
abil_skill_divineretribution_desc	¡Invoca un rayo sagrado que golpea y penaliza a los enemigos! Cada Carga airada se gasta para darte un rayo extra que golpea aleatoriamente.
abil_skill_divineretribution_extradesc	Daño: ^number1^ de Poder de armas y ^number2^ de Poder espiritual como Rayo por descarga. Reduce la defensa del objetivo en ^number3^.
abil_skill_divineretribution_shortdesc	¡Invoca rayos sagrados para golpear a los enemigos!
abil_skill_dodgebuff_name	Potenciador de evasión
abil_skill_doubledown_2_desc	Gasta un ^number1^ de tus PV máximos; si recibes al menos esta cantidad de daño en ^number2^ turnos, ¡ataca con una llamarada que golpea a los enemigos adyacentes y recupera el ^number1^ gastado!
abil_skill_doubledown_2_extradesc	Daño: ^number3^ de Poder de armas y ^number3^ de Poder espiritual como Fuego.
abil_skill_doubledown_2_name	Doblar
abil_skill_doubledown_desc	Gasta un ^number1^ de tus PV máximos; si recibes al menos esta cantidad de daño en ^number2^ turnos, ¡ataca con una llamarada que golpea a todos los enemigos adyacentes!
abil_skill_doubledown_extradesc	Daño: ^number3^ de Poder de armas y ^number4^ de Poder espiritual como Fuego.
abil_skill_dreaddarts_shortdesc	Lanza saetas para infligir un potente daño de Sombras continuado.
abil_skill_dreamdrum_shortdesc	Finaliza de inmediato el Sueño de objeto actual y devuelve tu equipamiento (sin mejoras).
abil_skill_dronereset25_name	DroneReset25
abil_skill_droneswarm_name	Enjambre de drones
abil_skill_dropice_name	Paseo gélido
abil_skill_dustinthewind_desc	Aumenta temporalmente la probabilidad de detener ataques y añade un ataque de viento a tu contrataque.
abil_skill_dustinthewind_extradesc	Aumenta la parada en ^number1^. El Contraataque del viento genera ^number2^ de Poder de armas como Rayo.
abil_skill_dustinthewind_name	Polvo en el viento
abil_skill_dustinthewind_shortdesc	Mejora la parada y potencia los contraataques.
abil_skill_eagleeye_desc	Revelar un área: puedes ver siempre todo en esta área durante un breve tiempo.
abil_skill_eagleeye_extradesc	El efecto dura ^number1^ turnos.
abil_skill_eagleeye_name	Ojo de águila
abil_skill_eagleeye_shortdesc	Revelar un área: puedes ver siempre todo en esta área
abil_skill_echobolts_desc	(Activable) Transforma los Ecos reunidos en potencia extra para tus ataques a distancia. Usa un Eco por ataque a distancia para infligir daño extra y a la vez reduce la resistencia elemental del monstruo.
abil_skill_echobolts_extradesc	Daño extra: ^number1^ de Poder de armas y ^number2^ de Poder espiritual como Sombra. Reduce la defensa elemental un ^number3^.
abil_skill_echobolts_name	Dardos de eco
abil_skill_elemdebuff1_name	Penalizador elemental
abil_skill_energyburst_name	Estallido de energía
abil_skill_entrepreneur_name	Emprendedora
abil_skill_eregen_name	Regeneración de energía
abil_skill_escapeartist_2_desc	Rebotas sobre la cabeza de un enemigo para escapar del peligro y lo atacas en el proceso.
abil_skill_escapeartist_2_extradesc	Daño: ^number1^ de Poder de armas, añade una Hemorragia suave (^number2^ de Poder de armas por turno).
abil_skill_escapeartist_2_name	Artista de la fuga
abil_skill_escapeartist_2_shortdesc	Saltas de la cabeza del enemigo a un espacio abierto.
abil_skill_escapeartist_desc	Rebotas sobre la cabeza de un enemigo para escapar del peligro y lo aturdes en el proceso.
abil_skill_escapedungeon_name	Escape de la mazmorra
abil_skill_escapedungeon_shortdesc	Tras una breve demora, sales de la mazmorra.
abil_skill_fanofknives_desc	Lanza una lluvia de cuchillos a los enemigos cercanos. Inflige más daño a los enemigos sangrantes y hace sangrar a los que no lo estaban.
abil_skill_fanofknives_extradesc	Daño: ^number1^ de Poder de armas como Físico, ^number2^ si el objetivo está sangrando.
abil_skill_fanofknives_name	Abanico de puñales
abil_skill_fanofknives_shortdesc	Ataca a todos los enemigos en la zona e inflige más daño a los sangrantes. También añade estado de Hemorragia.
abil_skill_fastlearner_desc	Ganas más puntos de oficio (PO).
abil_skill_fastlearner_name	Buena aprendiza
abil_skill_fatchance_desc	(Pasiva) ^number1^ de probabilidad de que al comer no te llenes y puedas seguir comiendo de inmediato.
abil_skill_fatchance_name	Ni en broma
abil_skill_feralfighting_desc	(Activable) Empieza usando un estilo de lucha bestial que añade un mordisco extra a todos tus ataques cuerpo a cuerpo con un coste de ^number2^ de resistencia.
abil_skill_feralfighting_extradesc	Daño de mordisco: ^number1^ de Poder de armas como Físico.
abil_skill_feralfighting_name	Lucha salvaje
abil_skill_finalsummonicejellies_name	Invocar Mucílagas congeladas
abil_skill_firearmor_name	Armadura ígnea
abil_skill_firebreath1_name	Aliento de fuego
abil_skill_firebuff_name	Manos ígneas
abil_skill_fireburst_name	Estallido ígneo
abil_skill_fireburst_passive_name	Estallido ígneo
abil_skill_fireburstranged_name	Explosión de llamas
abil_skill_fireclaw_name	Garra de fuego
abil_skill_fireevocation_desc	Explosión con fuego líquido que deja una quemadura residual (¡permite elegir la forma del hechizo!)
abil_skill_fireevocation_extradesc	Daño: ^number1^ de Poder espiritual como Fuego; las quemaduras residuales generan ^number2^ de Poder espiritual por turno.
abil_skill_fireevocation_shortdesc	Explosión con fuego líquido (¡permite elegir la forma del hechizo!)
abil_skill_fish_name	Pescado en conserva
abil_skill_fishbleedproc_name	Colmillos afilados
abil_skill_fishrush_name	Estampida de peces
abil_skill_fistmastery1_name	Patada voladora
abil_skill_fistmastery1_shortdesc	¡Surca los aires a través de una línea de enemigos mientras los golpeas!
abil_skill_fistmastery2_desc	^fp El daño de golpes críticos aumenta un ^number1^ mientras estés desarmada. ^number2^ del daño por golpe crítico con habilidades.
abil_skill_fistmastery2_name	Puños de asesina
abil_skill_fistmastery3_desc	^fp Cada ataque mientras estés desarmada añade una unidad de Confianza, que aumenta el daño y la defensa.
abil_skill_fistmastery3_name	Espíritu de lucha
abil_skill_fistmastery4_name	Suplex
abil_skill_fistmastery4_shortdesc	¡Lánzate junto a un enemigo, da un gran salto y golpéalo al caer causando daños masivos!
abil_skill_fivefootstep_desc	Desplázate instantáneamente una casilla antes de que el enemigo reaccione.
abil_skill_fivefootstep_name	Paso rápido
abil_skill_fivefootstep_shortdesc	Te mueves rápido una distancia corta antes de que el enemigo pueda reaccionar.
abil_skill_flamecocktail2_shortdesc	¡Escupe fuego!
abil_skill_flameserpent_desc	Hiende el aire creando una línea flotante de llamas que se mueven contigo. Atacar a los enemigos dentro de las llamas les inflige daño extra.
abil_skill_flameserpent_extradesc	Daño: ^number1^ de Poder de armas como Fuego por turno. Los enemigos en llamas también reciben ^number2^ de daño de Fuego de tus ataques.
abil_skill_flameserpent_shortdesc	Hiende el aire para crear llamas que se mueven contigo.
abil_skill_flameskin_name	Piel flamígera
abil_skill_flameslash_name	Tajo ígneo
abil_skill_floracondathorns_name	Escudo de espinas
abil_skill_flurryofbites_desc	¡Muerde con saña a los enemigos cercanos cuatro veces! Puede morder al mismo enemigo repetidamente y tiene una probabilidad del ^number3^ de fallar. Te vuelve más fuerte durante un breve tiempo si hay enemigos cerca con Hemorragia.
abil_skill_flurryofbites_extradesc	Daño: ^number1^ de Poder de armas como Físico. El estado Sed de sangre aumenta el daño un ^number1^ si hay enemigos cerca con Hemorragia.
abil_skill_flurryofbites_name	Ráfaga de mordiscos
abil_skill_flurryofbites_shortdesc	Muerde con saña a los enemigos cercanos cuatro veces; a lo mejor muerde a alguno dos veces.
abil_skill_fly_name	Volar
abil_skill_foodlover_name	Comidista
abil_skill_forcefield_name	Campo de fuerza
abil_skill_fortify_desc	(Activable) Desvía ^number1^ del daño recibido a tu Cristal rúnico.
abil_skill_fortify_extradesc	El daño transferido pasa primero a través de tu mitigación.
abil_skill_fortify_name	Fortificar
abil_skill_freezeshot_name	Disparo helador
abil_skill_freezevial_shortdesc	¡Provoca en el área un estallido de letales esquirlas de hielo y ralentiza a los enemigos!
abil_skill_friendlysludgehit_name	Impacto de fango
abil_skill_froghop_name	Salto de rana
abil_skill_fungaldestruct_name	Explosión fúngica
abil_skill_fungalpull_name	Arrastre fúngico
abil_skill_fungalregen_name	Regeneración fúngica
abil_skill_fungalspores_name	Esporas fúngicas
abil_skill_fungalspread_name	Propagación fúngica
abil_skill_furiouscrescendo_desc	Asesta un amplio ataque cortante que pone la nota final a tu canción del momento y te da mayor alcance y poder en función de la intensidad de esta.
abil_skill_furiouscrescendo_extradesc	Daño: ^number1^ de Poder de armas, ^number2^ por nivel de canto.
abil_skill_furiouscrescendo_name	Crescendo furioso
abil_skill_furiouscrescendo_shortdesc	Amplio ataque cortante que finaliza tu canción; aumenta el alcance y poder en función de la intensidad de esta.
abil_skill_gamblercrit_name	Porrazo tahúr
abil_skill_gloriousbattler_desc	(Pasiva) Si vences a un monstruo que no sea inepto mientras tienes una canción activa, esta aumentará su intensidad y ganarás ^number1 TC.
abil_skill_gloriousbattler_name	Luchadora gloriosa
abil_skill_goldaura_name	Dorada
abil_skill_goldhop_name	Salto dorado
abil_skill_goldtoss_desc	¡Lanza dinero a los enemigos! Lanza (^number1^ x nivel) de oro, dividiendo el daño base a partes iguales entre los enemigos golpeados.
abil_skill_goldtoss_extradesc	Daño: ^number1^ x nivel como Físico.
abil_skill_goldtoss_name	Lanza oro
abil_skill_grapplinghook_desc	¡Desplázate hacia un muro!
abil_skill_grapplinghook_name	Garfio
abil_skill_grapplinghook_shortdesc	Te desplazas hasta una casilla vacía junto a cualquier muro.
abil_skill_gravitysurge_2_desc	Crea una ola gravitatoria desde tu Cristal rúnico que atrae a los enemigos cercanos y reduce su resistencia al Rayo. Si tu Cristal rúnico está destrozado, se centra en ti.
abil_skill_gravitysurge_2_extradesc	La resistencia al Rayo baja un ^number1^.
abil_skill_gravitysurge_2_name	Ola gravitatoria
abil_skill_gravitysurge_2_shortdesc	Crea una ola gravitatoria desde tu Cristal rúnico (o de ti, si no tienes uno) que atrae a los enemigos cercanos y reduce su resistencia al Rayo.
abil_skill_gravitysurge_desc	Crea una ola gravitatoria desde tu Cristal rúnico que atrae e inmoviliza a los enemigos cercanos. Si tu Cristal rúnico está destrozado, se centra en ti.
abil_skill_gravitysurge_extradesc	Inmoviliza a los enemigos durante ^number1^ turno.
abil_skill_gravitysurge_shortdesc	Crea una ola gravitatoria de tu Cristal rúnico (o de ti, si no tienes uno) que atrae e inmoviliza a los enemigos cercanos.
abil_skill_grottosting_name	Aguijón volador
abil_skill_gustjump_name	Salto tornado
abil_skill_hailofarrows_2_desc	Dispara flechas al aire que aterrizan ^number2^ turnos más tarde.
abil_skill_hailofarrows_2_name	Lluvia de flechas
abil_skill_hailofarrows_desc	Dispara flechas al aire que aterrizan ^number1^ turnos más tarde.
abil_skill_hailofarrows_extradesc	Daño: ^number2^ de Poder de armas.
abil_skill_harrier_name	Velocista
abil_skill_hastepotion_name	Prisa
abil_skill_haunt_name	Aparición
abil_skill_hazardsweep_desc	(Pasiva) Al caminar sobre un peligro o fuente de daño invocados, tienes una probabilidad del ^number1^ de destruirlos.
abil_skill_hazardsweep_name	Barrido de peligros
abil_skill_healingwaters_name	Aguas curativas
abil_skill_heartysandwich_name	Sándwich contundente
abil_skill_heavyarmormastery1_desc	^fp Mientras lleves una armadura pesada, el daño elemental se reduce un ^number1^ por nivel de experiencia.
abil_skill_heavyarmormastery1_name	Dominio de armaduras pesadas
abil_skill_heavyguard_desc	(Activable) Aumenta la probabilidad de bloquear con el escudo, pero reduce las posibilidades de golpe crítico. El bloqueo consume ^number1^ de Resistencia. Genera una Carga airada en bloque.
abil_skill_heavyguard_extradesc	La probabilidad de bloquear aumenta en ^number2^. La probabilidad crítica se reduce a la mitad.
abil_skill_heavyguard_name	Guardia pesada
abil_skill_hemorrhage_desc	Strikes an enemy's vital spot, causing them to bleed heavily with each step.
abil_skill_hemorrhage_name	Hemorrhage
abil_skill_hemorrhage_shortdesc	Inflict heavy bleed when target moves.
abil_skill_herbforaging_desc	(Pasiva) Tu agudo sentido del olfato te hace encontrar de cuando en cuando hierbas curativas al derrotar a enemigos que no sean triviales.
abil_skill_herbforaging_extradesc	Estas actúan como potenciadores de fuerza media y se usan instantáneamente al tocarlas, pero solo duran tres turnos en el suelo.
abil_skill_herbforaging_name	Buscar alimento
abil_skill_highlandcharge_2_name	Carga de las Tierras Altas
