abil_skill_acidburstclose_name	Säurestoß
abil_skill_divineretribution_extradesc	Schaden: ^number1^ der Waffenstärke und ^number2^ der Geisteskraft als Blitz für jeden Einschlag. Reduziert die Abwehr des Ziels um ^number3^.
abil_skill_divineretribution_shortdesc	Beschwört heilige Blitzschläge, die angreifen!
abil_skill_dodgebuff_name	Ausweichprofi
abil_skill_doubledown_2_desc	Gib ^number1^ deiner max. Gesundheit aus; wenn du innerhalb von ^number2^ Zg. mindestens so viel Schaden nimmst, greife mit einem feurigen Schlag an, der benachbarte Gegner trifft, und erhalte die ausgegebenen ^number1^ wieder zurück!
abil_skill_doubledown_2_extradesc	Schaden: ^number3^ der Waffenstärke und ^number3^ der Geisteskraft als Feuer.
abil_skill_doubledown_2_name	Feuriger Einsatz
abil_skill_doubledown_desc	Gib ^number1^ deiner max. Gesundheit aus; wenn du innerhalb von ^number2^ Zg. mindestens so viel Schaden nimmst, greife mit einem feurigen Schlag an, der alle benachbarten Gegner trifft!
abil_skill_doubledown_extradesc	Schaden: ^number3^ der Waffenstärke, ^number4^ der Geisteskraft als Feuer.
abil_skill_dreaddarts_shortdesc	Entsende Pfeile, die mächtigen Schattenschaden über Zeit zufügen.
abil_skill_dreamdrum_shortdesc	Beendet sofort den aktuellen Gegenstandstraum und gibt dir deine Ausrüstung wieder (ohne Aufwertungen).
abil_skill_dronereset25_name	DrohnenZurücksetzung25
abil_skill_droneswarm_name	Drohnenschwarm
abil_skill_dropice_name	Eisiger Weg
abil_skill_dustinthewind_desc	Erhöht vorübergehend deine Parierchance und fügt deinem Gegenschlag eine Windattacke hinzu.
abil_skill_dustinthewind_extradesc	Parierchance um ^number1^ erhöht. Gegenangriff mit Wind teilt ^number2^ der Waffenstärke als Blitz aus.
abil_skill_dustinthewind_name	Staubkorn im Winde
abil_skill_dustinthewind_shortdesc	Fördert deine Abwehr und verstärkt deine Gegenangriffe.
abil_skill_eagleeye_desc	Bereich enthüllen: Du kannst in diesem Bereich immer für kurze Zeit alles sehen.
abil_skill_eagleeye_extradesc	Effekt hält ^number1^ Zg. lang an.
abil_skill_eagleeye_name	Adlerauge
abil_skill_eagleeye_shortdesc	Bereich enthüllen: Du kannst in diesem Bereich immer alles sehen.
abil_skill_echobolts_desc	(Toggle) Verwandelt gesammelte Echos in Bonusstärke, die deinen Fernangriffen zugute kommt. Verwendet ein Echo pro Fernangriff, um Bonusschaden zuzufügen, und senkt dabei den Elementarwiderstand des Monsters.
abil_skill_echobolts_extradesc	Bonusschaden: ^number1^ der Waffenstärke + ^number2^ der Geisteskraft als Schatten. Senkt Elementarabwehr um ^number3^.
abil_skill_echobolts_name	Echoschüsse
abil_skill_elemdebuff1_name	Elem-Debuff
abil_skill_energyburst_name	Energiestoß
abil_skill_entrepreneur_name	Geschäftsfrau
abil_skill_eregen_name	Energie-Regeneration
abil_skill_escapeartist_2_desc	Hüpfe auf dem Kopf eines Gegners ab, um dich in Sicherheit zu bringen und ihn dabei anzugreifen.
abil_skill_escapeartist_2_extradesc	Schaden: ^number1^ der Waffenstärke: fügt Milde Blutung hinzu (^number2^ Waffenstärke pro Zug).
abil_skill_escapeartist_2_name	Kunst der Flüchte
abil_skill_escapeartist_2_shortdesc	Hüpfe auf dem Kopf des Feindes in Sicherheit ab.
abil_skill_escapeartist_desc	Hüpfe auf dem Kopf eines Feindes ab, um der Gefahr zu entkommen, und betäube ihn dabei.
abil_skill_escapedungeon_name	Dungeonflucht
abil_skill_escapedungeon_shortdesc	Flucht aus dem Dungeon nach kurzem Verzug.
abil_skill_fanofknives_desc	Lässt Messer auf Feinde in der Nähe hageln. Fügt blutenden Gegnern größeren Schaden zu, und bringt sie ansonsten zum Bluten.
abil_skill_fanofknives_extradesc	Schaden: ^number1^ der Waffenstärke als physischer Schaden und ^number2^, wenn das Ziel blutet.
abil_skill_fanofknives_name	Messeranbeter
abil_skill_fanofknives_shortdesc	Greife all Feinde in einem Bereich an und erhalte Bonusschaden, wenn Gegner bereits bluten. Fügt außerdem Blutungsstatus hinzu.
abil_skill_fastlearner_desc	Erhalte mehr Jobpunkte (JP).
abil_skill_fastlearner_name	Streberin
abil_skill_fatchance_desc	(Passiv) ^number1^ Chance, dass du beim Essen nicht satt wirst und sofort weiterfuttern kannst.
abil_skill_fatchance_name	Vielfraß
abil_skill_feralfighting_desc	(Toggle) Nimm einen bestialischen Kampfstil an und füge deinen Nahangriffen für ^number2^ Ausdauer einen Extrabissen hinzu.
abil_skill_feralfighting_extradesc	Biss-Schaden: ^number1^ der Waffenstärke als physisch.
abil_skill_feralfighting_name	Kampfbestie
abil_skill_finalsummonicejellies_name	Puderschleim-Berufung
abil_skill_firearmor_name	Lodernde Rüstung
abil_skill_firebreath1_name	Feueratem
abil_skill_firebuff_name	Lodernde Hände
abil_skill_fireburst_name	Feuerstrahl
abil_skill_fireburst_passive_name	Feuerstrahl
abil_skill_fireburstranged_name	Flammenknall
abil_skill_fireclaw_name	Feuerklaue
abil_skill_fireevocation_desc	Greift mit geschmolzenem Feuer an, welches eine Brandverletzung hinterlässt (Magieform möglich).
abil_skill_fireevocation_extradesc	Schaden: ^number1^ der Geisteskraft als Feuer; Brandverletzungen fügen pro Zug ^number2^ Geisteskraft zu.
abil_skill_fireevocation_shortdesc	Greift mit geschmolzenem Feuer an (Magieform möglich).
abil_skill_fish_name	Salziger Fisch
abil_skill_fishbleedproc_name	Scharfzahn
abil_skill_fishrush_name	Fischige Hilfe
abil_skill_fistmastery1_name	Flugtritt
abil_skill_fistmastery1_shortdesc	Begib dich in die Lüfte, fliege durch eine Reihe von Gegnern und tritt sie dabei!
abil_skill_fistmastery2_desc	^fp Bist du unbewaffnet, wird dein kritischer Trefferschaden um ^number1^ erhöht. ^number2^ kritischer Trefferschaden mit Fähigkeiten.
abil_skill_fistmastery2_name	Assassinenfaust
abil_skill_fistmastery3_desc	^fp Jeder unbewaffnete Angriff fügt einen Stapel an Zuversicht hinzu, wodurch Schaden und Abwehr gestärkt werden.
abil_skill_fistmastery3_name	Kampfgeist
abil_skill_fistmastery4_name	Suplex
abil_skill_fistmastery4_shortdesc	Springe auf einen Feind, reiße ihn hoch in die Lüfte und schlage ihn zurück auf den Boden, um massiven Schaden anzurichten!
abil_skill_fivefootstep_desc	Bewege dich sofort ganz schnell ein Stück weiter, bevor Gegner reagieren können.
abil_skill_fivefootstep_name	Schnellschritt
abil_skill_fivefootstep_shortdesc	Ziehe sofort auf ein benachbartes Feld, bevor Gegner reagieren können.
abil_skill_flamecocktail2_shortdesc	Feueratem!
abil_skill_flameserpent_desc	Schneidet durch die Luft und erzeugt eine schwebende Linie aus Flammen, die dich begleitet. Greifst du Feinde in den Flammen an, wird der Schaden noch größer.
abil_skill_flameserpent_extradesc	Schaden: ^number1^ der Waffenstärke als Feuer pro Zug. Außerdem nehmen brennende Gegner durch deine Angriffe ^number2^ Feuerschaden.
abil_skill_flameserpent_shortdesc	Schneide durch die Luft, um Flammen zu erzeugen, die dich begleiten.
abil_skill_flameskin_name	Flammenhaut
abil_skill_flameslash_name	Flammenriss
abil_skill_floracondathorns_name	Dornenschild
abil_skill_flurryofbites_desc	Beiße nahe gelegene Gegner viermal brutal! Bisse können denselben Gegner wiederholt treffen und haben ^number3^ Chance, zu verfehlen. Macht dich kurzfristig stärker, wenn blutende Gegner in der Nähe sind.
abil_skill_flurryofbites_extradesc	Schaden: ^number1^ der Waffenstärke als physisch. Blutdurst-Status erhöht Schaden um ^number2^, wenn blutende Gegner in der Nähe sind.
abil_skill_flurryofbites_name	Bissgestöber
abil_skill_flurryofbites_shortdesc	Beiße nahe gelegene Gegner viermal brutal; kann denselben Gegner zweimal treffen.
abil_skill_fly_name	Flugangst
abil_skill_foodlover_name	Schleckermaul
abil_skill_forcefield_name	Kraftfeld
abil_skill_fortify_desc	(Toggle) Lenke ^number1^ des eintreffenden Schaden auf deinen Runenkristall.
abil_skill_fortify_extradesc	Übertragener Schaden geht zuerst durch deine Abschwächung.
abil_skill_fortify_name	Befestigung
abil_skill_freezeshot_name	Frostschuss
abil_skill_freezevial_shortdesc	Sprengt den Bereich mit fatalen Eissplittern und verlangsamt Gegner!
abil_skill_friendlysludgehit_name	Säuriger Schlammschlag
abil_skill_froghop_name	Krötensprung
abil_skill_fungaldestruct_name	Pilzige Explosion
abil_skill_fungalpull_name	Pilzanziehung
abil_skill_fungalregen_name	Pilzige Regeneration
abil_skill_fungalspores_name	Pilzsporen
abil_skill_fungalspread_name	Pilzausbreitung
abil_skill_furiouscrescendo_desc	Vollziehe einen breitflächigen Schlitzangriff, der dein aktuelles Lied beendet und dabei je nach Liedintensität an Reichweite und Stärke zunimmt.
abil_skill_furiouscrescendo_extradesc	Schaden: ^number1^ der Waffenstärke, ^number2^ pro Liedstufe.
abil_skill_furiouscrescendo_name	Rasendes Crescendo
abil_skill_furiouscrescendo_shortdesc	Breiter Schlitzangriff, der dein Lied beendet; wächst in Reichweite/Stärke je nach Liedintensität.
abil_skill_gamblercrit_name	Spieler-Krit
abil_skill_gloriousbattler_desc	(Passiv) Besiegst du einen nicht-Erbärmlichen Gegner mit einem aktivierten Lied, so wächst dieses Lied an Intensität und du erhältst ^number1^ CT.
abil_skill_gloriousbattler_name	Glorreicher Kämpfer
abil_skill_goldaura_name	Golden
abil_skill_goldhop_name	Goldsprung
abil_skill_goldtoss_desc	Bewirf Gegner mit Geld! Wirft (^number1^ x Stufe) Gold und teilt den gleichen Grundschaden unter allen getroffenen Gegnern.
abil_skill_goldtoss_extradesc	Schaden: ^number1^ x Stufe als physisch.
abil_skill_goldtoss_name	Goldwurf
abil_skill_grapplinghook_desc	Ziehe dich zu einer Wand!
abil_skill_grapplinghook_name	Enterhaken
abil_skill_grapplinghook_shortdesc	Ziehe dich auf ein freies Feld neben einer Wand.
abil_skill_gravitysurge_2_desc	Erzeugt einen Gravitationssog, der von deinem Runenkristall ausgeht, Gegner in der Nähe hineinzieht und ihren Blitzwiderstand mindert. Geht von dir aus, falls dein Runenkristall zerstört ist.
abil_skill_gravitysurge_2_extradesc	Blitzwiderstand um ^number1^ gesenkt.
abil_skill_gravitysurge_2_name	Gravitationssog
abil_skill_gravitysurge_2_shortdesc	Erzeugt einen Gravitationssog, der von deinem Runenkristall (oder dir, wenn du keinen hast) ausgeht, Gegner in der Nähe hineinzieht und ihren Blitzwiderstand senkt.
