abil_skill_acidburstclose_name	酸の炸裂
abil_skill_blessedhammer_desc	燃えさかる聖なる力のハンマーを投げ、ブーメランのように戻ってくる。光のオーラを使用中は「怒り」を消費し、追加ダメージを与える。
abil_skill_blessedhammer_extradesc	攻撃力の^number1^、精神力の^number2^の雷ダメージを毎ターン与える。「怒り」を消費すると、^number3^ダメージを与える。
abil_skill_blessedhammer_name	祝福の槌
abil_skill_blessedhammer_shortdesc	前方へ飛んで戻ってくるハンマーを放ち、ダメージを与える。
abil_skill_blessedpool_name	聖なる池
abil_skill_blessedpool_shortdesc	広がっていく聖なる池を出現させ、その中にいる間は毎ターン、HPが回復する。
abil_skill_bling_name	キラキラ
abil_skill_blooddebts_desc	最大HPの^number1^を前借りして増やせるが、^number2^の利子をつけて返さなければならない。
abil_skill_blooddebts_extradesc	効果は^number3^ターン、持続する。
abil_skill_blooddebts_name	血の前借り
abil_skill_bloodlust_name	血の渇望
abil_skill_bloodtracking_desc	（パッシブ）敵を攻撃後、^number1^の確率で追跡できる。追跡中は^number2^ターンの間、対象の姿が見え、^number3^のダメージを与えられる。
abil_skill_bloodtracking_name	血痕追い
abil_skill_boostmorale_name	士気向上
abil_skill_bowmastery1_desc	周囲の敵1体をランダムで射抜き、付近のマスへ跳び移る。ヒット・アンド・ラン！
abil_skill_bowmastery1_name	ジャンプショット
abil_skill_bowmastery1_shortdesc	周囲の敵1体をランダムで射抜き、付近のマスへ跳び移る。
abil_skill_bowmastery2_desc	^fp弓を装備中、孤立している敵（周囲に他の敵がいない）に^number1^のダメージを与える。
abil_skill_bowmastery2_name	捕食者の弓
abil_skill_bowmastery3_desc	^fp攻撃射程内の敵がスキルを使った場合、^number1^の確率でスキルを妨害する。弓を装備中のみ発動。
abil_skill_bowmastery3_name	散兵の一矢
abil_skill_bowmastery4_desc	短時間、毎攻撃時に追加の弓を放ち、次のターンで着弾する。
abil_skill_bowmastery4_extradesc	狙ったマスと目の前の最大^number1^マス上に矢を降らせ、着弾時に攻撃力の^number2^のダメージを与える。
abil_skill_bowmastery4_name	アローストーム
abil_skill_brigandbomber_desc	^fp「刺し逃げ」か「影踏み」を使用時、自動的に「火爆弾」（威力は半分）を投下する。
abil_skill_brigandbomber_name	ステルスボマー
abil_skill_brigandbonus2_desc	（切り替え）有効中は新たな出血効果によって物理ダメージではなく、毒ダメージを与える。自身は^number1^の毒ダメージを受ける。
abil_skill_brigandbonus2_name	ポイズンソード
abil_skill_buildplanks_name	渡し板作成
abil_skill_buildplanks_shortdesc	頑丈な板を生成して水の上に渡し、歩けるようにする。
abil_skill_bullrush_name	ブルラッシュ
abil_skill_bullseye_name	ブルズアイ
abil_skill_burnshot_name	ファイアショット
abil_skill_caltrops_shortdesc	敵を出血させ、鈍足化させる金属のトゲをばらまく。
abil_skill_campfirecheese_name	焙りチーズ
abil_skill_campfiredessert_name	焙りデザート
abil_skill_campfirefruit_name	焙りフルーツ
abil_skill_campfiremeat_name	焙り肉
abil_skill_champfinder_name	悪名
abil_skill_champnightmare2_name	三連影つかみ
abil_skill_champnightmare_name	影の魔手
abil_skill_champregenerate_name	再生
abil_skill_charmsingle_shortdesc	対象を魅了する酒を投げる。
abil_skill_cheatdeath_desc	（パッシブ）致命的なダメージを受けた際、50%の確率で、ライフが残り1の状態で持ちこたえる。
abil_skill_cheatdeath_extradesc	すべての状態異常も取り除かれる。
abil_skill_cheatdeath_name	九死に一生
abil_skill_chemistheal_name	回復薬
abil_skill_clawmastery1_extradesc	与ダメージが^number1^、あらゆる耐性が^number2^上昇し、短時間マヒを受けつけなくなるが、スキルは封印される。爪以外の装備に変更すると、効果はすべて失われる。
abil_skill_clawmastery1_name	逆上の爪
abil_skill_clawmastery1_shortdesc	烈火の怒りに飲み込まれ、攻撃力や防御力が上昇するが、他のスキルは使えなくなる。
abil_skill_clawmastery2_desc	^fp爪を装備中はマヒを受けず、攻撃力が一切低下しない。
abil_skill_clawmastery2_name	鉄のにぎり
abil_skill_clawmastery3_desc	^fp爪を装備中、一歩進むたび、隣接する1体の敵を^number1^の確率で切り裂く。
abil_skill_clawmastery3_name	刃の踏み込み
abil_skill_clawmastery4_desc	狙った敵に跳びかかり、着地と同時に対象とその周囲のすべてを激しく切り裂く。さらに短時間、驚異的な回復力を得る。
abil_skill_clawmastery4_extradesc	攻撃力の^number1^のダメージを与える。さらに^number3^ターンの間、受けたダメージの^number2^を瞬時に回復する。
abil_skill_clawmastery4_name	破壊の爪
abil_skill_clawmastery4_shortdesc	狙った敵に跳びかかり、着地と同時に周囲を巻き込んで激しく切り裂く。
abil_skill_cloakanddagger_2_desc	2体の敵を巧みにかわして場所を入れ替わり、出血させる。
abil_skill_cloakanddagger_2_extradesc	攻撃力の^number1^のダメージを与え、軽い出血（毎ターン、攻撃力の^number2^のダメージ）を付与する。煙幕内の敵には^number3^の追加ダメージを与える。
abil_skill_cloakanddagger_2_shortdesc	場所を入れ替わりつつ、並んでいる敵2体を攻撃。ターゲットが2体必要。
abil_skill_cloakanddagger_desc	巧みな動きで敵をかわし、場所を入れ替わって出血させる。
abil_skill_cloakanddagger_extradesc	攻撃力の^number1^の属性ダメージを与え、軽い出血を付与（毎ターン、攻撃力の^number2^のダメージ）。煙幕の中の敵に^number3^のダメージを与える。
abil_skill_cloakanddagger_shortdesc	敵と場所を入れ替わって攻撃。
abil_skill_confuse_desc	鮮やかなトリックで周囲の敵を混乱させる。混乱した敵は辺りをうろつくか、別の魔物に襲いかかる。
abil_skill_confuse_name	巧みな手さばき
abil_skill_confuse_shortdesc	敵を混乱させてさまよわせるか、相打ちさせる。
abil_skill_constrict_name	しめつけ
abil_skill_crabgrab_name	カニづかみ
abil_skill_createillusions_name	幻覚生成
abil_skill_createwhirlwinds_name	竜巻招来
abil_skill_creepingdeath_desc	小さいが危険な植物を召喚。急激に増殖して敵を切り刻む。
abil_skill_creepingdeath_extradesc	毎ターン、精神力の^number1^の毒ダメージを与える。
abil_skill_creepingdeath_name	死を招く花
abil_skill_creepingdeath_shortdesc	周囲のマスへと増殖する、危険な植物を召喚。
abil_skill_crystalshift_2_desc	ルーンクリスタルを移動させ、進路上のすべての敵にダメージ。さらにクリスタルの防御を強化する。
abil_skill_crystalshift_2_extradesc	攻撃力の^number1^の物理ダメージを与える。クリスタルの防御力が^number2^上昇する。
abil_skill_crystalshift_2_name	クリスタルシフト
abil_skill_crystalshift_2_shortdesc	ルーンクリスタルを飛ばし、進路上のすべての敵にダメージを与える。
abil_skill_crystalshift_extradesc	攻撃力の^number1^の物理ダメージを与える。
abil_skill_daggermastery1_desc	付近の敵1体を目にも止まらぬ速さで攻撃し、瞬時に態勢を立て直して追加ターンを得る。
abil_skill_daggermastery1_name	凶刃一閃
abil_skill_daggermastery1_shortdesc	付近の敵を攻撃し、瞬時に追加ターンを得る。
abil_skill_daggermastery2_desc	^fpダガーを両手に装備時、命中率とダメージのペナルティが減少。
abil_skill_daggermastery2_name	極・二刀流
abil_skill_daggermastery3_desc	^fp短剣を装備中、同一の敵にヒットするたび、通常攻撃でのクリティカル率が^number1^上昇する（最大^number2^）。
abil_skill_daggermastery3_name	必死の傷
abil_skill_daggermastery4_desc	目にも止まらぬ速さで3回、ターンを消費せずに攻撃と移動を繰り返す。
abil_skill_daggermastery4_extradesc	一撃ごとに攻撃力の^number1^のダメージを与える。短剣の連続攻撃ボーナスも有効。
abil_skill_daggermastery4_name	神速連撃
abil_skill_daggermastery4_shortdesc	3回連続で各標的まで移動して攻撃。ターンを消費しない。
abil_skill_darkbling_name	闇のキラキラ
abil_skill_deadlyfocus_desc	（パッシブ）クリティカルヒットが決まると、クールダウンが1ターン減少する。
abil_skill_deadlyfocus_name	危険な狙い
abil_skill_delayedteleport_extradesc	スキルを使用から^number1^ターン後、テレポートする。
abil_skill_delayedteleport_name	時間差テレポート
abil_skill_delayedteleport_shortdesc	指定のマスへ、少し遅れてテレポートする。
abil_skill_destroyerlaserwall_name	ファスマウォール
abil_skill_destroywall_name	ウォールブレイク
abil_skill_destroywall_shortdesc	壁のマスを破壊する。
abil_skill_detectweakness_desc	（パッシブ）敵を観察時、定期的に弱点を見やぶる。暴いた弱点を攻撃すると追加ダメージ。
abil_skill_detectweakness_extradesc	弱点を暴いた敵は、無防備な方向からの攻撃に対して、^number1^多いダメージを受ける。
abil_skill_detectweakness_name	弱点発見
abil_skill_detonatevines_2_desc	召喚したツタを爆発させ、飛び散るトゲと肉片によって周囲の敵にダメージと毒を与える。
abil_skill_detonatevines_2_extradesc	爆発によって、精神力の^number1^の火ダメージを与える。さらに精神力の^number2^の毒ダメージを与える。
abil_skill_detonatevines_2_name	トゲ爆発
abil_skill_detonatevines_2_shortdesc	召喚したトゲを爆発させ、周囲の敵に毒とダメージ。
abil_skill_detonatevines_desc	召喚したツタを爆発させ、トゲや破片をまき散らして、周囲の敵にダメージを与える。
abil_skill_detonatevines_extradesc	精神力の^number1^の火ダメージを与える。
abil_skill_detonatevines_shortdesc	指定の召喚ツタを爆発させて範囲ダメージ。
abil_skill_divineprotection_desc	（パッシブ）敵のクリティカルヒットを無効化する確率が^number1^上昇する。
abil_skill_divineprotection_name	聖なる加護
abil_skill_divineretribution_desc	聖なる雷を敵の上に落とし、守備力を下げる。「怒り」を消費するたび、追加の雷をランダムに落とす。
abil_skill_divineretribution_extradesc	雷撃ごとに攻撃力の^number1^、精神力の^number2^の雷ダメージを与え、対象の防御力を^number3^減少させる。
abil_skill_divineretribution_shortdesc	聖なる雷を呼んで敵を攻撃する。
abil_skill_dodgebuff_name	回避強化
abil_skill_doubledown_2_desc	最大HPの^number1^を消費し、^number2^ターン以内にそれ以上のダメージを受けた場合、爆炎を伴う攻撃によって隣接する敵にもダメージを与え、最初に消費した^number1^ HPを取り戻す。
abil_skill_doubledown_2_extradesc	攻撃力の^number3^、精神力の^number3^の火ダメージを与える。
abil_skill_doubledown_2_name	ダブルダウン
abil_skill_doubledown_desc	最大HPの^number1^を消費し、^number2^ターン以内にそれ以上のダメージを受けた場合、隣接するすべての敵を爆炎によって攻撃する。
abil_skill_doubledown_extradesc	攻撃力の^number3^、精神力の^number4^の火ダメージを与える。
abil_skill_dreaddarts_shortdesc	ダーツを投げ、時間をかけて強力な影ダメージを与える。
abil_skill_dreamdrum_shortdesc	現在の「モノの夢」を強制終了させ、アイテムを取り戻す（アップグレードは獲得できない）。
abil_skill_dronereset25_name	ドローンリセット25
abil_skill_droneswarm_name	ドローンの群れ
abil_skill_dropice_name	アイスウォーク
abil_skill_dustinthewind_desc	一時的に受け流し率を高め、反撃時に風の一撃を追加する。
abil_skill_dustinthewind_extradesc	受け流し率が^number1^上昇。風の反撃により、攻撃力の^number2^の雷ダメージを与える。
abil_skill_dustinthewind_name	風に舞うちり
abil_skill_dustinthewind_shortdesc	受け流し率を上昇させ、反撃を強化。
abil_skill_eagleeye_desc	短時間、隠れているエリアを暴いて、すべてが見えるようにする。
abil_skill_eagleeye_extradesc	効果は^number1^ターン、持続する。
abil_skill_eagleeye_name	タカの目
abil_skill_eagleeye_shortdesc	一定エリアを暴いて、すべて表示させる。
abil_skill_echobolts_desc	（切り替え）集めた「鬼火」を力に変えて、強力な遠隔攻撃を行う。一度の攻撃で1個の「鬼火」を消費して追加ダメージを与え、さらに敵の元素耐性を下げる。
abil_skill_echobolts_extradesc	攻撃力の^number1^プラス精神力の^number2^の追加影ダメージを与え、敵の元素防御を^number3^低下させる。
abil_skill_echobolts_name	エコーボルト
abil_skill_elemdebuff1_name	元素デバフ
abil_skill_energyburst_name	エナジーバースト
abil_skill_entrepreneur_name	起業家
abil_skill_eregen_name	エナジー回復
abil_skill_escapeartist_2_desc	敵の頭をけり飛ばし、攻撃しつつ危険を脱する。
abil_skill_escapeartist_2_extradesc	攻撃力の^number1^のダメージを与え、軽い出血（毎ターン、攻撃力の^number2^のダメージ）を引き起こす。
abil_skill_escapeartist_2_name	脱出名人
abil_skill_escapeartist_2_shortdesc	敵の頭をけって、安全な場所まで跳ぶ。
abil_skill_escapeartist_desc	敵の頭を踏み越えて危険を回避し、対象を失神させる。
abil_skill_escapedungeon_name	ダンジョン脱出
abil_skill_escapedungeon_shortdesc	少し遅れてダンジョンを脱出する。
abil_skill_fanofknives_desc	付近の敵にナイフを乱れ撃つ。出血中の敵には追加ダメージを与え、それ以外の敵は出血させる。
abil_skill_fanofknives_extradesc	攻撃力の^number1^の物理ダメージを与え、出血中の敵にはさらに^number2^のダメージを与える。
abil_skill_fanofknives_name	ナイフの舞い
abil_skill_fanofknives_shortdesc	範囲内のすべての敵を攻撃し、出血させる。出血中の敵は追加ダメージを受ける。
abil_skill_fastlearner_desc	獲得ジョブポイント（JP）が増える。
abil_skill_fastlearner_name	飛び級
abil_skill_fatchance_desc	（パッシブ）食べ物を消費時、^number1^の確率で満腹にならず、続けてもっと食べることができる。
abil_skill_fatchance_name	腹八分目
abil_skill_feralfighting_desc	（切り替え）獣のように戦い、スタミナを^number2^消費して、近接攻撃時に強烈な咬みつきダメージを追加する。
abil_skill_feralfighting_extradesc	相手に咬みつき、攻撃力の^number1^の物理ダメージを与える。
abil_skill_feralfighting_name	野生の戦い
abil_skill_finalsummonicejellies_name	フロストジェリー召喚
abil_skill_firearmor_name	灼熱の鎧
abil_skill_firebreath1_name	炎の息
abil_skill_firebuff_name	灼熱の手
abil_skill_fireburst_name	ファイアバースト
abil_skill_fireburst_passive_name	爆炎
abil_skill_fireburstranged_name	フレイムブラスト
abil_skill_fireclaw_name	炎の爪
abil_skill_fireevocation_desc	灼熱の炎で攻撃し、対象に火傷を残す（スペルシェイプ可）。
abil_skill_fireevocation_extradesc	精神力の^number1^の火ダメージと、火傷によって毎ターン、精神力の^number2^のダメージを与える。
abil_skill_fireevocation_shortdesc	灼熱の炎で攻撃（スペルシェイプ可）。
abil_skill_fish_name	海水魚
abil_skill_fishbleedproc_name	鋭い牙
abil_skill_fishrush_name	魚ラッシュ
abil_skill_fistmastery1_name	跳びげり
abil_skill_fistmastery1_shortdesc	大きく跳び上がって、一列に並んでいる敵をけり飛ばす。
abil_skill_fistmastery2_desc	^fp素手の時、クリティカルのダメージが^number1^上昇する。また、スキルのクリティカルダメージが^number2^上昇する。
abil_skill_fistmastery2_name	暗殺拳
abil_skill_fistmastery3_desc	^fp素手で攻撃するたびに「自信」が増し、ダメージと防御が上昇する。
abil_skill_fistmastery3_name	闘魂
abil_skill_fistmastery4_name	天空落とし
abil_skill_fistmastery4_shortdesc	敵に跳びつき、つかんでジャンプし、地面に叩きつけて大ダメージを与える。
abil_skill_fivefootstep_desc	敵が反応するよりも早く1マス動ける。
abil_skill_fivefootstep_name	俊足
abil_skill_fivefootstep_shortdesc	敵が反応するよりも早く1マス移動。
abil_skill_flamecocktail2_shortdesc	炎を吐ける！
abil_skill_flameserpent_desc	虚空を切り裂き、共に行動する炎を生み出す。炎の中にいる敵を攻撃すると追加ダメージ。
abil_skill_flameserpent_extradesc	毎ターン、攻撃力の^number1^の火ダメージを与える。火の中にいる敵はさらに、攻撃から^number2^の火ダメージを受ける。
abil_skill_flameserpent_shortdesc	虚空を切り裂き、共に行動する炎を生み出す。
abil_skill_flameskin_name	灼熱の肌
abil_skill_flameslash_name	炎斬り
abil_skill_floracondathorns_name	トゲシールド
abil_skill_flurryofbites_desc	付近の敵を激しく4回咬む。同一の敵にもヒットし、^number3^の確率で外れる。出血中の敵が近くにいる場合は短時間、威力が増す。
abil_skill_flurryofbites_extradesc	攻撃力の^number1^の物理ダメージを与える。出血中の敵が近くにいる場合は「血の渇望」の効果により、ダメージが^number2^上昇する。
abil_skill_flurryofbites_name	連続咬み
abil_skill_flurryofbites_shortdesc	付近の敵を激しく4回咬む。同じ敵に2回ヒットも可。
abil_skill_fly_name	飛行
abil_skill_foodlover_name	美食家
abil_skill_forcefield_name	バリア
abil_skill_fortify_desc	（切り替え）受けたダメージの^number1^をルーンクリスタルに流し込む。
abil_skill_fortify_extradesc	ダメージは軽減効果を受けた上で、肩代わりされる。
abil_skill_fortify_name	肩代わり
abil_skill_freezeshot_name	アイスショット
abil_skill_freezevial_shortdesc	一定のエリアに危険な氷塊を吹き飛ばし、敵の足を鈍らせる。
abil_skill_friendlysludgehit_name	ヘドロ打ち
abil_skill_froghop_name	カエル跳び
abil_skill_fungaldestruct_name	菌の爆発
abil_skill_fungalpull_name	菌の吸引
abil_skill_fungalregen_name	菌再生
abil_skill_fungalspores_name	菌の胞子
abil_skill_fungalspread_name	菌の拡散
abil_skill_furiouscrescendo_desc	現在の歌を終了させ、広範に及ぶ斬撃を放つ。歌のレベルに応じて射程や威力が上昇する。
abil_skill_furiouscrescendo_extradesc	攻撃力の^number1^、歌レベルごとに^number2^のダメージを与える。
abil_skill_furiouscrescendo_name	怒りの幕引き
abil_skill_furiouscrescendo_shortdesc	歌を終了させて、ワイドな斬撃を放つ。歌のレベルに応じて射程と威力が上昇。
abil_skill_gamblercrit_name	ばくち打ちの強運
abil_skill_gloriousbattler_desc	（パッシブ）歌が有効中に「いちころ」ランク以外の敵を倒すと、その歌の威力が上昇し、^number1^ CTを獲得する。
abil_skill_gloriousbattler_name	誇りある戦い
abil_skill_goldaura_name	黄金のオーラ
abil_skill_goldhop_name	ゴールドホップ
abil_skill_goldtoss_desc	（^number1^ x レベル）ゴールドを投げつけ、ヒットした敵すべてに同等の基本ダメージを分け与える。
abil_skill_goldtoss_extradesc	^number1^ x レベルの物理ダメージを与える。
abil_skill_goldtoss_name	銭投げ
abil_skill_grapplinghook_desc	瞬時に壁際へ移動する。
abil_skill_grapplinghook_name	投げフック
abil_skill_grapplinghook_shortdesc	壁沿いの空いているマスへ瞬間移動する。
abil_skill_gravitysurge_2_desc	ルーンクリスタルから重力場を発生させ、付近の敵を引きずり込み、雷耐性を下げる。ルーンクリスタルが破壊されると、術者自身に引き寄せられる。
abil_skill_gravitysurge_2_extradesc	雷耐性が^number1^低下する。
abil_skill_gravitysurge_2_name	重力場
abil_skill_gravitysurge_2_shortdesc	ルーンクリスタル（か術者）から重力場を発生させ、付近の敵を引き込んで雷耐性を減少させる。
abil_skill_gravitysurge_desc	ルーンクリスタルから重力場を発生させ、周囲の敵を引き寄せて足止めする。ルーンクリスタルが破壊されると、効果がプレイヤーに移る。
abil_skill_gravitysurge_extradesc	敵を^number1^ターン、足止めする。
abil_skill_gravitysurge_shortdesc	ルーンクリスタル（ない場合は自分）から重力場を発生させ、周囲の敵を引き寄せて足止めする。
abil_skill_grottosting_name	空からの一刺し
abil_skill_gustjump_name	竜巻跳び
abil_skill_hailofarrows_2_desc	複数の矢を空へ向けて放ち、^number2^ターン後に着弾する。
abil_skill_hailofarrows_2_name	矢の雨
abil_skill_hailofarrows_desc	複数の矢を上空へ放ち、^number1^ターン後に着弾する。
abil_skill_hailofarrows_extradesc	攻撃力の^number2^のダメージを与える。
abil_skill_harrier_name	ハリアー
abil_skill_hastepotion_name	ヘイスト
abil_skill_haunt_name	とりつき
abil_skill_hazardsweep_desc	（パッシブ）生成された罠やダメージ源の上を歩いた時、^number1^の確率で消滅させる。
abil_skill_hazardsweep_name	危険一掃
abil_skill_healingwaters_name	癒しの水
abil_skill_heartysandwich_name	美味しいサンドイッチ
abil_skill_heavyarmormastery1_desc	^fpヘビーアーマーを装備中、自身のレベルに応じて元素ダメージが^number1^軽減される。
abil_skill_heavyarmormastery1_name	ヘビーアーマーの奥義
abil_skill_heavyguard_desc	（切り替え）盾ブロック率が上昇するが、クリティカル率が減少する。ブロック時には^number1^スタミナを消費し、「怒り」が1個チャージされる。
abil_skill_heavyguard_extradesc	ブロック率が^number2^上昇し、クリティカル率が半減する。
abil_skill_heavyguard_name	ヘビーガード
abil_skill_hemorrhage_desc	敵の急所を攻撃し、一歩ごとに激しい出血を引き起こす。
abil_skill_hemorrhage_name	大出血
abil_skill_hemorrhage_shortdesc	対象が動くたびに激しく出血。
abil_skill_herbforaging_desc	（パッシブ）ランク「超よゆう」以上の敵を倒した時、鋭い嗅覚によって時折、回復力のあるハーブを発見する。
abil_skill_herbforaging_extradesc	ハーブは回復玉の半分の効果を持ち、拾った瞬間に使用されるが、3ターン経つと消滅する。
abil_skill_herbforaging_name	草摘み
abil_skill_highlandcharge_2_name	高原の突進
abil_skill_highlandcharge_2_shortdesc	指定のマスへ跳び、着地時に歌レベルに応じたダメージを与える。
abil_skill_highlandcharge_extradesc	歌レベルに応じて射程が延び、次の通常攻撃のダメージが^number1^上昇する。
abil_skill_highlandcharge_shortdesc	前方一直線に、歌のレベルに応じた距離をダッシュ。歌のレベルに応じて、次の攻撃が強化される。
abil_skill_holdthemoon_2_desc	目の前の敵1体を攻撃し、弱体化したのち、華麗に退却する。
abil_skill_holdthemoon_2_extradesc	瞬時に^number1^CTを獲得する。
abil_skill_holdthemoon_2_name	月光しばり
abil_skill_holdthemoon_2_shortdesc	対象を攻撃し、弱体化させて退却。
abil_skill_holdthemoon_extradesc	狙った敵を足止めし、^number2^ターンの間、その与ダメージを^number1^軽減する。
abil_skill_hotstreak_2_desc	3方向のうちの1方向へ、炎を残しながらランダムでダッシュする。
abil_skill_hotstreak_2_extradesc	攻撃力の^number1^の火ダメージを与える。
abil_skill_hotstreak_2_name	炎のばく進
abil_skill_hotstreak_2_shortdesc	3方向のうちの1方向へ、炎を残しながらランダムでダッシュ（回転可）。
abil_skill_hotstreak_desc	^number1^方向のうちの1方向へランダムでダッシュし、炎を置き残す。
abil_skill_hotstreak_extradesc	攻撃力の^number2^の火ダメージを与える。
abil_skill_hotstreak_shortdesc	^number1^方向のうちの1方向へランダムでダッシュし、炎を置き残す（回転可）。
abil_skill_hundredfists_2_desc	付近の敵1体にパンチを乱れ撃つ。急所にヒットする場合も。
abil_skill_hundredfists_2_name	百裂拳
abil_skill_hundredfists_2_shortdesc	敵1体を攻撃。確率で急所にもヒット。
abil_skill_hundredfists_desc	付近の敵1体に怒涛のごとく拳を叩き込み、さらに隣接する敵にもヒットする。
abil_skill_hundredfists_extradesc	狙った敵に攻撃力の^number1^の物理ダメージを、隣接する敵に^number2^のダメージを与える。
abil_skill_hundredfists_shortdesc	狙った敵を攻撃し、周囲にもダメージ。
abil_skill_hunterwolf_desc	純粋なフロウから生まれた忠実なオオカミを召喚し、戦わせる。攻撃を受けた敵は鈍足化する。
abil_skill_hunterwolf_extradesc	レベルに応じてオオカミが強化。一度に一匹のオオカミしか召喚できない。
abil_skill_hunterwolf_name	霊狼召喚
abil_skill_iaijutsu_name	居合術
abil_skill_icearmor_name	つららの鎧
abil_skill_iceboulders_name	アイスクロス
abil_skill_icecone_name	氷の示現
abil_skill_icedaggers_name	氷のダガー
