abil_skill_acidburstclose_name	Acid Burst
abil_skill_dreaddarts_shortdesc	Throw darts to deal powerful Shadow damage over time.
abil_skill_dreamdrum_shortdesc	Immediately ends the current Item Dream, returning your gear (with no upgrades)
abil_skill_dronereset25_name	DroneReset25
abil_skill_droneswarm_name	Drone Swarm
abil_skill_dropice_name	Icy Walk
abil_skill_dustinthewind_desc	Increases parry chance temporarily, and adds a wind attack to your riposte.
abil_skill_dustinthewind_extradesc	Parry increased by ^number1^. Wind counterattack deals ^number2^ of Weapon Power as Lightning. Lasts ^number3^ turns.
abil_skill_dustinthewind_name	Dust in the Wind
abil_skill_dustinthewind_shortdesc	Boost parry and empower counter attacks.
abil_skill_eagleeye_desc	Reveal an area: you can always see things in this area for a brief time.
abil_skill_eagleeye_extradesc	Effect lasts ^number1^ turns.
abil_skill_eagleeye_name	Eagle Eye
abil_skill_eagleeye_shortdesc	Reveal an area: you can always see things in this area
abil_skill_echobolts_desc	(Toggle) Transform collected Echoes into extra power for your basic projectile attacks. Uses one Echo per basic projectile attack to deal extra damage, while also lowering monster's elemental resists.
abil_skill_echobolts_extradesc	Extra Damage: ^number1^ of Weapon Power + ^number2^ of Spirit Power as Shadow. Lowers elemental defense by ^number3^.
abil_skill_echobolts_name	Echo Bolts
abil_skill_elemdebuff1_name	Elem Debuff
abil_skill_energyburst_name	Energy Burst
abil_skill_entrepreneur_name	Entrepreneur
abil_skill_eregen_name	Energy Regen
abil_skill_escapeartist_2_desc	Bounce off an enemy's head to escape danger, attacking them in the process.
abil_skill_escapeartist_2_extradesc	Damage: ^number1^ of Weapon Power, adds Mild Bleed (^number2^ Weapon Power per turn)
abil_skill_escapeartist_2_name	Escape Artist
abil_skill_escapeartist_2_shortdesc	Jump off enemy's head into open space.
abil_skill_escapeartist_desc	Bounce off an enemy's head to escape danger, stunning them in the process.
abil_skill_escapedungeon_name	Escape Dungeon
abil_skill_escapedungeon_shortdesc	Escapes the dungeon after a brief delay.
abil_skill_fanofknives_desc	Tosses a hail of blades at nearby enemies. Deals more damage to bleeding enemies, and causes bleeding if they aren't bleeding already.
abil_skill_fanofknives_extradesc	Damage: ^number1^ of Weapon Power as Physical, ^number2^ if target is bleeding.
abil_skill_fanofknives_name	Fan of Knives
abil_skill_fanofknives_shortdesc	Attack all enemies in area, bonus damage to bleeding. Also adds bleed status.
abil_skill_fastlearner_desc	Gain more job points (JP).
abil_skill_fastlearner_name	Fast Learner
abil_skill_fatchance_desc	(Passive) ^number1^ chance that when eating food, you won't become Full and can instead immediately eat more food.
abil_skill_fatchance_name	Fat Chance
abil_skill_feralfighting_desc	(Toggle) Begin using a bestial fighting style, adding an extra bite to all your melee attacks at the cost of ^number2^ Stamina.
abil_skill_feralfighting_extradesc	Bite Damage: ^number1^ of Weapon Power as Physical.
abil_skill_feralfighting_name	Feral Fighting
abil_skill_finalsummonicejellies_name	Summon Frosted Jellies
abil_skill_firearmor_name	Blazing Armor
abil_skill_firebreath1_name	Fire Breath
abil_skill_firebuff_name	Blazing Hands
abil_skill_fireburst_name	Fire Burst
abil_skill_fireburst_passive_name	Fireburst
abil_skill_fireburstranged_name	Flame Blast
abil_skill_fireclaw_name	Fire Claw
abil_skill_fireevocation_desc	Blasts with molten fire that leaves a residual burn (Spellshape possible!)
abil_skill_fireevocation_extradesc	Damage: ^number1^ of Spirit Power as Fire, residual burns deal ^number2^ Spirit Power per turn.
abil_skill_fireevocation_shortdesc	Blasts with molten fire (Spellshape possible!)
abil_skill_fish_name	Briny Fish
abil_skill_fishbleedproc_name	Sharp Fangs
abil_skill_fishrush_name	Fish Rush
abil_skill_fistmastery1_name	Flying Kick
abil_skill_fistmastery1_shortdesc	Soar into the air, flying through a line of enemies and kicking them in the process!
abil_skill_fistmastery2_desc	^fp While unarmed, critical hit damage increased by ^number1^ and critical hit damage with skills ^number2^.
abil_skill_fistmastery2_name	Assassin Fists
abil_skill_fistmastery3_desc	^fp Each attack while unarmed adds a stack of Confidence, increasing damage and defense.
abil_skill_fistmastery3_name	Fighting Spirit
abil_skill_fistmastery4_name	Suplex
abil_skill_fistmastery4_shortdesc	Jump to an enemy, leap high into the air, and slam them back down for massive damage!
abil_skill_fivefootstep_desc	Take an instant one-square move before enemies react.
abil_skill_fivefootstep_name	Quick Step
abil_skill_fivefootstep_shortdesc	Move a short distance quickly, before enemies can react.
abil_skill_flamecocktail2_shortdesc	Breathe fire!
abil_skill_flameserpent_desc	Slashes through the air to create a hovering line of flames that move with you. Attacking enemies in the flames does extra damage.
abil_skill_flameserpent_extradesc	Damage: ^number1^ of Weapon Power as Fire per turn. Enemies in flames also take ^number2^ Fire damage from your attacks. Lasts ^number3^ turns.
abil_skill_flameserpent_shortdesc	Slash air to create flames that move with you.
abil_skill_flameskin_name	Flame Skin
abil_skill_flameslash_name	Flame Slash
abil_skill_floracondathorns_name	Thorn Shield
abil_skill_flurryofbites_desc	Viciously bite nearby enemies four times! Bites may hit the same enemy repeatedly, and have a ^number3^ chance to miss. Briefly makes you stronger if Bleeding enemies are nearby.
abil_skill_flurryofbites_extradesc	Damage: ^number1^ of Weapon Power as Physical. Bloodlust status increases damage by ^number2^ if Bleeding enemies are nearby.
abil_skill_flurryofbites_name	Flurry of Bites
abil_skill_flurryofbites_shortdesc	Viciously bite nearby enemies four times; may hit the same enemy twice.
abil_skill_fly_name	Fly
abil_skill_foodlover_name	Food Lover
abil_skill_forcefield_name	Forcefield
abil_skill_fortify_desc	(Toggle) Divert ^number1^ of incoming damage to your Runic Crystal.
abil_skill_fortify_extradesc	Damage transferred passes through your mitigation first.
abil_skill_fortify_name	Fortify
abil_skill_freezeshot_name	Freeze Shot
abil_skill_freezevial_shortdesc	Blasts the area with deadly ice shards and slows enemies!
abil_skill_friendlysludgehit_name	Sludge Hit
abil_skill_froghop_name	Frog Hop
abil_skill_fungaldestruct_name	Fungal Explosion
abil_skill_fungalpull_name	Fungal Pull
abil_skill_fungalregen_name	Fungal Regenerate
abil_skill_fungalspores_name	Fungal Spores
abil_skill_fungalspread_name	Fungal Spread
abil_skill_furiouscrescendo_desc	Perform a wide slashing attack that ends your current Song, growing in range and power based on your Song's intensity.
abil_skill_furiouscrescendo_extradesc	Damage: ^number1^ of Weapon Power, ^number2^ per Song level.
abil_skill_furiouscrescendo_name	Furious Crescendo
abil_skill_furiouscrescendo_shortdesc	Wide slash attack that ends your Song; scales in range/power based on Song intensity.
abil_skill_gamblercrit_name	Gambler Crit
abil_skill_gloriousbattler_desc	(Passive) When defeating a non-Worthless enemy with a song active, that song increases in intensity and you gain ^number1^ CT.
abil_skill_gloriousbattler_name	Glorious Battler
abil_skill_goldaura_name	Golden
abil_skill_goldhop_name	Gold Hop
abil_skill_goldtoss_desc	Throw money at enemies! Tosses (^number1^ x Level) gold, splitting an equal amount of base damage between enemies hit.
abil_skill_goldtoss_extradesc	Damage: ^number1^ x Level as Physical.
abil_skill_goldtoss_name	Gold Toss
abil_skill_grapplinghook_desc	Pull yourself to a wall!
abil_skill_grapplinghook_name	Grappling Hook
abil_skill_grapplinghook_shortdesc	Pull yourself to an empty tile next to any wall.
abil_skill_gravitysurge_2_desc	Creates a gravity surge from your Runic Crystal, pulling in nearby enemies and lowering their Lightning resistance. Centers on you if your Runic Crystal is destroyed.
abil_skill_gravitysurge_2_extradesc	Lightning resistance lowered by ^number1^.
abil_skill_gravitysurge_2_name	Gravity Surge
abil_skill_gravitysurge_2_shortdesc	Creates a gravity surge from your Runic Crystal (or you, if you don't have one), pulling in nearby enemies and lowering their Lightning resistance.
abil_skill_gravitysurge_desc	Creates a gravity surge from your Runic Crystal, pulling in and rooting nearby enemies. Centers on you if your Runic Crystal is destroyed.
abil_skill_gravitysurge_extradesc	Roots enemies for ^number1^ turn.
abil_skill_gravitysurge_shortdesc	Creates a gravity surge from your Runic Crystal (or you, if you don't have one), pulling in and rooting nearby enemies.
abil_skill_grottosting_name	Flyer Sting
abil_skill_gustjump_name	Tornado Jump
abil_skill_hailofarrows_2_desc	Fire arrows into the air that land ^number2^ turns later.
abil_skill_hailofarrows_2_name	Hail of Arrows
abil_skill_hailofarrows_desc	Fire arrows into the air that land ^number1^ turns later.
abil_skill_hailofarrows_extradesc	Damage: ^number2^ of Weapon Power.
abil_skill_harrier_name	Harrier
abil_skill_hastepotion_name	Haste
abil_skill_haunt_name	Haunt
abil_skill_hazardsweep_desc	(Passive) When walking on a summoned hazard or source of damage, you have a ^number1^ chance to destroy it.
abil_skill_hazardsweep_name	Hazard Sweep
abil_skill_healingwaters_name	Healing Waters
abil_skill_heartysandwich_name	Hearty Sandwich
abil_skill_heavyarmormastery1_desc	^fp While wearing Heavy Armor, elemental damage is reduced by ^number1^ per experience level.
abil_skill_heavyarmormastery1_name	Heavy Armor Mastery
abil_skill_heavyguard_desc	(Toggle) Increases shield block chance, but reduces chance to crit and blocking takes ^number1^ stamina. Generates a Wrath charge on block.
abil_skill_heavyguard_extradesc	Block chance increased by ^number2^. Critical chance is cut in half.
abil_skill_heavyguard_name	Heavy Guard
abil_skill_hemorrhage_desc	Inflict heavy bleed when target moves.
abil_skill_hemorrhage_name	Hemorrhage
abil_skill_hemorrhage_shortdesc	Inflict heavy bleed when target moves.
abil_skill_herbforaging_desc	(Passive) Your keen sense of smell leads you to occasionally find restorative Herbs when non-Trivial enemies are defeated.
abil_skill_herbforaging_extradesc	Herbs act like half-strength powerups and are instantly used when touched, but only last for three turns on the ground.
abil_skill_herbforaging_name	Foraging
abil_skill_highlandcharge_2_name	Highland Charge
abil_skill_highlandcharge_2_shortdesc	Leap to the target tile, dealing damage when you land scaling with your Song level.
abil_skill_highlandcharge_extradesc	One additional range per Song level. Increases next regular attack's damage by ^number1^ per Song level.
abil_skill_highlandcharge_shortdesc	Dashes forward in a line for a distance based on your Song level. Buffs your next attack based on Song level.
abil_skill_holdthemoon_2_desc	Strike and disable an enemy in front of you while making a graceful withdrawal.
abil_skill_holdthemoon_2_extradesc	Immediately gain ^number1^ CT.
abil_skill_holdthemoon_2_name	Hold the Moon
abil_skill_holdthemoon_2_shortdesc	Root and debuff target enemy, then step away.
abil_skill_holdthemoon_extradesc	Root target enemy and reduce its damage by ^number1^ for ^number2^ turns.
abil_skill_hotstreak_2_desc	Dash in one of three directions at random, leaving flames in your wake.
abil_skill_hotstreak_2_extradesc	Flames Damage: ^number1^ of Weapon Power as Fire.
abil_skill_hotstreak_2_name	Hot Streak
abil_skill_hotstreak_2_shortdesc	Dash in one of three directions at random, leaving flames in your wake. (Rotatable)
abil_skill_hotstreak_desc	Dash in one of ^number1^ directions at random, leaving flames in your wake.
abil_skill_hotstreak_extradesc	Flames Damage: ^number2^ of Weapon Power as Fire.
abil_skill_hotstreak_shortdesc	Dash in one of ^number1^ directions at random, leaving flames in your wake. (Rotatable)
abil_skill_hundredfists_2_desc	Attacks a nearby enemy with an overwhelming flurry of blows. May also strike any Vital Point.
abil_skill_hundredfists_2_name	Hundred Fists
abil_skill_hundredfists_2_shortdesc	Attack target enemy. May also strike any Vital Point.
abil_skill_hundredfists_desc	Attacks a nearby enemy with an overwhelming flurry of blows, also striking adjacent targets.
abil_skill_hundredfists_extradesc	Damage: ^number1^ of Weapon Power as Physical, ^number2^ to adjacent enemies.
abil_skill_hundredfists_shortdesc	Attack target enemy, dealing splash damage.
abil_skill_hunterwolf_desc	Summons a loyal lupine pet made of pure Flow to fight by your side and slow enemies down.
abil_skill_hunterwolf_extradesc	Scales with your level. You may only have one Spirit Wolf summoned at once.
abil_skill_hunterwolf_name	Summon Spirit Wolf
abil_skill_iaijutsu_name	Iaijutsu
abil_skill_icearmor_name	Frostspike Armor
abil_skill_iceboulders_name	Ice Cross
abil_skill_icecone_name	Ice Evocation
abil_skill_icedaggers_name	Ice Daggers
abil_skill_iceevocation_extradesc	Damage: ^number1^ of Spirit Power as Water. Reduces accuracy and CT gain by ^number2^.
abil_skill_iceevocation_shortdesc	Chills the enemy with freezing ice, slowing them and reducing their accuracy (Spellshape possible!)
abil_skill_icemissile_desc	Fire an arrow that bursts into ice, dealing damage and encasing its target in a frozen prison!
abil_skill_icemissile_extradesc	Damage: ^number1^ of Weapon Power, ^number2^ of Spirit Power as Water. Ice prison slows enemies when broken.
abil_skill_icemissile_name	Ice Missile
abil_skill_icemissile_shortdesc	Damages the first thing it hits and surrounds with ice that slows enemies when broken.
abil_skill_iceprison1_name	Ice Prison 1
abil_skill_iceprison2_name	Ice Prison 2
abil_skill_iceshot_name	Icicle Shot
abil_skill_iceslimehop_name	Ice Jelly Hop
abil_skill_iceslimesummonreaction_name	Ice Slime Split
abil_skill_icetortoise_2_desc	Project qi through your weapon to the surrounding air, solidifying it into damaging ice shards. Each shard boosts your defense.
abil_skill_icetortoise_2_extradesc	Damage: ^number1^ of Weapon Power as Water per shard. Defense ^number2^ per shard.
abil_skill_icetortoise_2_name	Ice Tortoise
abil_skill_icetortoise_2_shortdesc	Slash air to create a rotating shield of ice shards.
abil_skill_icetortoise_desc	Project qi through your weapon to the surrounding air, solidifying it into damaging ice shards.
abil_skill_icetortoise_extradesc	Damage: ^number1^ of Weapon Power as Water per shard.
abil_skill_icetrapprison_name	Ice Trap Prison
abil_skill_immunology_desc	(Passive) Grants ^number1^ chance to ignore incoming debuffs, while debuffs YOU cause last ^number2^ additional turn(s).
abil_skill_immunology_name	Immunology
abil_skill_improvedparry_desc	(Passive) Greater chance to parry enemy attacks made from different angles.
abil_skill_improvedparry_name	Improved Parry
