abil_skill_banditdragonsoul_desc	断龙：刀之呼吸。对周围5x5方格内的敌人造成^number1^武器伤害（物理）。
beastdungeon_firstwavestart_part2_txt	太#cr#仓促#ec#了！但如果我现在离开，这些野兽会吃光#cg#藤蔓#ec#，这样我就无法再往上爬了。\n\n我必须#cy#打败它们#ec#。最好尽快做好准备！\n\n
beastdungeon_firstwavestart_txt	我通过空气能感觉到，这四颗#cg#藤蔓#ec#即将疯狂成长！\n\n…哦 ，远处是什么声音？\n\n
bubbleshield_displayname	气泡护盾
budoka_glove1_desc	类似于徒手攻击。忽略任何武器加成。最多支持^number1^魔法mods。
budoka_glove1_name	新手包
budoka_glove2_name	学徒包
budoka_glove3_name	专家包
budoka_glove4_name	大师包
des_obj_creepingsludge_dname	瘟疫沼泽
description_xp2_limitbreak	巨龙之力在受到伤害时增加。达到#cg#100%#ec#时，你的下一次#cy#普通攻击#ec#就可以使用强力的#co#断龙#ec#攻击！使用断龙攻击或者#cy#15#ec#回合以后，你的#co#龙之力#ec#将被重置。
dialog_weaponmaster_chat_whip_mastery_ultimate_ready_btn_0	学习音爆（1000 JP）
dialog_weaponmaster_chat_whip_mastery_ultimate_ready_txt	#cy#乔里托#ec#：我看到你用一根装备的#cy#皮鞭#ec#击败了#cy#^tag2^冠军#ec#。看来你已经做好了学习<#40b843>终极奥义#ec#的准备。\n\n你#cy#确定#ec# 这就是你想要掌握的<#40b843>终极奥义#ec#吗？一旦确定将#cr#永远无法再学习其它奥义。#ec#\n
dialog_weaponmaster_chat_whip_mastery_ultimate1_txt	#cy#乔里托#ec#：在你学习<#0cffe6>音爆#ec#之前，必须先在主手装备#cy#皮鞭#ec#的情况下打败#cy#^tag1^冠军#ec#。他们可不是<#79a2ab>泛泛之辈#ec#。\n\n到目前为止，你已经使用#cy#皮鞭#ec#击败了<#40b843>^tag2^#ec#冠军。你应该继续锻炼自己。\n
dialog_weaponmaster_chat_whipmastery_btn	<#40b843>皮鞭大师#ec#之路
dialog_weaponmaster_chat_whipmasteryintro_btn_0	学习响尾蛇（400 JP）
dialog_weaponmaster_chat_whipmasteryintro_txt	#cy#乔里托#ec#：#cy#皮鞭#ec#是一种使用起来非常灵活的武器，它单次攻击的威力较小，但可以一次攻击成群的敌人。它的<#40b843>秘技#ec##cy#多为范围伤害#ec#，可同时攻击多个目标。\n\n第一个秘技是<#0cffe6>响尾蛇攻击#ec#。它可以鞭打一排敌人，将他们击倒并同时缠绕他们。\n
dialog_weaponmaster_chat_whipmasteryintro2_btn_0	学习缠绕（700 JP）
dialog_weaponmaster_chat_whipmasteryintro2_txt	#cy#乔里托#ec#：#cy#皮鞭#ec#是一种使用起来非常灵活的武器，它单次攻击的威力较小，但可以一次攻击成群的敌人。它的<#40b843>秘技#ec##cy#多为范围伤害#ec#，可同时攻击多个目标。\n\n第二个秘技是<#0cffe6>缠绕#ec#，这是一个被动技能。装备这个技能，使用皮鞭攻击时有几率#cy#解除敌人武装#ec# （麻痹）。\n
dialog_weaponmaster_chat_whipmasteryintro3_btn_0	学习灵巧手腕（800 JP）
dialog_weaponmaster_chat_whipmasteryintro3_txt	#cy#乔里托#ec#：#cy#皮鞭#ec#是一种使用起来非常灵活的武器，它单次攻击的威力较小，但可以一次攻击成群的敌人。它的<#40b843>秘技#ec##cy#多为范围伤害#ec#，可同时攻击多个目标。\n\n第三个秘技是<#0cffe6>灵巧手腕#ec#，这是一个被动技能。装备这个技能，当你鞭打到多个目标时，将获得额外的#cy#暴击几率#ec#。\n
dialog_weaponmaster_chat_whipmasteryintro4_btn_0	我准备好了，教我使用<#0cffe6>音爆#ec#吧！
dialog_weaponmaster_chat_whipmasteryintro4_txt	#cy#乔里托#ec#：我看你已经熟练掌握#cy#皮鞭#ec#的基础技巧了。你确定要学习<#40b843>终极奥义#ec#吗？请仔细斟酌 - 你只能学习#cy#一个#ec#<#40b843>终极奥义#ec#。\n\n使用<#0cffe6>音爆#ec#,，你可以攻击邻近的敌人，制造一个#cy#冲击波#ec#，并逐渐扩散，敌人离你越远受到的伤害越高。\n
dragonbreak_bandit_power_desc	对一群怪物使用刀之呼吸，造成^number1^武器伤害（物理）并附加流血。
dragonbreak_beast_power_desc	将一颗流星落在一群怪物身上，造成^number1^武器伤害（火元素）并眩晕它们。
dragonbreak_frog_power_desc	优雅地飞跃到怪物身边，对怪物和所有邻近的敌人造成^number1^武器伤害（物理）。
dragonbreak_ready_desc	你的下一次普通攻击将触发一次强大的#co#龙断#ec#！
dragonbreak_ready_name	垄断充能完毕！
dragonbreak_robot_power_desc	使用光束攻击一群怪物，造成至少^number1^的武器伤害（雷元素）。
dragonbreak_slime_power_desc	召唤^number1^个友好的史莱姆与你并肩战斗！
dragonbreak_spirit_power_desc	对一群怪物喷洒毒气，造成^number1^武器伤害（毒元素），并在该区域覆盖催眠气体。
exp_banditdungeon_cname1	盗贼水城（1F）
exp_banditdungeon_cname2	盗贼水城（2F）
exp_banditdungeon_cname3	盗贼水城（3F）
exp_banditdungeon_cname4	贼龙巢穴
exp_beastdungeon_cname1	上古丛林（1F）
exp_beastdungeon_cname2	上古丛林（2F）
exp_beastdungeon_cname3	上古丛林（3F）
exp_beastdungeon_cname4	上古丛林（4F）
exp_beastdungeon_cname5	上古丛林（最上层）
exp_crafting_commongearandthreegems_to_randomgear	普通装备*1 + 同等级宝石*3 = 随机装备*1（可能是传奇品质）
exp_crafting_gemleaves_to_gems	同等级宝石碎片*2 = 同等级宝石*1
exp_crafting_legendaryandthreegems_to_orbs	传奇或套装*1 + 同等级宝石*3 = 梦幻宝珠*5
exp_crafting_lucidorbandgem_to_randomlucidorb	清晰宝珠 + 宝石*1 = 随机清晰宝珠*1
exp_crafting_orbandjobscroll_to_skillorb	梦幻宝珠*1 + 转职卷轴*1 = 随机技能宝珠*1
exp_crafting_potions_to_elixir	超级回复药剂*2，精力，能量药剂 = 万灵药*1
exp_crafting_sixlucidshards_to_randomlucidorb	任意清晰宝珠碎片*6 = 随机清晰宝珠*1
exp_crafting_threecommonarmor_to_randomarmor	普通护甲*3 = 随机普通护甲*1
exp_crafting_threecommonoffhand_to_randomoffhand	普通副手*3 = 随机普通护手*1
exp_crafting_threecommonweapons_to_randomweapon	普通武器*3 = 随机普通武器（不同类型）*1
exp_crafting_threegems_upgrade	同等级宝石*3 = 更高等级宝石*1
exp_crafting_threelucidorbs_to_oneregular	任意清晰宝珠*3 = 梦幻宝珠*1
exp_crafting_threepotions_upgrade	治疗或隐形药剂*3 = 更高等级药剂*1
exp_crafting_threescrollsandgem_to_randomscroll	任意卷轴*3 + 宝石*1 = 随机卷轴*1
exp_crafting_threeseeds_to_randomseed	任意种子*3 = 随机种子*1
exp_crafting_twoaccessoriesandgem_to_randomaccessory	普通装饰品*2 + 宝石*1 = 随机普通装饰品*1
exp_crafting_tworelics_to_randomrelic	任意遗物*2 = 随机类似威力遗物*1
exp_crafting_tworelicsanditem_to_specificrelic	任意遗物*2 + 非遗物装备*1 = 随机遗物*1
exp_dialog_crafting_recipeintro	这就是我所知道的所有配方。\n
exp_dialog_frogking_town_craftinginfo	#cy#霍拉提奥：#ec#我会尽量简单地说，这样你也能理解。\n\n你给我正确的#cy#道具#ec#，我会用我的#cg#强力青蛙魔法#ec#制作一些东西给你。\n
exp_dialog_frogking_town_dragons_1	#cy#霍拉提奥：#ec#其它#co#远古巨龙#ec#比我强大得多，你是 #cr#毫无机会#ec#击败它们的！因此，我不妨告诉你它们的所在, #cy#嘿嘿#ec#...\n\n
exp_dialog_frogking_town_dragons_2	#cy#霍拉提奥：#ec#你可以在#co#伪装者藏身处#ec#找到其中一条。\n有一条住在#co#宁静湖#ec#。\n#co#梦之大陆#ec#也栖息着一条.\n还有一条住在#co#潮湿洞穴#ec#里。\n\n
exp_dialog_frogking_town_intro	#cy#霍拉提奥：#ec#你现在想要什么？我可是#cg#非常非常#ec#忙的！\n
exp_enemycaltrops_name	敌方铁蒺藜
exp_frogdungeon_cname1	泥炭沼泽（1F）
exp_frogdungeon_cname2	泥炭沼泽（2F）
exp_frogdungeon_cname3	泥炭沼泽（3F）
exp_frogdungeon_cname4	青蛙龙穴
exp_log_eatenwhole	#cr#^tag1^#ec#吞下了整个#cy#^tag2^#ec#！
exp_log_gateopened	你听到#cy#远处某个地方#ec#传来#cy#门#ec#被打开的声音…
exp_log_ghostaura_wrongtarget	在#cy#幽冥鬼雾#ec#中，你的攻击只会对#cy#^tag1^#ec#起作用！
exp_log_item_crafted	制作完成：#cy#^tag1^#ec#！
exp_log_monsterhorde_attack	#cy#一大波#ec# #cr#怪物#ec# #cy#出现了！#ec# (第#cg#^tag1^#ec#波)
exp_log_monsterhorde_fail	#cy#藤蔓们#ec#被#cr#摧毁了#ec#！挑战失败…
exp_misc_eatenwhole	被吃了！
exp_mon_banditdragon_name	盗贼之龙
exp_mon_beastdragon_name	暴君之龙
exp_mon_cheftoad_name	蛙之食神
exp_mon_frogdragon_name	霍拉提奥，蛙龙
exp_mon_hornetnest_name	黄蜂巢穴
exp_mon_jellydragon_name	果冻龙篡位者
exp_mon_prototype_husyn_name	原型机
exp_mon_robotdragon_name	机械巨龙
exp_mon_spiritdragon_name	精灵龙
exp_mon_warhornet	大黄蜂
exp_mon_xp_defensecrystal_name	魔法藤蔓
exp_npc_realjellydragon_name	果冻，果冻龙
exp_obj_floorswitch_name	开关
exp_obj_friendlymonster_egg_name	水晶监狱
exp_obj_metalgate_name	铁门
exp_obj_ruined_future_obstacle_01_name	固体废料
exp_obj_ruined_robot_scrap_heap_name	金属废料
exp_popup_dragondefeated	击败巨龙！
exp_popup_wave	第^tag1^波！
exp_robotdungeon_cname1	机械迷宫（1F）
exp_robotdungeon_cname2	机械迷宫（2F）
exp_robotdungeon_cname3	机械迷宫（3F）
exp_robotdungeon_cname4	机械迷宫（4F）
exp_robotdungeon_cname5	机械迷宫（最上层）
exp_skill_deeproar_name	原初咆哮
exp_skill_dragon_taillash_name	神龙摆尾
exp_skill_expmon_summonneutralizers_name	机器人大军
exp_skill_firewave_name	火焰波
exp_skill_gasbreath_name	催眠瓦斯
exp_skill_icestrike_name	寒潮
exp_skill_knifebreath_name	刀之呼吸
exp_skill_lightningbreath_name	闪电呼吸
exp_skill_meteorbreath_name	流星呼吸
exp_skill_shadowbreath_name	梦魇呼吸
exp_skill_skysnakepoison_name	猛毒
exp_skill_slimebreath_name	史莱姆呼吸
exp_skill_slimedragonbreak_name	史莱姆援兵
exp_slimedungeon_cname1	史莱姆平原（1F）
exp_slimedungeon_cname2	史莱姆平原（2F）
exp_slimedungeon_cname3	史莱姆平原（3F）
exp_slimedungeon_cname4	史莱姆平原（最上层）
exp_specialmon_gatekeeper	看门人
exp_spiritdungeon_cname1	精灵圣域（1F）
exp_spiritdungeon_cname2	精灵圣域（2F）
exp_spiritdungeon_cname3	精灵圣域（3F）
exp_spiritdungeon_cname4	精灵圣域（最上层）
exp_status_enrageattack_name	激怒
exp_status_physicalform_name	实体形态
exp_status_spiritform_name	灵体形态
exp_switch_nothing	#cy#拨动了开关#ec#，但#cr#什么也没发生#ec#。
exp_ui_boxitemheader	霍拉提奥的物品
exp_ui_craftheader	霍拉提奥的餐食
exp_ui_craftitems	制作物品！
exp_ui_playeritemheader	你的物品
exp_wanderer_dungeon11_name	永恒洞窟
final_dragon_callout_part1_1	我的#cg#两栖类小动物#ec#朋友，这就是它们全部。所有的#co#巨龙#ec#都已经被击败了\n\n
final_dragon_callout_part1_2	#cg#*啵 啵 啵*#ec#难以置信！真是强大的不可思议！你一定作弊了！\n\n
final_dragon_callout_part1_3	恐怕不行，#cg#青蛙朋友#ec#！这些事情确实很难，但它们难不倒我。\n\n现在#cy#威胁#ec#消失了，我想我们可以坐下来讨论讨论了-\n\n
final_dragon_callout_part2_1	那是什么！？\n\n听着，#cg#小家伙#ec#，如果你用魔法伤害任何一位，你都会为此付出代价。\n\n大声点！你做了什么？\n\n
final_dragon_callout_part2_2	不，不是我干的！我#cg#*发誓*#ec#！即使我想，我的#cg#青蛙魔法#ec#也做不到。\n\n
final_dragon_callout_part2_3	#heroname#，我想我已经知道一小部分答案了。当#cr#爆炸#ec#发生的同时，能量增强了#cy#834%#ec#并汇聚到#cy#织梦者#ec#。\n\n我们可以推断爆炸的源头是由#cy#机械#ec#产生的，再进一步，它与驱动#cy#织梦者#ec#和#cc#远古魔方#ec#的技术是一样的。\n\n我敢说我们的绿色小朋友说的是实话！\n\n
final_dragon_callout_part2_4	所有，在某处应该有#cy#另一台#ec#强大的机器，但是为什么它现在被激活了？\n\n
final_dragon_callout_part2_5	我做出了一个假设，也许与你最近击败#co#巨龙#ec#有一定的关联？\n\n我们对这些远古遗迹所知甚少，但有一件事情可以肯定，它们和我们一样，与#cc#波动#ec#有关联。\n\n也许是#co#巨龙#ec#的事件，让#cc#波动#ec#发生了巨大改变导致唤醒了这个#cy#未知#ec#装置！\n\n
final_dragon_callout_part2_6	这似乎是个合理的猜测。如果你是对的，源头可能就在我之前看到许多#cy#机械machines#ec#的地方附近。\n\n我会从#cc#^$getstring:levelname$^!#ec#开始调查。\n\n
frog_dragon_defeated_1	#cy#啊！#ec#\n\n#cg#不！#ec#我的魔法被解除了，都是你的错。#cr#你会有报应的#ec#，混蛋！\n\n
frog_dragon_defeated_2	这就是你咆哮的样子。一只#cg#可爱的小青蛙#ec#，哈哈！\n\n我想现在是时候回去溪石营地了，是吧？\n\n
frog_dragon_defeated_3	我#cr#诅咒你#ec#，#cg#对天发誓#ec# soul！\n\n我的#cg#青蛙魔法#ec#依旧可以施展，它们可以把那些破铜烂铁般的武器化为尘埃！\n\n
frog_dragon_defeated_4	你有两条路可以选，#cg#容易#ec#或者#cr#复杂#ec#的，小青蛙。容易的就是我设置一个#cc#传送门#ec#，而你走进去，成为城镇的一员，提供你能力范围内的帮助。当然也许你也可以用你的青蛙魔法帮助我们离开这里。\n\n复杂的，相信我想你不会喜欢，巨大的锤子，眼冒金星，然后你会在#cy#某个地方醒来#ec#，你不会喜欢那个地方的。\n\n
frog_dragon_defeated_5	... #cg#呃#ec# ...\n\n我想暂时去镇里生活也不错。\n\n但是！你要知道，小东西！我只是5条#co#远古巨龙#ec#中的一个，它们的力量可强大得多，你不可能击败所有的巨龙，#cg#绝不可能#ec#！\n\n
frog_dragon_defeated_response_1	啊，可爱的小青蛙！
frog_dragon_defeated_response_2	让我换个说法。
frog_dragon_defeated_response_3	我们拭目以待。不管怎样，出发吧！
frog_dragon_intro_1	这是我见过最大的青蛙！它一定是这里其它青蛙的领袖。\n\n它对#cc#溪石营地#ec#和其它地区都是巨大的威胁。兰登，如果它你是失散多年的表弟，我很抱歉！\n
frog_dragon_intro_2	#cg#*脱口而出*#ec#你怎么敢闯入这里，并且如此无礼的对我说话！我是#co#霍拉提奥，蛙龙#ec#，你必须对我表示敬意。\n
frog_dragon_intro_3	#cy#什么？！#ec#\n\n你-…对不起，#co#巨龙#ec#？！就是那些记载在远古传说故事中的神秘生物？\n
frog_dragon_intro_4	故事？#cg#*呵呵呵*#ec#\n\n你们这些健忘的人类是不是已经忘记了曾经的#cy#国王#ec#？我沉睡了很久，现在是时候向我进贡了。\n
frog_dragon_intro_5	我们没有国王。我们欢迎你和我一起回去#cc#溪河营地#ec#，而且我们会和你分享食物，但你不能威胁那里的人们，更不能索要所谓的贡品。\n
frog_dragon_intro_6	#cr#闭嘴，蠢货！#ec#\n\n你们不但要“迎接”我这个国王。还要做的就是#cr#服从#ec#和#cr#恐惧#ec#。我会前往溪谷营地，然后提醒你们我应有的支配权。\n
frog_dragon_intro_7	那么你必须和其它青蛙一起留在这里，我会确保这一切直到你不会再骚扰我们。|n
frog_dragon_intro_8	#cg#*哈哈哈*#ec#\n你激怒我了，现在你将面对我的#cr#愤怒#ec#。\n\n#cr#蛙仔们，进攻！#ec#\n
frog_dragon_intro_response_1	你能说话？！
frog_dragon_intro_response_2	贡品？！我不这么认为。
frog_dragon_intro_response_3	我们可不是你的青蛙。所以，我不会让你得逞的。
frog_dragon_intro_response_4	值得一试。
frog_dungeon_entry_txt	这里有些#cy#不一样#ec#，空气和土壤中。这里的#cc#波动#ec#更加明显...#cy#且古老#ec#。这里与我迄今为止探索过的纷乱深渊截然不同。\n\n我真的准备好探索这里了吗？我最好做好#cy#万全准备#ec#。\n\n
frog_dungeon_unlock_txt	#cg#兰登#ec#是对的！从那些楼梯传来微风，它们通向哪里？希望没有更多的青蛙了！\n\n我想只有一种办法可以知道。\n\n
info_weaponproperties_whip	伤害受力量和迅捷影响；攻击目标附近的人\n暴击时：目标每回合受到25%武器伤害，持续2回合。
item_bomb_caltrops2_desc	这些就像我过去在溪石营地周围收集的针状树种子，只是看起来更尖锐一些。
item_bomb_caltrops2_name	星形蒺藜
item_bomb_fire3_desc	这瓶子热得我都可以在上面煮鸡蛋了。嘿，这可比生火简单多了。
item_bomb_fire3_effectdesc	造成(等级 x ^number1^)伤害（火元素）并点燃敌人（在^number3^回合内持续造成^number2^点伤害（精神)）。
item_bomb_fire3_name	地狱火药剂
item_bomb_ice2_desc	仅仅是把它放在背包内就冻得我瑟瑟发抖。我必须想办法让自己暖和起来。
item_bomb_ice2_effectdesc	召唤一团致命的冰片，造成（等级 x ^number1^)伤害（水元素）。^number2^几率触发缠绕和麻痹！
item_bomb_ice2_name	冰霜手榴弹
item_bomb_lightning3_desc	触摸它的外壳让我的汗毛全都竖了起来，还有点刺痛感。
item_bomb_lightning3_effectdesc	在3x3范围内制造闪电暴雷，造成(等级 x ^number1^)伤害（雷属性）。
item_bomb_lightning3_name	雷霆酊剂
item_dragonsoul_frog_desc	强大#co#远古巨龙#ec#的精髓。永久解锁一个新龙魂被动技能！
item_dragonsoul_generic	龙魂
item_egg_metalslime_blue_name	自组史莱姆（C）
item_egg_metalslime_red_name	自组史莱姆（M）
item_egg_metalslime_yellow_name	自组史莱姆（Y）
item_part_metalslime_blue_01_desc	看上去像一堆螺母包裹着史莱姆。它摇摇摆摆，颤颤巍巍。真奇怪！
item_part_metalslime_blue_01_name	金属史莱姆（C）
item_part_metalslime_blue_02_name	机械眼睛（C）
item_part_metalslime_blue_03_name	史莱姆核心（C）
item_part_metalslime_red_01_desc	一些金属碎片和粘稠的史莱姆混合在一起。它摇摇摆摆，颤颤巍巍。真奇怪！
item_part_metalslime_red_01_name	金属史莱姆（M）
item_part_metalslime_red_02_name	机械眼睛（M）
item_part_metalslime_red_03_name	史莱姆核心（M）
item_part_metalslime_yellow_01_desc	用黄色史莱姆粘在一起的金属零碎东西。它摇摇摆摆，颤颤巍巍。真奇怪！
item_part_metalslime_yellow_01_name	金属史莱姆（Y）
item_part_metalslime_yellow_02_name	机械眼球（Y）
item_part_metalslime_yellow_03_name	史莱姆核心（Y）
item_weapon_whip1_desc	当我还是个孩子的时候，我会从商店借一些绳子，假装我在用它和怪物搏斗。我没想到现在会用绳子和真正的怪物战斗！
item_weapon_whip1_name	绳鞭
item_weapon_whip2_desc	杰西说这个东西可以让你骑在怪物身上，但我觉得这不靠谱。谁敢去试试？
item_weapon_whip2_name	皮质马具
item_weapon_whip3_desc	挥舞它发出的“啪啪”声太响了！让周围的人听起来都不是很舒服。
item_weapon_whip3_name	牛鞭
item_weapon_whip4_desc	起初，我认为它太重了，无法挥舞，但现在我看到了它是多么灵巧。现在，只要确保不要抽到我自己。
item_weapon_whip4_name	制作道具！
item_weapon_whip5_desc	它身上覆盖着精致的白色皮毛。我希望高贵的生物不会因为致命武器的制造而失去生命。
item_weapon_whip5_name	独角兽鞭
item_weapon_whip6_desc	我觉得这鞭子会感应我的动作和思想。这听起来可能很疯狂，但这是真的！每次挥舞都感觉非常自如。
item_weapon_whip6_name	蛇鞭
langdon_dragon_info_button	你说我应该去哪里？
langdon_start_dragonquest_1	#cy#兰登：#ec# #cg#*嘎鲁嘎鲁*！！！#ec#\n\n这可不是心理作用#cg#*嘎鲁*#ec# ，这片森林发生了#cr#奇怪的事情#ec#。糟糕，很糟糕。\n
langdon_start_dragonquest_2	#cy#兰登：#ec#嗯，这很难解释。这片土地，#cg#*嘎鲁*#ec#不再是我知道的那片土地了。\n\n吃一口坏掉的水果，#cg#*嘎鲁*#ec#谁内心都会后悔把？\n
langdon_start_dragonquest_3	#cy#兰登：#ec#不，一点线索都没有。#cg#*嘎鲁*#ec#\n\n但我的#cy#直觉#ec#告诉我#cg#纷乱深渊#ec#是一切的源头。如果我不是分身乏术，#cg#*嘎鲁*#ec#我一定马上动手前去调查。\n
langdon_start_dragonquest_4	#cy#兰登：#ec#也许那个地方全都是和我一样的？一大群#cg#青蛙#ec#？\n\n我不知道。我不是一个爱#cg#*嘎鲁*#ec#冒险的人。如果你想亲自去调查的话，我建议你#cy#小心点#ec#。\n\n哦，对了，如果你看到#cg#*嘎鲁#ec#杰里布的话，请告诉我。她又#cy#“失踪”#ec#了，这个可爱的小宝贝。\n\n
langdon_start_dragonquest_response_1	什么意思？
langdon_start_dragonquest_response_2	哦...我认为是这样。知道是什么引发的吗？
langdon_start_dragonquest_response_3	你会去哪里？
langdon_start_dragonquest_response_4	我会的。谢谢你，兰登。
log_absorbing_negate_crit	你用<#40b843>你的盾牌#ec#格挡了一次#cr#暴击#ec#！
log_buffstrip	你#cg#消去#ec#了#cy#^tag1^#ec#的增益效果, #cy#^tag2^#ec#！
log_frogs_join_battle	#cy#^tag1^#ec#说， #cy#"青蛙们，帮帮我！"#ec#
log_ghost_putatrest	#cy#^tag1^#ec# #cg#逐渐消失了#ec#。
log_ghost_restless	#cy#^tag2^#ec#的#cr#^tag1^#ec#出现了！
log_jellydragon_arrivalturns	#cy#敌人头领在#ec# #cr#^tag1^回合到达！#ec#
log_limitbreak_reached	#co#巨龙之力#ec##cy#集满#ec#！
log_player_dragonbreak	#cg#你#ec#对#cy#^tag1^#ec#!使用了一次#co#断龙#ec#攻击!
log_ricochet_damage	箭矢被#cy#^tag1^#ec#反弹并射中了#cy#^tag2^#ec#，造成#co#^tag3^#ec#伤害！
