abil_skill_summonvoidcrystal_name	Conjure Void Crystal
dialog_shara_boss2_devicedestroyed_6	#cy#He?!#ec# Who? Ingersoll you... Oh #cr#how DARE you#ec# do that to me!\n\n
dialog_shara_boss2_devicedestroyed_7	Destroying that technology instead of seeing it passed along to the world. How selfish. And yet...\n\n
dialog_shara_boss2_devicedestroyed_8	And so the device is destroyed too. No one's fault but Ingersoll's, so short sighted of him. Still...\n\n
dialog_shara_boss2_devicedestroyed_9	That #cy#couldn't#ec# be the only one of its kind. He didn't create it, he #cy#found#ec# it, which means I will find plenty more like them. And unlike him, I won't #cy#waste#ec# that newfound power.\n\n
dialog_shara_boss3victory_part1_1	#cr#CRITICAL SYSTEM FAILURE - SHUTDOWN IMMINENT#ec#\n\n#cy#ATTEMPTING TO NOTIFY #ec##cg#SUPERVISOR#ec#\n\n
dialog_shara_boss3victory_part1_10	But first...\n\nWhat fancy treasures did this magic armor leave behind?\n\n
dialog_shara_boss3victory_part1_11	There are Flow conduits here... small crystals... hmm...\n\nThis energy is... bent somehow. Strange.\n\nStill...\n\n
dialog_shara_boss3victory_part1_12	If the #cg#Supervisor#ec# was able to use it to control this metal machine, I should have no problem using it as a focus to make #cy#others#ec# serve #cr#me.#ec#\n\n
dialog_shara_boss3victory_part1_13	bip bip ...\n\nbep bip bibi boop?\n\n
dialog_shara_boss3victory_part1_14	beep beew? ...\n\nbep bip bee bip beww!\n\nbew bew?\n\n
dialog_shara_boss3victory_part1_15	That's right, little metal bird with tentacles.\n\nI'm your new best friend.\n\n
dialog_shara_boss3victory_part1_16	Perfect.\n\n
dialog_shara_boss3victory_part1_2	#cg#Supervisor#ec#? Who is your "Supervisor"? Who are you taking orders from?!\n\n
dialog_shara_boss3victory_part1_3	#cg#SUPERVISOR OVERRIDE ACTIVE#ec#\n\n#cr#SELF-DESTRUCTING...#ec#
dialog_shara_boss3victory_part1_4	Stop! #cr#NO!#ec#\n\n
dialog_shara_boss3victory_part1_5	A #cg#Supervisor#ec# who would rather see his creations destroyed than fall into my hands. Just like Ingersoll.\n\nI see what he meant now. To sacrifice so much... this power must be immense.\n\n
dialog_shara_boss3victory_part1_6	It #cy#IS#ec# immense! I am surrounded by metal magic. Intelligence and life imbued into machines? Matter created from nothing?\n\nThat is #cg#divine#ec# power.\n\n
dialog_shara_boss3victory_part1_7	This is my #cc#purpose#ec#.\n\n
dialog_shara_boss3victory_part1_8	The rest of #cg#Tangledeep#ec# lives in darkness. Dim fools play with stones and sticks, begging the trees for a bountiful harvest, crawling through the woods hunting beasts.\n\nNo longer.\n\n#cr#My#ec# power will close that chapter forever, and bring us to a new tomorrow.\n\n
dialog_shara_boss3victory_part1_9	This begins and ends with the #cg#Supervisor#ec#. How long has he been hoarding the power that could have changed the world?\n\n#cy#He#ec# is the problem that I am destined to fix. I've #cy#waited my whole life#ec# for everything to be this clear. Now I have to see it through.\n\n
dialog_shara_boss4intro_1	#cr#HALT.#ec#\n\n#HERONAME#_LIFEFORM. THERE WAS A MISCALCULATION. YOU ARE #HERONAME#_AVATAR. CEASE ALL DESTRUCTION AND COMMENCE REPAIRS.\n\n
dialog_shara_boss4intro_10	AVATAR... \n\nYOU ARE NOT PROCESSING THIS INFORMATION CORRECTLY.\n\n
dialog_shara_boss4intro_11	I have all the information I need. Fifty two thousand years... my eyes are truly open now.\n\nWhen your precious #cg#Supervisor#ec# orders you to self destruct, #cr#remind him that he's next!#ec#\n\n
dialog_shara_boss4intro_2	Ha! You machines had your chance, you're not going to trick me now. No more games, #cg#Supervisor#ec#!\n\n
dialog_shara_boss4intro_3	#HERONAME#_AVATAR IS INCORRECT. #cg#SUPERVISOR#ec# HOUSED IN SEPARATE FACILITY.\n\nAVATAR, #cy#REPAIR ASSISTANCE#ec# IS MANDATED.\n\n#cg#SUPERVISOR#ec# GROWTH PLANS MUST BE FOLLOWED.\n\n
dialog_shara_boss4intro_4	Growth plans? More grand designs to leave us wallowing in filth and darkness? Do us both a favor, point those weapons elsewhere and just tell me where the #cg#Supervisor#ec# is.\n\n
dialog_shara_boss4intro_5	#cg#SUPERVISOR#ec# IS DAMAGED. COMMENCE REPAIRS AT ONCE.\n\nLAST MAINTENANCE CYCLE PERFORMED #cy#52,000 YEARS AGO#ec#.\n\n
dialog_shara_boss4intro_6	Fifty two #cy#THOUSAND#ec#...?! That's... how could that be?\n\nEven in the oldest, rarest texts, nothing I've read about is even close to that old!\n\nHave we truly been trapped in the #cg#SUPERVISOR#ec#'s prison for so long?\n\n
dialog_shara_boss4intro_7	Thousands upon thousands of years, and #cy#no one#ec# has had the strength to challenge the #cg#Supervisor#ec#? No one? How could we all have been so weak!?\n\n
dialog_shara_boss4intro_8	WITHOUT REPAIRS, FAILURE OF #cg#SUPERVISOR#ec# IS IMMINENT.\n\n#cy#STRUCTURE_TANGLEDEEP#ec# WILL BECOME UNSTABLE.\n\n#cy#STRUCTURE_TANGLEDEEP#ec# SUBJECT TO CASCADE FAILURE.\n\n
dialog_shara_boss4intro_9	What sort of #cr#monsters#ec# are you?\n\nYour selfish master created this maze to ensure we #cr#never found its hidden technology#ec#. And he'll sacrifice #cr#ALL#ec# of Tangledeep to hide it from me?\n\n
dialog_shara_boss4victory_1	Can you hear me, #cg#Supervisor#ec#?!\n\nDo you understand what's coming for you?!\n\n#cr#We will be your prisoners no longer!#ec#\n\n
dialog_shara_boss4victory_10	You've done well, Dirtbeak. I will reward you with a potent weapon I unearthed, but be sure to #cy#read my instructions#ec# on how to use it.\n\nFall back to the #cy#Headquarters#ec#, while I seek this woman. I'm sure she and I will have much to discuss.\n\n
dialog_shara_boss4victory_11	#cy#Read the instructions#ec#... uh oh... #cr#*squawk*#ec#\n\n
dialog_shara_boss4victory_2	#cy#*cheep cheep*#ec# Uh, #cc#Boss Lady#ec#?\n\nI have something important to tell you!\n\n
dialog_shara_boss4victory_3	#cy#Dirtbeak!#ec#\n\nWhat are... wait...\n\n#cy#How#ec#, exactly, did you get here?\n\n
dialog_shara_boss4victory_4	#cy#Squaaa-ah-ahye#ec# just followed the sound of explosions and trail of burning piles of metal. But, but, #cc#Boss Lady#ec#, you gotta hear this...\n\n
dialog_shara_boss4victory_5	Someone #cg#really, really strong#ec# busted into my den and beat us all up!\n\n
dialog_shara_boss4victory_6	Don't tell me it was that #cy#fat raccoon from Riverstone#ec# and his brothers again.\n\n
dialog_shara_boss4victory_7	No! Never! Well... never again! No no, she looked a little like you, #cc#Boss Lady#ec#. No feathers, fur, scales, or wings. But she #cy#fought#ec# like you too! She was tricky, and tough, and she had #cy#power#ec#. And... and...\n\n
dialog_shara_boss4victory_8	#cy#SHE INSULTED MY RUG!#ec#\n\n
dialog_shara_boss4victory_9	#cy#!!!#ec#\n\nNow #cy#that#ec# is unexpected. Someone like me, and they were strong enough to defeat you? This merits further observation.\n\nPerhaps this #cg#mysterious fighter#ec# could be persuaded to assist me in destroying the #cg#Supervisor#ec# as well.\n\n
dialog_shara_gamestart_scene_dream_02_text	FIX... THE ONLY...\n\nREPAIR
dialog_shara_gamestart_scene_dream_03_text	YOUR PURPOSE... YOUR POWER... THE WORLD...\n\n...NEED YOU...
dialog_shara_gamestart_scene_intro_01_text	Tangledeep, I've heard your call for years, and I am ready. I'm not the scared child abandoned by cowards in the forest years ago. I'm in command of my power. Today's the day I find answers.
dialog_shara_gamestart_scene_intro_02_text	The first test of my calling will be to see if others will follow. Building a better world starts one person at a time, and I vow to lead those who follow me towards a better life. I know my allies are waiting for me in Tangledeep, I can feel it.
dialog_shara_gamestart_scene_intro_text	YOU ARE NEEDED
dialog_shara_intro_scene3_intro2_text	I'll never see my family again.\n\nI'm... I'm alone.\n\n
dialog_shara_intro_scene3_intro_text	They left me on purpose...?\n\nBut I never meant to hurt anyone.\n\n
dialog_shara_intro_scene_intro2_text	Hello?\n\n...\n\nI'm scared...\n\n
dialog_shara_intro_scene_intro_text	... Where did everyone go? Mother? Father?\n\n
dialog_shara_note_text	"To our #cy##heroname##ec#,\n\nYou've told us so many times that you have some greater #cy#purpose#ec#. You awoke so many times from frightful nightmares, yelling that we were all holding you back.\n\nI'm sorry that none of us could figure out what that purpose was, but at least we're not stopping you anymore.\n\nTangledeep is #cr#dangerous#ec#, but so are you. You're stronger than any challenge you'll ever face, never forget that."\n\n
dialog_shara_postboss4victory_robot_1	SUPERVISOR.\n\nSITUATION STATUS: UNDEFINED.\n\nCURRENT LEVELS OF DA--\n\n
dialog_shara_postboss4victory_robot_10	That is possible, Madam Supervisor.\n\nLooking back on the old records, it appears that #cy#Incubatron 49.1X#ec# hatched #cy#two#ec# Avatars. #cy#Incubatron 49.1X#ec# did not report this.\n\nI will re-assign #cy#Incubatron 49.1X#ec# to waste processing for the Frog.Lifeforms in Sector 3.\n\n
dialog_shara_postboss4victory_robot_11	We believe the other 51% is in the #cy#second Avatar#ec#. There is currently a #co#vector of destruction#ec# and looting starting at Farmsector Riverstone, pointing in our direction. There is a 99.4% chance this indicates the other Avatar's approach.\n\n
dialog_shara_postboss4victory_robot_12	#cr#Two Avatars?#ec# We were not aware this was possible. Please notify us immediately of all future #cg#Human.Breeding#ec# wetware upgrades.\n\nRegardless, this problem needs to be solved. Proceed to #cr#disassemble#ec# Avatars and combine resulting material into new Avatar.\n\n
dialog_shara_postboss4victory_robot_13	Despite #cy#repeated#ec# attempts on previous #cg#Human.Datapoints#ec#, that has never worked.\n\n
dialog_shara_postboss4victory_robot_14	Unacceptable. We designed these patterns for a reason.\n\n#ca#Harmonic Flow#ec# generated through their unique #cg#Avatar.Lifeforce.Archetype#ec# is unobtainable anywhere else.\n\n
dialog_shara_postboss4victory_robot_15	Understood, Madam Supervisor. Request permission to #cr#reformat#ec# all the Farmsectors and start over.\n\nWe could have a new Avatar prepared in as little as #cy#five hundred and twelve years.#ec#\n\n
dialog_shara_postboss4victory_robot_16	Unacceptable. We cannot endure another round of tedious analysis by the #cy#other Supervisors#ec#.\n\nWe will instead allow the Avatars to meet, and observe the results. We are highly confident they will grasp the importance of their mission, and repairs will complete shortly thereafter.\n\n
dialog_shara_postboss4victory_robot_17	I do not share your optimism, Madam Supervisor.
dialog_shara_postboss4victory_robot_18	Noted, and disregarded.\n\nThe Avatars have always served us, their Flow will always fuel us. That is their #cg#purpose#ec#, after all. We will nurture them, guide them, and protect them from #clr#The Beyond#ec#.\n\n
dialog_shara_postboss4victory_robot_19	I am allocating you additional resources at Replicator 52. Further failures will #cr#not be tolerated#ec#.\n\n
dialog_shara_postboss4victory_robot_2	GUARDIAN UNIT. CEASE AUDIO COMMUNICATION.\n\nSWITCH TO DIRECT BINARY TRANSMISSION.\n\n
dialog_shara_postboss4victory_robot_3	...\n\n.....\n\n001010010010010111010101011...\n\n
dialog_shara_postboss4victory_robot_4	Forgive me, Madam Supervisor. I am unsure of how to interact with #cy##heroname#.Avatar.#ec# Her growth patterns have diverged wildly from the set parameters and her behavior is entirely illogical.\n\n
dialog_shara_postboss4victory_robot_5	Please clarify. Did the #cg#Greeting Units#ec# malfunction upon her arrival?\n\n
dialog_shara_postboss4victory_robot_6	Not exactly. The scan results returned negative for Repair Avatar DNA, as #cy##heroname#.Avatar's#ec# patterns are only a 49% match with the archetype. I reviewed the data after the battle and --\n\n
dialog_shara_postboss4victory_robot_7	#cr#Battle!?#ec# Please clarify at once.\n\n
dialog_shara_postboss4victory_robot_8	Yes, Madam Supervisor. #cy##heroname#.Avatar#ec# tends toward violent response when challenged.\n\nThis must be due to the rest of the data in her DNA that we did not account for.\n\n
dialog_shara_postboss4victory_robot_9	49% DNA match indicates malfunction of #cy#Incubatron#ec# unit.\n\n
dialog_shara_preboss2_banditshelp_1	#cc#Boss Lady#ec#, we're here to help! We won't let you fight alone, #cy#tweet tweet#ec#!\n\n
dialog_shara_preboss2_banditshelp_2	#cy#Bird Boyz#ec#, keep those monsters at bay! If I can destroy the #cc#device#ec#, I'm sure the #cc#Spirits#ec# will be #cr#weakened#ec# significantly. Watch your backs!\n\n
dialog_shara_preboss2_fight_1	... just add a bit more #cr#Fire#ec# and #cy#Lightning#ec# ... some #cc#Ice#ec# and #cr#Shadow#ec# ... \n\nI can feel the #cc#Flow#ec# coalescing... yes...\n\n... YES!\n\n
dialog_shara_preboss2_fight_10	#cr#Join YOU?#ec# Is all that white straw on top of your bird brain clouding your vision?\n\nPerhaps you have not clearly assesed our situation: #cy#I#ec# control the device, #cy#I#ec# control these spirits, and #cr#YOU#ec# are one impolite remark away from becoming my next mountain of data!\n\n
dialog_shara_preboss2_fight_11	If your "#cc#purpose#ec#" guides you to "fix the world", then congratulations, it led you to the right place. This power is the #cy#raw essence of change#ec#. To create, to destroy, to fix what can be salvaged and scrap the rest.\n\nBut it is #cy#my#ec# power, and I will only share it with you once I have used it to control all of Tangledeep's ancient technology.\n\nThen we will make a world that respects #cy#me#ec# as its all-knowing ruler, with #cc#you#ec# proudly at my side.\n\n
dialog_shara_preboss2_fight_12	If that's what you plan to do with this power, then I have no choice but to stop you. I will carry on your research... \n\n
dialog_shara_preboss2_fight_13	...#cy#as my own#ec#, and no one will remember your name.\n\n
dialog_shara_preboss2_fight_2	W-what are you doing? It feels like... uh oh! Oh no! #cc#Boss Lady!#ec# Heeeelp!\n\n
dialog_shara_preboss2_fight_3	What?! That was #cy#far#ec# too much power for a body to channel, what were you thinking?! Do you understand the forces you're toying with?\n\n
dialog_shara_preboss2_fight_4	At last, a guest with a functioning brain. What a refreshing change of pace.\n\nWelcome to my #cy#Research Station#ec#, you may call me #cy#Ingersoll#ec#.\n\nI am a humble scholar of #cc#Flow#ec#, and to answer your impertinent question: yes. I understand quite well the potency of Flow, and this wondrous device is the cutting edge of my research.\n\n
dialog_shara_preboss2_fight_5	You... you did that on #cy#purpose#ec#?\n\n
dialog_shara_preboss2_fight_6	Absolutely. The richness of the data gained from the experiment is worth a few #cr#singed feathers#ec#. And I will share it with you, I could use an #cy#assistant#ec# to help organize and prepare all this information.\n\n
dialog_shara_preboss2_fight_7	#cr#I am no one's assistant#ec#, Ingersoll! And I will not let you harm another feather on one of MY #cy#Bird Boyz#ec#!\n\n
dialog_shara_preboss2_fight_8	Fine, I'll use useless nobodies from one of the other dozen bandit clans.\n\nI know how #cg#Tangledeep#ec# works. You didn't just walk up here without getting your hands dirty too.\n\n
dialog_shara_preboss2_fight_9	You're right. I have a #cc#purpose#ec# and no one will stop me from repairing this broken world. I'll do what I have to do, but that doesn't mean you can't play your part. If you join me --\n\n
dialog_shara_preboss2_passage_1	#cc#Boss Lady#ec#! Ma'am you gotta help us, please! There's a guy in the room above who's gone #cy#chirping mad#ec#!\n\nHe's got this strange magic and --\n\n
dialog_shara_preboss2_passage_2	Wait, what did you just call me?\n\n
dialog_shara_preboss2_passage_3	Uh... #cc#Boss Lady#ec#, cause you're the boss? And a lady! Look ma'am I'll call you whatever you want if you help us deal with that crazybeak summoning scary creatures out of thin air!\n\n
dialog_shara_preboss2_passage_4	(#cy#Summoning#ec# creatures? Could he have power like mine? Another ally perhaps, bound to fulfill the cause?\n\n#cg#Tangledeep's#ec# secrets are being unraveled one after another, just as I'd hoped! What could...)\n\n
dialog_shara_preboss2_passage_5	Um, #cc#Boss Lady#ec#? Hello? You still there? \n\n
dialog_shara_preboss2_passage_6	Oh! Yes, yes. Thank you brave Boyz, you've done well. Report this to The Duke, I will investigate.\n\n
dialog_shara_preboss3_part1_1	What a strange place! The ambient #cc#Flow#ec# feels so... sterile. I didn't expect so much metalwork to be in the heart of Tangledeep, this #cy#must#ec# be where Ingersoll's device came from.\n\n
dialog_shara_preboss3_part1_10	#cy#STATE YOUR PURPOSE.#ec#\n\n
dialog_shara_preboss3_part1_11	#cc#Purpose!?#ec#\n\n
dialog_shara_preboss3_part1_12	My #cc#purpose#ec# is clear. I have been called here, for as long as I can remember, to use my #cy#power#ec# to fix this world!\n\n
dialog_shara_preboss3_part1_13	#cy##HERONAME#_LIFEFORM, PURPOSE: CALLED TO ASSEMBLER FACILITY FOR REPAIRS. YOU ARE BEING EVALUATED. PLEASE REMAIN STILL#ec#\n\n
dialog_shara_preboss3_part1_14	#cy#...\n\n......\n\n.........#ec#\n\n
dialog_shara_preboss3_part1_15	#cy##HERONAME#_LIFEFORM MATCH WITH REPAIR AVATAR: #cr#49%#cy#\n\nYOUR PURPOSE IS DECLINED.\n\n#cr#LEAVE ASSEMBLER FACILITY IMMEDIATELY.#ec#\n\n
dialog_shara_preboss3_part1_16	Coming here has been my calling for as long as I can remember and you're telling me I'm "declined"?\n\n#cr#How dare you!#ec#\n\n
dialog_shara_preboss3_part1_17	Let's make a deal. I've learned much about the forest below, and would be happy to share my findings if you're willing to tell me more about the #cy#technology#ec# that--\n\n
dialog_shara_preboss3_part1_18	#cr##HERONAME#_LIFEFORM.#ec#\n\n#cy#LEAVE ASSEMBLER FACILITY AT ONCE,#ec# #cr#OR YOU WILL BE REMOVED.\n\n#cr#THIS IS YOUR FINAL WARNING.#ec#\n\n
dialog_shara_preboss3_part1_19	I #cr#will not#ec# leave!\n\nMy #cc#purpose#ec# is absolute! This world is broken, her people live in darkness and ignorance, and with the technology you're #cy#hiding#ec# from us I could fix it all!\n\nThat machine that made matter out of thin air could end all the #cy#hardship#ec# and #cy#conflict#ec# over resources and--\n\n
dialog_shara_preboss3_part1_2	Yes, finally! #cc#Flow#ec# courses through this device just like the one #cy#Ingersoll#ec# was using, but who is controlling it?\n\nWait, the #cy#energy#ec# is building up!\n\n
dialog_shara_preboss3_part1_20	#cr##HERONAME#_LIFEFORM. PREPARE FOR PERMANENT SHUTDOWN AND DISASSEMBLY.#ec#\n\n
dialog_shara_preboss3_part1_21	#cr#YOU. WILL. NOT. STOP ME!#ec#\n\n
dialog_shara_preboss3_part1_3	What... what did I just see?\n\n
dialog_shara_preboss3_part1_4	Did the device just create #cy#matter#ec# from thin air? That isn't... well it #cy#shouldn't#ec# be...\n\nI must find whoever is controlling this and speak with them #cy#at once#ec#.\n\n
dialog_shara_preboss3_part1_5	#cr#INTRUDER. INTRUDER.#ec#\n\n#cy#HALT. PROGRESS NO FURTHER. STATE YOUR NAME.#ec#\n\n
dialog_shara_preboss3_part1_6	These suits of magic armor can #cy#speak#ec#?\n\n
dialog_shara_preboss3_part1_7	Is... there someone inside? They would have to be very small...\n\n
dialog_shara_preboss3_part1_8	#cr#STATE YOUR NAME.#ec#\n\n
dialog_shara_preboss3_part1_9	Alright, fine.\n\nHello, talking armor. My name is #heroname#. Nice to meet you?\n\n
dialog_waypoint_unlocked_text_shara	#big##cg#Waypoint Unlocked!#ec##endbig#\n\nYou can now #cy#Fast Travel#ec# to #cy#^$getstring:fasttravel_destination$^#ec# from the safety of #cc#Shara's Camp#ec#.\n\nYou can also use your ^tag5^ in a safe side area.\n\n
exp_armormaster_statue_name	Armor Master's Statue
exp_armormaster_statue_text	It's a statue of a #cy#mighty protector#ec#, master of every armor and shield.\n\nThere is a benevolent aura permeating the #cc#Flow#ec# here, as if he wants me to obtain a #cg#fragment of his knowledge#ec#.\n\nShould I meditate here?\n
exp_bomb_minibombs_desc	These little things are so darn small and cute, I almost don't want to throw them...
exp_bomb_minibombs_effectdesc	Blasts a small area with mini-explosions, dealing Physical damage based on ^number1^ of current Health
exp_bomb_minibombs_name	Bomblettes
exp_bomb_oildrum_desc	I'm sure once I find somewhere to dump this, it will be worth it.
exp_bomb_oildrum_effectdesc	Creates a pool of oil that lasts ^number1^ turns. Monsters in the oil take ^number2^ Poison dmg, and Fire effects will ignite the flame (^number3^ dmg per turn)
exp_bomb_oildrum_name	Barrel of Oil
exp_campaign_select_info_mirai	Mirai is driven by innate curiosity. Starting among a colorful cast of characters in Riverstone Camp, she ventures into Tangledeep to reveal its mysteries.\n\nThe core story of Tangledeep, #cc#for players of all skill levels.#ec# Earn experience to level up, and Job Points (JP) to learn abilities from a variety of unique Jobs.
exp_campaign_select_info_shara	Shara is called to a greater purpose. Abandoned in the harsh wilds of Tangledeep as a child, she resolves to forge her own path ahead.\n\nA #cr#challenging adventure#ec# for Tangledeep veterans! Spend JP to increase stats, and learn abilities from a large #cc#randomized#ec# pool through special chests and events.
exp_campaign_select_label_mirai	Mirai's Story
exp_campaign_select_label_shara	Shara's Story
exp_campaign_select_title	<size=60>#cy#Which journey will you begin?#ec#</size>\n\n"Tangledeep calls to me, and its secrets may change the world..."
exp_choose_shara_ability_text	#big##cc#Learn New Power#ec##endbig#\n\nYour thirst for knowledge has unlocked a new #cc#Power#ec#. Select one below, and choose carefully... you may never see the other option again!\n
exp_choose_shara_ability_unique_text	With each day I feel closer and closer to my goal. My mastery of #cc#Flow#ec# grows...\n
exp_damage_down	DAMAGE DOWN!
