abil_skill_summonvoidcrystal_name	Conjurar Cristal del vacío
dialog_friendly_dirtbeak_shara_6	¡Así me gusta, Duque! Por favor, llámame #cc#Shara#ec#. ¡Ahora que somos amigos, nada podrá detenernos! Voy a prepararme y me reuniré contigo en TU guarida.\n\n
dialog_friendly_dirtbeak_shara_7	Yo y los #cy#Pollitos locos#ec# estamos vigilando nuestro territorio, tal y como pediste.\n\n
dialog_learnskill_fromitem_button1_text	Aprender habilidad (500 OP)
dialog_learnskill_fromitem_button2_text	No aprender
dialog_relic_compareoriginal	^$getstring:nonscaled_legtext$^
dialog_relic_found_main_txt	<size=50><color=#ffc80a>¡ENCUENTRAS ESTO:</color> ^$getstring:leg_item$^!\n\n<color=#ffc80a>^$getstring:leg_type$^ (legendario)</color>\n\n^$getstring:leg_desc$^\n
dialog_shara_boss1_postfight_1	¡E-eh, relájate! Nosotros... eeh, yo he contado los votos y... ¡parece que eres el jefe, Picoguarro!\n\n#cy#Pío, pío, pío#ec#...\n\n
dialog_shara_boss1_postfight_2	#cr#¡GRAAWK!#ec# ¿Quién ríe ahora, polluelitos? ¡Vuelvo a ser el #cc#Duque del gallinero#ec#! ¡#cc#Picoguarro#ec# es más fuerte que esos #cc#estúpidos libros#ec#, no lo olvidéis!\n\n
dialog_shara_boss1_postfight_3	Ahora, escuchad bien, esta es mi primera nueva orden como duque: ¡con gran generosidad, voy a abrir nuestra mejor reserva de comida robada y VOSOTROS la convertiréis en un festín! ¡A lo mejor podéis usar esos estúpidos libros para encender el fuego!\n\n
dialog_shara_boss1_postfight_4	Hacia tiempo que no tenía una comida como esta. Muchas gracias, Picoguarro.\n\nUna #cy#mano firme y justa#ec# garantizará que los #cy#Pollitos#ec# no vuelvan jamás a poner en duda su lealtad. Necesitan fuerza: tu fuerza. Y yo también.\n\n
dialog_shara_boss1_postfight_5	Me aguarda un largo camino, y mi carga se me haría menos pesada si tuviera un lugar para descansar. ¿Te encargarás de que este territorio este vigilado y libre de amenazas?\n\n
dialog_shara_boss1_postfight_6	¡Dicho y hecho, #cy#pájaro azul#ec#! Yo y los #cy#Pollitos locos#ec# nos encargaremos de que nadie se meta contigo.\n\n¿Y que pasa si alguno de esos idiotas del #cc#Campamento Cantorrodado#ec# viene por aquí? ¿Podemos quedarnos con sus cosas?\n
dialog_shara_boss1_postfight_7	Haced lo que sea necesario para garantizar que tú y tus #cy#Pollitos#ec# estéis a salvo y bien alimentados. Los holgazanes de #cc#Cantorrodado#ec# disfrutan de una abundancia que no se han ganado. Eso no va a cambiar porque se la quitéis.\n\nNo bajes la guardia, #cy#Picoguarro#ec#. Volveré pronto.\n\n
dialog_shara_boss1_postfight_8	¡Como tú digas, jefa! Pero, #cy#gawk#ec#... Una cosita más. No todos los #cy#bandidos#ec# que hay ahí fuera son lo suficientemente listos para seguir mi extremadamente generoso y firme liderazgo. De hecho... ni uno de los #cy#Pollitos locos#ec# que hay ahora mismo en esta habitación.\n\nAsí que si tienes que darle una paliza a cualquier otro bandido que te encuentres, no te preocupes. ¡Yo lo reclutaré en seguida!\n\n
dialog_shara_boss1_prefight_1	¡Mirad! El #cr#Duque Picobobo#ec# ha vuelto.\n\n¡No te necesitamos aquí, comiéndote toda nuestra comida y diciéndonos lo que tenemos que hacer! ¡Somos los #cy#bandidos más malotes#ec# de Tangledeep!\n\n
dialog_shara_boss1_prefight_2	¡Más os vale cerrar el pico, porque esta vez no vengo solo! Yo y mi amiga #cc#Shara#ec# vamos a enseñaros un par de cosillas sobre el #cy#respeto#ec#.
dialog_shara_boss1_prefight_3	¿No habéis dudado en despreciar a uno de los vuestros solo porque es diferente? No puede evitar tener ese #cy#apetito#ec# ni ese #cy#tamaño#ec#.\n\n
dialog_shara_boss1_prefight_4	Oye, Picoguarro, ¿de verdad tenías que traer a una #cr#chica humana#ec# para dar un discurso por ti? ¡No es más que un ratoncillo de campo, no nos hagas reír!\n\nY ahora #cr#lárgate#ec# antes de que te larguemos una buena!\n\n
dialog_shara_boss1_prefight_5	#cr#¡GRAAWK!#ec# ¡¿Lo ves, Shara?! ¡Son muy crueles!\n\n
dialog_shara_boss1_prefight_6	Sí que lo son. Me recuerdan a mi propia gente y su #cr#ignorancia#ec#.\n\nPor aquel entonces no sabía cómo luchar por mí misma...\n\n
dialog_shara_boss1_prefight_7	Pero hoy, voy a disfrutar #cg#«iluminando»#ec# a estos imbéciles. ¡Al ataque!\n\n
dialog_shara_boss2_devicedestroyed_1	¡La energía que liberó este dispositivo ha #cr#debilitado#ec# a los espíritus! ¡Ahora es nuestra oportunidad de acabar con ellos!\n\n
dialog_shara_boss2_devicedestroyed_10	Se equivocó conmigo. Toda mi vida en Tangledeep no ha sido más que tomar #cr#decisiones difíciles#ec#. Al menos me hizo un favor haciendo que una elección #cy#muy fácil#ec# quedase perfectamente clara para todo el mundo...\n\n
dialog_shara_boss2_devicedestroyed_11	Puedes unirte a la #cc#Jefa#ec# para ayudar a arreglar nuestro mundo o puedes acabar como #cr#él#ec#.\n\n
dialog_shara_boss2_devicedestroyed_2	Te he vencido, y el dispositivo se queda. Nunca fuiste digno del poder de la Savia, y por mucho que trastees con tus máquinas, eso no va a cambiar.\n\n
dialog_shara_boss2_devicedestroyed_3	Presupones demasiado… Ese dispositivo… acaba conmigo. Eres poderosa, pero no tienes formación ni objetivos. Para poder #cy#encontrar tu objetivo#ec#, tienes que conocer de verdad el corazón de Tangledeep; Tienes que ganártelo.\n\nPero no lo harás… Eres incapaz. #cr#No tienes lo que hace falta para tomar decisiones difíciles#ec#. Tangledeep posee una furia que no alcanzas a imaginar. #cg#Acabará#ec# contigo... #cg#Te#ec#...\n\n
dialog_shara_boss2_devicedestroyed_4	Tu dispositivo era una muleta, Ingersoll. Pensaba que eras otro maestro de la #cc#Savia#ec#, pero mírate ahora.\n\nNo mereces el poder de la Savia, jamás lo mereciste.\n\n
dialog_shara_boss2_devicedestroyed_5	El poder sin objetivo... no sirve de nada. Has ganado aquí, pero te #cy#quemarás#ec# mucho antes de comprender la verdad de Tangledeep.\n\nLa violencia es fácil, pero #cr#no tienes lo que hace falta para tomar decisiones difíciles#ec#. Tangledeep posee una furia que no alcanzas a imaginar. #cg#Acabará#ec# contigo... #cg#Te#ec#...\n\n
dialog_shara_boss2_devicedestroyed_6	#cy#¡¿Ella?!#ec# ¿Quién? Ingersoll, tú... ¡Ah, #cr#cómo OSAS#ec# hacerme esto a mí!\n\n
dialog_shara_boss2_devicedestroyed_7	Destruir esa tecnología en vez de ver cómo es entregada al mundo. Qué egoísta. Y sin embargo…\n\n
dialog_shara_boss2_devicedestroyed_8	Así que al dispositivo también ha quedado destruido. Toda la culpa es de Ingersoll y su falta de visión. Pero...\n\n
dialog_shara_boss2_devicedestroyed_9	Es #cy#imposible#ec# que fuera el único de su clase. No lo creo, sino que lo #cy#encontró#ec#, lo que significa que encontraré muchos más iguales. Y a diferencia de él, no #cy#desperdiciaré#ec# este nuevo poder.\n\n
dialog_shara_boss3victory_part1_1	#cr#FALLO DE SISTEMA CRÍTICO: APAGADO INMINENTE#ec#\n\n#cy#INTENTANDO NOTIFICAR A #ec##cg#SUPERVISORA#ec#\n\n
dialog_shara_boss3victory_part1_10	Pero primero...\n\n¿Qué maravillosos tesoros habrá dejado esta armadura mágica de aquí?\n\n
dialog_shara_boss3victory_part1_11	Aquí hay conductos de Savia... pequeños cristales... hmm...\n\nEsta energía está... doblegada de alguna forma. Qué extraño.\n\nAunque...\n\n
dialog_shara_boss3victory_part1_12	Si la #cg#Supervisora#ec# pudo usarla para controlar esta máquina de metal, yo no debería tener problema usándola para lograr que los #cy#demás#ec# #cr#me#ec# sirvan.\n\n
dialog_shara_boss3victory_part1_13	bip bip ...\n\n¿bep bip bibi bup?\n\n
dialog_shara_boss3victory_part1_14	¿beep beeii? ...\n\n¡bep bip bee bip biuu!\n\n¿biu, biu?\n\n
dialog_shara_boss3victory_part1_15	Así es, pequeño pájaro de metal con tentáculos.\n\nSoy tu nueva mejor amiga.\n\n
dialog_shara_boss3victory_part1_16	Perfecto.\n\n
dialog_shara_boss3victory_part1_2	¿#cg#Supervisora#ec#? ¿Quién es tu «Supervisora»? ¡¿De quién recibes órdenes?!\n\n
dialog_shara_boss3victory_part1_3	#cg#ANULACIÓN DE SUPERVISORA ACTIVA#ec#\n\n#cr#AUTODESTRUYENDO...#ec#
dialog_shara_boss3victory_part1_4	¡Detente! #cr#¡NO!#ec#\n\n
dialog_shara_boss3victory_part1_5	Una #cg#supervisora#ec# que prefiere ver sus creaciones destruidas antes de que caigan en mis manos. Igual que Ingersoll.\n\nAhora entiendo a qué se refería. Para sacrificar tanto..., este poder debe ser inmenso.\n\n
dialog_shara_boss3victory_part1_6	¡#cy#ES#ec# inmenso! Estoy rodeada por magia metálica. ¿Inteligencia y vida imbuidas en las máquinas? ¿Materia creada a partir de la nada?\n\nEso es poder #cg#divino#ec#.\n\n
dialog_shara_boss3victory_part1_7	Este es mi #cc#propósito#ec#.\n\n
dialog_shara_boss3victory_part1_8	El resto de #cg#Tangledeep#ec# vive en la oscuridad. Tiendas que juegan con palos y piedras, rezando a los árboles por una cosecha fructífera y arrastrándose por el bosque a la caza de bestias.\n\nYa no más.\n\n#cr#Mi#ec# poder cerrará ese capítulo para siempre y nos llevará a un nuevo mañana.\n\n
dialog_shara_boss3victory_part1_9	Esto empieza y acaba con la #cg#Supervisora#ec#. ¿Cuánto tiempo lleva acumulando el poder que podría haber cambiado el mundo?\n\n#cy#Ella#ec# es el problema que estoy destinada a cambiar. Llevo #cy#toda mi vida esperando#ec# a que las cosas estuviesen tan claras. Ahora tengo que llevarlas hasta sus últimas consecuencias.\n\n
dialog_shara_boss4intro_1	#cr#DETENTE.#ec#\n\nSHARA_SERVIVO. SE HA PRODUCIDO UN ERROR DE CÁLCULO. ERES SHARA_AVATAR. CESA TODA DESTRUCCIÓN E INICIA LAS REPARACIONES.\n\n
dialog_shara_boss4intro_10	AVATAR... \n\nNO ESTÁS PROCESANDO ESTA INFORMACIÓN CORRECTAMENTE.\n\n
dialog_shara_boss4intro_11	Tengo toda la información que necesito. Cincuenta y dos mil años… Ahora sí que he abierto los ojos.\n\n¡Cuando tu querida #cg#Supervisora#ec# te ordené autodestruirte, #cr#recuérdale que ella será la siguiente!#ec#\n\n
dialog_shara_boss4intro_2	¡Ja! Tus máquinas ya tuvieron su oportunidad, ahora no vas a engañarme. ¡Basta de juegos, #cg#Supervisora#ec#!\n\n
dialog_shara_boss4intro_3	SHARA_AVATAR ESTÁ EQUIVOCADA. #cg#SUPERVISORA#ec# ALOJADA EN OTRA INSTALACIÓN.\n\nAVATAR, SE EXIGE #cy#ASISTENCIA CON REPARACIONES#ec#.\n\nLOS PLANES DE CRECIMIENTO DE LA #cg#SUPERVISORA#ec# DEBEN SER CUMPLIDOS.\n\n
dialog_shara_boss4intro_4	¿Planes de crecimiento? ¿Más grandes designios para dejarnos revolcándonos en el lodo y la oscuridad? Haznos un favor a los dos, apunta esas armas a otro lado y dime dónde está la #cg#Supervisora#ec#.\n\n
dialog_shara_boss4intro_5	#cg#SUPERVISORA#ec# ESTÁ DAÑADA. INICIA REPARACIONES DE INMEDIATO.\n\nÚLTIMO CICLO DE MANTENIMIENTO REALIZADO HACE #cy#52 000 AÑOS#ec#.\n\n
dialog_shara_boss4intro_6	¡¿Cincuenta y dos #cy#MIL#ec#...?! Eso es... ¿Cómo es posible?\n\n¡Incluso en los textos más raros y antiguos que he leído nada se acerca siquiera a esa antigüedad!\n\n¿de verdad llevamos atrapados en la prisión de la #cg#SUPERVISORA#ec# tanto tiempo?\n\n
dialog_shara_boss4intro_7	¿Miles y miles de años y #cy#nadie#ec# ha tenido la fuerza para desafiar a la #cg#Supervisora#ec#? ¿Nadie? ¿¡Cómo hemos podido ser todos tan débiles!?\n\n
dialog_shara_boss4intro_8	SIN REPARACIONES, FALLO DE #cg#SUPERVISORA#ec# ES INMINENTE.\n\n#cy#ESTRUCTURA_TANGLEDEEP#ec# SE VOLVERÁ INESTABLE.\n\n#cy#ESTRUCTURA_TANGLEDEEP#ec# SUJETA A FALLO EN CASCADA.\n\n
dialog_shara_boss4intro_9	¿Qué clase de #cr#monstruos#ec# sois?\n\nVuestra egoísta ama creó este laberinto para garantizar que #cr#nunca encontráramos su tecnología oculta#ec#. ¿Y va a sacrificar a #cr#TODO#ec# Tangledeep para ocultarla de mí?\n\n
dialog_shara_boss4victory_1	¡¿Me oyes, #cg#Supervisora#ec#?!\n\n¡¿Entiendes lo que se te avecina?!\n\n#cr#¡Vamos a dejar de ser tus prisioneros!#ec#\n\n
dialog_shara_boss4victory_10	Bien hecho, Picoguarro. Te recompensaré con una potente arma que he descubierto, pero asegúrate de #cy#leer mis instrucciones#ec# sobre cómo usarla.\n\nVuelve al #cy#cuartel general#ec# mientras yo busco a esta mujer. Seguro que ella y yo tenemos mucho que hablar.\n\n
dialog_shara_boss4victory_11	#cy#Leer las instrucciones#ec#... Uy, uy... #cr#*grawk*#ec#\n\n
dialog_shara_boss4victory_2	#cy#*pip, piip*#ec# ¿Eh, #cc#Jefa#ec#?\n\n¡Tengo algo importante que decirte!\n\n
dialog_shara_boss4victory_3	#cy#¡Picoguarro!#ec#\n\n¿Qué haces... Espera...\n\n¿#cy#Cómo#ec#, exactamente, has hecho para llegar aquí?\n\n
dialog_shara_boss4victory_4	#cy#Yoaaaagwk#ec# me he limitado a seguir el sonido de las explosiones y el reguero de pilas de metal en llamas. Pero, pero #cc#Jefa#ec#, tienes que oír esto...\n\n
dialog_shara_boss4victory_5	¡Alguien #cg#muy pero que muy fuerte#ec# entró en mi guarida y nos derrotó a todos!\n\n
dialog_shara_boss4victory_6	No me digas que fue ese #cy#gordo mapache de Cantorrodado#ec# y sus hermanos otra vez.\n\n
dialog_shara_boss4victory_7	¡No! ¡Nunca! Bueno… ¡No otra vez! No, no, se parecía un poco a ti, #cc#Jefa#ec#. Sin plumas, pelaje, escamas o alas. ¡Pero también #cy#luchaba#ec# igual que tú! Era astuta, dura y tenía #cy#poder#ec#. Y..., y...\n\n
dialog_shara_boss4victory_8	#cy#¡SE METIÓ CON MI ALFOMBRA!#ec#\n\n
dialog_shara_boss4victory_9	#cy#!!!#ec#\n\nEsto #cy#sí#ec# que es inesperado. ¿Alguien como yo y con la fuerza suficiente para derrotarte? Esto requiere más observación.\n\nTal vez sea posible convencer a esta #cg#misteriosa luchadora#ec# para que me ayude a destruir a la #cg#Supervisora#ec# también.\n\n
dialog_shara_gamestart_scene_dream_02_text	ARREGLA... ERES LA ÚNICA...\n\nREPARACIONES
dialog_shara_gamestart_scene_dream_03_text	TU PROPÓSITO... TU PODER... EL MUNDO...\n\n... TE NECESITAMOS...
dialog_shara_gamestart_scene_intro_01_text	Tangledeep, llevo años oyendo tu llamada y estoy lista. Ya no soy la niña asustada que unos cobardes abandonaron en el bosque hace años. Domino mi poder. Hoy es el día en el que voy a encontrar respuestas.
dialog_shara_gamestart_scene_intro_02_text	La primera prueba de mi misión será ver si los demás me seguirán. Construir un mundo mejor se logra persona a persona, y juro llevar a aquellos que me sigan a una vida mejor. Sé que mis aliados me aguardan en Tangledeep, puedo sentirlo.
dialog_shara_gamestart_scene_intro_text	SE REQUIERE TU PRESENCIA.
dialog_shara_intro_scene_intro_text	No volveré a ver jamás a mi familia.\n\nEstoy... Estoy sola.\n\n
dialog_shara_intro_scene_intro2_text	¿Me han abandonado a propósito…?\n\nPero si yo nunca he querido hacerle daño a nadie…\n\n
dialog_shara_intro_scene3_intro_text	¿Hola?\n\n...\n\nTengo miedo...\n\n
dialog_shara_intro_scene3_intro2_text	... ¿A dónde ha ido todo el mundo? ¿Madre? ¿Padre?\n\n
dialog_shara_note_text	A nuestra #cy#Shara#ec#:\n\nNos has dicho innumerables veces que estás destinada a un #cy#propósito#ec# superior. Despertaste incontables veces de aterradoras pesadillas, gritando que éramos un lastre para ti.\n\nLamento que ninguno de nosotros haya conseguido averiguar cuál era ese propósito, pero al menos ya no te estorbaremos.\n\nTangledeep es #cr#peligroso#ec#, pero tú también lo eres. Eres más fuerte que cualquier desafío al que llegues a enfrentarte; nunca lo olvides.\n\n
dialog_shara_postboss4victory_robot_1	SUPERVISORA.\n\nESTATUS DE SITUACIÓN: INDEFINIDO.\n\nNIVELES ACTUALES DE DA--\n\n
dialog_shara_postboss4victory_robot_10	Es posible, señora Supervisora.\n\nTras revisar los registros antiguos, parece que la #cy#Incubatrón 49.1X#ec# originó #cy#dos#ec# avatares. #cy#Incubatrón 49.1X#ec# no informó al respecto.\n\nReasignaré a #cy#Incubatrón 49.1X#ec# al procesamiento de desecho de las rana.seresvivos en el sector 3.\n\n
dialog_shara_postboss4victory_robot_11	Creemos que el otro 51 % está en el #cy#segundo avatar#ec#. En estos momentos hay un #co#vector de destrucción#ec# y saqueo que se inicia en el sector agrícola de Cantorrodado y se desplaza en nuestra dirección. Hay un 99,4 % de probabilidades de que esto indique que el otro avatar se acerca.\n\n
dialog_shara_postboss4victory_robot_12	#cr#¿Dos avatares?#ec# No éramos conscientes de que fuese posible. Por favor, notifícanos inmediatamente de todas las mejoras futuras en el wetware #cg#Cría.Humanos#ec#.\n\nPero independientemente de eso, hay que resolver este problema. Procede a #cr#desensamblar#ec# los avatares y combinar el material resultante en un nuevo avatar.\n\n
dialog_shara_postboss4victory_robot_13	A pesar de los #cy#repetidos#ec# intentos en #cg#setsdedatos.humanos#ec#, eso nunca ha funcionado.\n\n
dialog_shara_postboss4victory_robot_14	Inaceptable. Diseñamos esos patrones por un motivo.\n\nLa #ca#Savia armónica#ec# generada a través de su único #cg#arquetipo.fuerza vital.avatar#ec# no puede obtenerse en ningún otro lugar.\n\n
dialog_shara_postboss4victory_robot_15	Entendido, señora Supervisora. Solicitó permiso para #cr#reformatear#ec# todos los sectores agrícolas y empezar de nuevo.\n\nPodríamos tener un nuevo avatar preparado en tan solo #cy#quinientos doce años.#ec#\n\n
dialog_shara_postboss4victory_robot_16	Inaceptable. No podemos soportar otra ronda de tediosos análisis por parte de los #cy#demás Supervisores#ec#.\n\nEn vez de eso, permitiremos que los avatares se encuentren y observaremos los resultados. Tenemos una gran seguridad de que entenderán la importancia de su misión y de que completarán las reparaciones poco después.\n\n
dialog_shara_postboss4victory_robot_17	No comparto su optimismo, señora Supervisora.
dialog_shara_postboss4victory_robot_18	Anotado e ignorado.\n\nLos avatares siempre han estado a nuestro servicio; su Savia siempre será nuestro combustible. Al fin y al cabo, ese es su #cg#propósito#ec#. Los criaremos, guiaremos y protegeremos del #clr#Más alla#ec#.\n\n
dialog_shara_postboss4victory_robot_19	Te estoy asignando recursos adicionales en el Replicador 52. #cr#No se tolerarán#ec# más errores.\n\n
dialog_shara_postboss4victory_robot_2	UNIDAD GUARDIANA. CESA COMUNICACIÓN DE AUDIO DE INMEDIATO.\n\nCAMBIA A TRANSMISIÓN BINARIA DIRECTA.
dialog_shara_postboss4victory_robot_3	...\n\n.....\n\n001010010010010111010101011...\n\n
dialog_shara_postboss4victory_robot_4	Discúlpeme, señora Supervisora. No tengo muy claro cómo interactuar con #cy#Shara.Avatar.#ec# Sus parámetros de crecimiento divergen considerablemente de los parámetros establecidos y su comportamiento es completamente ilógico.\n\n
dialog_shara_postboss4victory_robot_5	Por favor, explícate. ¿Las #cg#unidades de saludo#ec# funcionaron incorrectamente a su llegada?\n\n
dialog_shara_postboss4victory_robot_6	No exactamente. Los resultados del escaneo fueron negativos para el ADN del avatar de reparación, ya que los patrones de #cy#Shara.Avatar#ec# solo coinciden un 49 % con el arquetipo. Revisé los datos tras la batalla y…\n\n
dialog_shara_postboss4victory_robot_7	#cr#¿¡Batalla!?#ec# Por favor, explícate de inmediato.\n\n
dialog_shara_postboss4victory_robot_8	Sí, señora Supervisora. #cy#Shara.Avatar#ec# tiende a la respuesta violenta en las confrontaciones.\n\nEsto debe ser debido al resto de los datos en su ADN del que no tenemos constancia.\n\n
dialog_shara_postboss4victory_robot_9	Una coincidencia de ADN del 49 % indica un fallo en la unidad #cy#Incubatrón#ec#.\n\n
dialog_shara_preboss2_banditshelp_1	¡#cc#Jefa#ec#, hemos venido a ayudar! ¡No dejaremos que luches sola, #cy#pío, pío#ec#!\n\n
dialog_shara_preboss2_banditshelp_2	¡#cy#Pollitos locos#ec#, mantened a esos monstruos a raya! Si puedo destruir el #cc#dispositivo#ec#, estoy segura de que los #cc#espíritus#ec# quedarán considerablemente #cr#debilitados#ec#. ¡Vigilad vuestras espaldas!\n\n
dialog_shara_preboss2_fight_1	... Solo añadir un poco más de #cr#Fuego#ec# y #cy#Rayo#ec#... Algo de #cc#Hielo#ec# y #cr#Sombra#ec#... \n\nPuedo sentir cómo se fusiona la #cc#Savia#ec#... Sí...\n\n... ¡Sí!\n\n
dialog_shara_preboss2_fight_10	#cr#¿Unirme a TI?#ec# ¿Toda esa paja blanca encima de tu cerebro de pájaro entorpece tu visión?\n\nTal vez no has evaluado claramente nuestra situación: ¡#cy#YO#ec# controlo el dispositivo, #cy#YO#ec# controló estos espíritus y #cr#TÚ#ec# estás a un comentario descortés de convertirte en mi próxima montaña de datos!\n\n
dialog_shara_preboss2_fight_11	Si tu «#cc#propósito#ec#» te lleva a «arreglar el mundo», felicidades, te ha llevado al sitio adecuado. Este poder es la #cy#esencia en bruto del cambio#ec#. Para crear, para destruir, para arreglar lo que pueda ser salvado y eliminar el resto.\n\nPero es #cy#mi#ec# poder y solo lo compartiré contigo una vez lo haya usado para controlar toda la tecnología atávica de Tangledeep.\n\nLuego haremos un mundo que me reconozca a #cy#mí#ec# como su líder omnisciente, #cc#contigo#ec# orgullosamente a mi lado.\n\n
dialog_shara_preboss2_fight_12	Si eso es lo que piensas hacer con este poder, entonces no me queda más remedio que detenerte. Yo proseguiré con tu investigación… \n\n
dialog_shara_preboss2_fight_13	...#cy#como si fuese mía propia#ec#, y nadie recordará tu nombre.\n\n
dialog_shara_preboss2_fight_2	¿Q-qué estás haciendo? Siento como si... ¡Oh, oh! ¡Oh, no! #cc#¡Jefa!#ec# ¡Ayudaaaa!\n\n
dialog_shara_preboss2_fight_3	¡¿Qué?! Eso era #cy#con mucho#ec# demasiado poder para ser canalizado por un cuerpo. ¡¿En qué estabas pensando?! ¿Acaso entiendas las fuerzas con las que estás jugando?\n\n
dialog_shara_preboss2_fight_4	Por fin, una invitada con un cerebro funcional. Qué salida de la rutina más refrescante.\n\nBienvenida a mi #cy#Centro de investigación#ec#; puedes llamarme #cy#Ingersoll#ec#.\n\nSoy un humilde estudioso de la #cc#Savia#ec#, y para responder a tu impertinente pregunta: sí. Conozco bastante bien la potencia de la Savia, y este maravilloso dispositivo es la cúspide de mi investigación.\n\n
dialog_shara_preboss2_fight_5	¿Tú... hiciste eso #cy#a propósito#ec#?\n\n
dialog_shara_preboss2_fight_6	Totalmente. La calidad de los datos obtenidos con el experimento bien valen unas cuantas #cr#plumas chamuscadas#ec#. Y los compartiré contigo. No me vendría mal una #cy#ayudante#ec# que me ayudara a organizar y preparar toda esta información.\n\n
dialog_shara_preboss2_fight_7	¡Yo #cr#no soy la ayudante de nadie#ec#, Ingersoll! ¡Y no pienso dejar que estoques ni una sola pluma más a uno de MIS #cy#Pollitos locos#ec#!\n\n
dialog_shara_preboss2_fight_8	Está bien, usaré a los inútiles donnadies de cualquiera del resto de clanes de bandidos.\n\nSé cómo funciona #cg#Tangledeep#ec#. Tú tampoco has llegado aquí sin haberte manchado las manos antes.\n\n
dialog_shara_preboss2_fight_9	Tienes razón. Tengo un #cc#propósito#ec#, y nadie podrá evitar que repare este mundo roto. Haré lo que haga falta, pero eso no significa que tú no puedas desempeñar un papel. Si te unes a mí…\n\n
dialog_shara_preboss2_passage_1	¡#cc#Jefa#ec#! ¡Por favor, tienes que ayudarnos! ¡Hay un tipo en la habitación de arriba que se ha vuelto #cy#loco de remate#ec#!\n\nTiene una magia extraña y…\n\n
dialog_shara_preboss2_passage_2	Espera, ¿qué acabas de llamarme?\n\n
dialog_shara_preboss2_passage_3	Eh... #cc#Jefa#ec#, ¿porque eres la que manda? ¡Y eres una mujer! ¡Mira, te llamaremos lo que quieras si nos ayudas a ocuparnos de ese picochalado que invoca terroríficas criaturas de la nada!\n\n
dialog_shara_preboss2_passage_4	(¿#cy#Invoca#ec# creatures? ¿Podría tener un poder como el mío? ¿Otro aliado tal vez, llamado a cumplir la causa?\n\nLos secretos de #cg#Tangledeep#ec# se van desvelando uno detrás de otro, ¡justo tal y como esperaba! ¿Qué podría...?).\n\n
dialog_shara_preboss2_passage_5	Um, ¿#cc#Jefa#ec#? ¿Hola? ¿Sigues ahi? \n\n
dialog_shara_preboss2_passage_6	¡Oh! Sí, sí. Gracias, valientes Pollitos, lo habéis hecho muy bien. Informad de esto al Duque, yo voy a investigar.\n\n
dialog_shara_preboss3_part1_1	¡Qué lugar más extraño! La #cc#Savia#ec# del ambiente da una sensación tan... estéril. No esperaba encontrar tanto metal en lo más profundo de Tangledeep, este #cy#debe#ec# ser el sitio de donde vino el dispositivo de Ingersoll.\n\n
dialog_shara_preboss3_part1_10	#cy#INDICA TU PROPÓSITO.#ec#\n\n
