abil_skill_summonvoidcrystal_name	無の水晶召喚
dialog_friendly_dirtbeak_shara_4	私もあなたと同じ。利己的な者たちの手で、故郷を追い出されたの。そしてあなたもまた、#cy#強さと信念#ec#を兼ね備えた、リーダーの心を持っているのが見える。私があなたの誇りを取り戻させてあげる。#cy#ふたりで力を合わせて#ec#、気取った言葉が無意味であることを奴らに教えてやりましょう！\n\n
dialog_friendly_dirtbeak_shara_5	コケーッ！そんな優しい言葉をかけられたのは初めてだ...って、いやその、いつだって吾輩は“最強”の鳥サマではあったがな！そして我々が手を組めば、もっと強くなれるに違いない！共にこの#cy#クソガキどもをぶっ潰してやろうぞ#ec#、#cc#青い鳥#ec#よ！我が巣の前で落ち合うとしよう。\n\n
dialog_friendly_dirtbeak_shara_6	その意気よ、公爵！私のことは#cc#シャラ#ec#と呼んで。私たちはもう友だちよ。誰にも私たちを止められない！準備が済んだら、あなたの巣で会いましょう。\n\n
dialog_friendly_dirtbeak_shara_7	おまえの望んだとおり、吾輩と#cy#バードボーイズども#ec#で縄張りを守っておるぞ。\n\n
dialog_learnskill_fromitem_button1_text	スキルを学ぶ（500JP）
dialog_learnskill_fromitem_button2_text	学ばない
dialog_relic_compareoriginal	^$getstring:nonscaled_legtext$^
dialog_relic_found_main_txt	^$getqstring:leg_item$^を<size=50><color=#ffc80a>見つけた</color>！</size>\n\n<color=#ffc80a>伝説アイテム（^$getqstring:leg_type$^）</color>\n\n^$getqstring:leg_info$^\n\n^$getqstring:leg_desc$^\n
dialog_shara_boss1_postfight_1	ま待て、落ち着け！ええと...その、票を数えてみたらですね、どうやらその、あなたがボスで決まりのようです、公爵！\n\n#cy#ピヨピヨピヨ#ec#...\n\n
dialog_shara_boss1_postfight_2	#cr#コケケケーッ！#ec#今笑ったのは誰だ、チビ鳥ども？吾輩は今、#cc#止まり木の公爵#ec#に返り咲いた！#cc#ダートビーク#ec#は#cc#愚かな本#ec#よりもはるかに強いということ、しかと覚えておけい！\n\n
dialog_shara_boss1_postfight_3	では聞け、公爵として最初の新しい指示を与える。我々が盗んできた最高の食料をたっぷりと使って、ごちそうをこしらえてみせよ！なんなら例の愚かな本を使って、たき火の炎を絶やさぬようにな！\n\n
dialog_shara_boss1_postfight_4	こうした食事は久しぶりだわ。ありがとう、ダートビーク。\n\n#cy#公正かつ断固たる権威#ec#を示せば、#cy#ボーイズ#ec#の忠誠心は二度と揺るがない。ボーイズには力が必要よ。あなたの力が。私もそう。\n\n
dialog_shara_boss1_postfight_5	私には長い旅が待っている。いつでも休める場所があれば、負担はずいぶんと和らぐわ。だからこの場所に敵が来ないよう、守っておいてくれる？\n\n
dialog_shara_boss1_postfight_6	任せておけ、#cy#青い鳥#ec#よ！吾輩と#cy#バードボーイズ#ec#が、誰にもおまえを邪魔させないよう力を尽くそう。\n\n#cc#リヴァーストーン村#ec#のコンコンチキどもが現れたらどうする？身ぐるみを剥いどくか？\n
dialog_shara_boss1_postfight_7	必要なことはすべてやって。あなたと#cy#ボーイズ#ec#は常に安全で、お腹が一杯じゃないといけない。#cc#リヴァーストーン#ec#の怠け者たちは、労せずして豊かに暮らしてる。たまには奪われる痛みを教えてあげなきゃ。\n\n油断してはだめよ、#cy#ダートビーク#ec#。私はすぐに戻るから。\n\n
dialog_shara_boss1_postfight_8	ボスはおまえで間違いない！しかしだな、#cy#コケケ#ec#...ひとつだけ言わせてくれ。タングルディープの#cy#盗賊#ec#どもの中には浅はかすぎて、吾輩の極めて寛大かつ強力なリーダーシップに従わん者もいる。というか...吾輩の#cy#バードボーイズ#ec#は今この部屋にいる者で全員なのだよ。\n\nそうであるからして、旅の途中で盗賊に出会っても、ちゅうちょなくぶっ潰してかまわんぞ。吾輩が後からボーイズに引き入れよう！\n\n
dialog_shara_boss1_prefight_1	みんな見ろヨ！#cr#オバカビーク公爵#ec#が、よちよち歩きで戻ってきたゼ！\n\nここにおまえの食いモンはねえし、おまえの指図も必要もねえ！なにせオレたちは、タングルディープで#cy#いっちゃんヤバい盗賊一味#ec#だかんな！\n\n
dialog_shara_boss1_prefight_2	おクチに気をつけるのだな、なぜなら吾輩は今回ひとりではない！わが友人たる#cc#シャラ#ec#と一緒に、貴様らに#cy#敬意#ec#の意味を二、三教えてやろう。
dialog_shara_boss1_prefight_3	あなたたちみんな、周りとは違うってだけで、公爵をのけ者にしてしまうの？公爵の#cy#食欲#ec#も#cy#サイズ#ec#も、本人にはどうにもならないことなのに？\n\n
dialog_shara_boss1_prefight_4	おい、ダートビーク。でっけえことをぶちかますのに、こんな#cr#小娘#ec#を連れてくる必要があったのかヨ？そいつは単なるネズミちゃんにすぎねえ、笑わせんじゃねえゾォ！\n\nわかったら#cr#失せナ#ec#。でないと力ずくで追い返してやんぞ、コラァ！\n\n
dialog_shara_boss1_prefight_5	#cr#コケケケケーッ！#ec#聞いたか、シャラ？！とんでもなく意地悪な奴らだ！\n\n
dialog_shara_boss1_prefight_6	ええ、そのようね。故郷のみんなを思い出すわ。彼らがいかに#cr#無知#ec#だったかを。\n\nあの頃は戦うすべを知らなかったけど...\n\n
dialog_shara_boss1_prefight_7	今はちがう。私がこのおバカさんたちの目を#cg#開かせてあげる#ec#。攻撃よ！\n\n
dialog_shara_boss2_devicedestroyed_1	装置から放たれたエネルギーが、精霊たちを#cr#弱体化#ec#させたわ！始末するチャンスよ！\n\n
dialog_shara_boss2_devicedestroyed_10	インガーソルは勘違いしていた。タングルディープにおける私の人生は、#cr#過酷な選択#ec#の連続だったから。彼の功績をひとつ挙げるとすれば、とある#cy#容易な#ec#選択を、誰にとっても明確にしたこと...\n\n
dialog_shara_boss2_devicedestroyed_11	この世界を修復するため、#cc#女大将#ec#と手を組まない者は皆...#cr#彼#ec#のような最期を迎えるの。\n\n
dialog_shara_boss2_devicedestroyed_2	私の勝ちね。装置は今も残ってる。あなたはフロウの力に値しなかった。いくら小細工しようと、その事実だけは変えられない。\n\n
dialog_shara_boss2_devicedestroyed_3	おまえは予断がすぎるぞ...その装置は...私と一緒に滅びるのだ。おまえは強いが未熟だ。乱れている。#cy#揺るぎない信念#ec#を手に入れたくば、タングルディープの心を真に理解しなければならん。そいつを自ら勝ち取る必要があるだろうが...\n\nおまえにはムリだ...できるはずもない。#cr#おまえには過酷な決断を下せる覚悟がないからな#ec#。タングルディープは想像を絶する怒りを抱えている。#cg#彼#ec#はきっとおまえを滅ぼす... #cg#彼はきっと#ec#...\n\n
dialog_shara_boss2_devicedestroyed_4	あなたの装置は紛いものだった、インガーソル。あなたもまた#cc#フロウ#ec#の支配者かと思ったけど、無様なものね。\n\nあなたはフロウの力に値しない。己を知るのが遅すぎたのよ。\n\n
dialog_shara_boss2_devicedestroyed_5	信念を伴わない力など...無意味だ。たとえ今日勝っても、おまえはタングルディープの真実を理解する前に、#cy#燃え尽きる#ec#だろう。\n\n暴力は安易な手段だが、#cr#おまえには過酷な決断を下せる覚悟がない#ec#。タングルディープは想像を絶する怒りを抱えている。#cg#彼#ec#はきっとおまえを滅ぼす... #cg#彼はきっと#ec#...\n\n
dialog_shara_boss2_devicedestroyed_6	#cy#彼？！彼女？！#ec#それって誰のこと？インガーソル...よくも私に#cr#こんな仕打ち#ec#を！\n\n
dialog_shara_boss2_devicedestroyed_7	テクノロジーを世界へ引き継ぐことなく、破壊してしまうなんて。身勝手すぎるわ。それでも...\n\n
dialog_shara_boss2_devicedestroyed_8	そして装置も破壊されてしまった。誰あろう、インガーソルのせいで。彼の視野が狭すぎたから。それでも...\n\n
dialog_shara_boss2_devicedestroyed_9	これが最後の一体である#cy#はずがない#ec#。インガーソルはこれを作ったのではなく、#cy#発見した#ec#だけ。だとしたら、似たような装置がたくさん見つかっても不思議はない。そして私はインガーソルのように、新たに手に入れた力を#cy#無駄#ec#にはしない。\n\n
dialog_shara_boss3victory_part1_1	#cr#重大なシステムエラー - シャットダウン不可避#ec#\n\n#cy##ec##cg#監督者#ec##cy#への通知を試行中...#ec#\n\n
dialog_shara_boss3victory_part1_10	けどまずは...\n\nこの魔法の鎧さんが、どんなお宝を残していったか確かめなきゃね？\n\n
dialog_shara_boss3victory_part1_11	ここにフロウの導管が...小さな水晶も...うーん...\n\nこのエネルギーは...なぜだか歪んでる。奇妙ね。\n\nそれでも...\n\n
dialog_shara_boss3victory_part1_12	#cg#監督者#ec#がこうした鋼鉄のマシンを操れるなら、私もきっとこの力を使って、#cy#他の者たち#ec#を#cr#従わせられる#ec#はず...\n\n
dialog_shara_boss3victory_part1_13	ピコピコ...\n\nピコピコビー、ピコピコ？\n\n
dialog_shara_boss3victory_part1_14	ビービー？\n\nビービーピコピコビー！\n\nビービー？\n\n
dialog_shara_boss3victory_part1_15	そうよ、触手の生えた鉄の小鳥さん。\n\n私があなたの新しい親友よ。\n\n
dialog_shara_boss3victory_part1_16	完ぺきだわ。\n\n
dialog_shara_boss3victory_part1_2	#cg#監督者#ec#？それって誰なの？誰に命令されているの？！\n\n
dialog_shara_boss3victory_part1_3	#cg#監督者オーバーライド有効#ec#\n\n#cr#自爆しマス...#ec#
dialog_shara_boss3victory_part1_4	待って！#cr#やめて！#ec#\n\n
dialog_shara_boss3victory_part1_5	#cg#監督者#ec#は自身の創造物を私に取られるよりも、破壊することを望んだ。インガーソルと同じように。\n\n今なら彼の言ったことがわかる。これだけの犠牲を伴うなら...きっと圧倒的な力のはず。\n\n
dialog_shara_boss3victory_part1_6	そう、#cy#まさに#ec#圧倒的！私は金属の魔法に囲まれている。知性や生命を宿したマシン？無から物体を生み出せる？\n\nそれって#cg#神々#ec#の力だわ。\n\n
dialog_shara_boss3victory_part1_7	これこそ、私の#cc#使命#ec#なのね。\n\n
dialog_shara_boss3victory_part1_8	#cg#タングルディープ#ec#の民は暗闇で暮らしてる。愚か者のように石や枝と戯れ、豊作を木に願い、獣を狩るために森の中をさまよっている。\n\nけど、それももうおしまい。\n\n#cr#私#ec#の力で、その悲劇に永遠の幕を下ろし、新しい明日を迎え入れてみせるわ。\n\n
dialog_shara_boss3victory_part1_9	すべては#cg#監督者#ec#と共に始まり、#cg#監督者#ec#と共に終わる。彼女はいつから、世界を変えうる力を隠し持っていたの？\n\n#cy#彼女#ec#こそ、私が修理を運命づけられている問題。すべての謎が氷塊するこの瞬間のために、私は#cy#今まで生きてきた#ec#。だったら最後まで見届けてやるわ。\n\n
dialog_shara_boss4intro_1	#cr#止まりなサイ#ec#。\n\nシャラ_生命体。計算ミスがありマシタ。あなたはシャラ_アバターでス。あらゆる破壊を中止シテ、修理を始めなサイ。\n\n
dialog_shara_boss4intro_10	アバター...\n\nアナタはこの情報を正しく処理できていまセン。\n\n
dialog_shara_boss4intro_11	情報ならすべて揃っているわ。5万2千年の時を経て...私は今真に目覚めたの。\n\nあなたの大切な#cg#監督者#ec#さんに伝えなさい。あなたに自爆を命じたなら、#cr#次はあなたが滅びる番だとね#ec#！\n\n
dialog_shara_boss4intro_2	アハッ！せっかくチャンスを与えてあげたのに、今さら騙そうなんて呆れたものね。駆け引きはもうおしまいよ、#cg#監督者#ec#！\n\n
dialog_shara_boss4intro_3	シャラ_アバターは間違っていマス。#cg#監督者#ec#は別の施設に格納されていマス。\n\nアバターよ、#cy#修理補助#ec#はあなたの義務デス。\n\n#cg#監督者#ec#の成長プランに従いなサイ。\n\n
dialog_shara_boss4intro_4	成長プランですって？私たちを汚物と暗闇の中で苦しめ続ける壮大な陰謀が、他にもあるというの？私たちふたりのためにも、これらの武器をよそへ向けて、どこに#cg#監督者#ec#がいるか教えてちょうだい。\n\n
dialog_shara_boss4intro_5	#cg#監督者#ec#は損傷していマス。今すぐ修理を始めなサイ。\n\n前回のメンテナンスサイクルは#cy#5万2千年前#ec#に実施されまシタ。\n\n
dialog_shara_boss4intro_6	#cy#5万2千年#ec#ですって...？！そんなことって...あり得るの？\n\n私がこれまでに読んだ、どれだけ古くて希少な文献でも、そこまで古くはなかったわ！\n\n私たちはそんなに長い間、#cg#監督者#ec#の牢獄に囚われていたというの？\n\n
dialog_shara_boss4intro_7	何千年もの時を重ねながら、#cy#誰一人#ec#として、#cg#監督者#ec#に抵抗するだけの力を持たなかったわけ？そんなに私たちは弱かったの？\n\n
dialog_shara_boss4intro_8	修理しなけれバ、#cg#監督者#ec#の機能停止は避けられまセン。\n\n#cy#構造物_タングルディープ#ec#は不安定になるでショウ。\n\n#cy#構造物_タングルディープ#ec#は連鎖的故障に陥るでショウ。\n\n
dialog_shara_boss4intro_9	一体どんな#cr#バケモノ#ec#なの？\n\nあなたの身勝手なご主人様は、#cr#秘密のテクノロジーが決して見つからない#ec#ようにと、この迷宮を生み出した。それが今度はタングルディープの#cr#すべて#ec#を犠牲にして、私からそれを隠そうというの？\n\n
dialog_shara_boss4victory_1	聞こえる、#cg#監督者#ec#？！\n\nこれからどうなるか分かってる？！\n\n#cr#私たちはもう、あなたの奴隷にはならないわ！#ec#\n\n
dialog_shara_boss4victory_10	ご苦労だったわ、ダートビーク。ご褒美に私が見つけた、強力な武器をあげる。けど、使う前にちゃんと#cy#注意書き#ec#を読んでね。\n\n私はこの女を探すから、あなたは#cy#アジト#ec#へ戻っていて。彼女とはきっと、有意義な話ができそうな気がする。\n\n
dialog_shara_boss4victory_11	#cy#ちゅ、注意書きを読めと#ec#...ぬ、うぐぐ... #cr#コケコケコケーッ#ec#！\n\n
dialog_shara_boss4victory_2	#cy#チュンチュン#ec#。ええと、#cc#女大将#ec#よ？\n\nおまえに大切な話があるのだ！\n\n
dialog_shara_boss4victory_3	#cy#ダートビーク！#ec#\n\n一体何を...待って...\n\n#cy#どうやって#ec#ここへ来たの？\n\n
dialog_shara_boss4victory_4	#cy#コケコケコーッ#ec#、それはただ爆発音とか、金属の燃えカスを追ってきただけであるぞ。だがな、だがな、#cc#女大将#ec#よ、何を隠そう...\n\n
dialog_shara_boss4victory_5	#cg#とんでもなく強い#ec#奴が吾輩の巣と、ボーイズ全員をぶっ潰していったのだ！\n\n
dialog_shara_boss4victory_6	リヴァーストーンの#cy#のろまなアライグマ#ec#たちが、また現れたってわけ？\n\n
dialog_shara_boss4victory_7	いや、ちがう！そいつは...二度とありえん！そうではなく、あいつは、あの女は、おまえにそっくりだったのだ、#cc#女大将#ec#よ。羽も、うろこも、翼もなかったが、おまえと同じように#cy#戦った#ec#！厄介で、手ごわい女で、しかも#cy#力#ec#を持っていた。おまけに...あまつさえ...\n\n
dialog_shara_boss4victory_8	#cy#吾輩のじゅうたんをコケにしたのだ！#ec#\n\n
dialog_shara_boss4victory_9	#cy#！！！#ec#\n\nこれって#cy#意外#ec#な展開だわ。だったら、私みたいな女がいて、あなたを倒せるくらいに強かったってわけ？この件はもっと探ってみる価値がありそう。\n\nひょっとして、この#cg#謎の戦士#ec#を説得できれば、#cg#監督者#ec#との戦いに力を貸してくれるかもしれない...\n\n
dialog_shara_gamestart_scene_dream_02_text	直ス...唯一ノ...\n\n修理ヲ...
dialog_shara_gamestart_scene_dream_03_text	あなたノ使命...能力...世界はあなたヲ...\n\n...必要としていマス...
dialog_shara_gamestart_scene_intro_01_text	ずっとその声を聞いてきたわ、タングルディープ。準備はととのった。数年前、森で臆病者に捨てられた、怯える女の子はもういない。私は力を自在に扱える。今日こそ、答えを見つけてみせるわ。
dialog_shara_gamestart_scene_intro_02_text	けどまずは、我が同志を見つけなきゃ。よりよい世界を築くため、一度に一人ずつ始めていく。そして皆をよりよい暮らしへと導いてみせる。私にはわかる。タングルディープで仲間が待っているって。そう感じるの。
dialog_shara_gamestart_scene_intro_text	あなたが必要デス
dialog_shara_intro_scene_intro_text	もう二度と家族に会えないのね。\n\n私は...ひとりぼっち...\n\n
dialog_shara_intro_scene_intro2_text	私はみんなに...捨てられた？\n\n誰も傷つける気はなかったのに...\n\n
dialog_shara_intro_scene3_intro_text	ねえ、誰か？\n\n...\n\n怖いわ...\n\n
dialog_shara_intro_scene3_intro2_text	...みんなどこへ行ったの？母さん？父さん？\n\n
dialog_shara_note_text	私たちの#cy#シャラ#ec#へ。\n\n何度も聞かされたわ。あなたには大切な#cy#使命#ec#があるって。「私の邪魔をしないで！」と絶叫しながら、恐ろしい悪夢から目覚めることも珍しくなかった。\n\nあなたを理解してあげられなくて、本当にごめんね。けど、少なくとも今はもう、誰もあなたを止めたりしない。\n\nタングルディープは#cr#危険#ec#な場所よ。けど、それはあなたも同じ。あなたは強い。どんな試練も乗り越えてみせる。そのことを決して忘れないで。\n\n
dialog_shara_postboss4victory_robot_1	監督者。\n\n状況ステータス: 未定義。\n\n現在の危険レベル...\n\n
dialog_shara_postboss4victory_robot_10	はい、監督者サマ。\n\n過去の記録を見返したトコロ、#cy#インキュバトロン49.1X#ec#ガ、#cy#2体#ec#のアバターを孵化させたモヨウ。#cy#インキュバトロン49.1X#ec#は本件を報告しておりまセン。\n\n#cy#インキュバトロン49.1X#ec#は第3セクターのカエル_生命体の廃棄処理に回しておきマス。
dialog_shara_postboss4victory_robot_11	残りの51%はおそらく、#cy#2体目のアバター#ec#が所有しているはずデス。現在、農村セクター_リヴァーストーンにオイテ、#co#破壊#ec#および略奪ベクターが始まってオリ、こちらへ向かっていマス。99.4%の確率で、もう1体のアバターが接近中カト。\n\n
dialog_shara_postboss4victory_robot_12	#cr#2体のアバター？#ec#そんなことが可能だトハ。今後の#cg#人間_繁殖#ec#ウェットウェアのアップデートはすべて、すみやかに報告するヨウニ。\n\nいずれにセヨ、本件は解決しなければならナイ。両アバターを#cr#解体#ec#シ、新たなアバターに創り変えなサイ。\n\n
dialog_shara_postboss4victory_robot_13	過去の#cg#人間_データポイント#ec#にテ、#cy#反復的#ec#に試行しまシタガ、成功しませんでシタ。\n\n
dialog_shara_postboss4victory_robot_14	許容できナイ。これらのパターンは理由があって創られたもの。\n\n彼らの一意の#cg#アバター_生命体_アーキタイプ#ec#を通じて生じる#ca#調和的なフロウ#ec#は、他では決して手に入らナイ。\n\n
dialog_shara_postboss4victory_robot_15	承知しまシタ、監督者サマ。すべての農村セクターを#cr#再フォーマット#ec#し、やり直す許可を要求しマス。\n\n新しいアバターは、#cy#512年#ec#後には用意できるものカト。\n\n
dialog_shara_postboss4victory_robot_16	許容できナイ。#cy#他の監督者#ec#にヨル、冗漫な分析には二度と耐えられナイ。\n\n代わりにアバターを引き合わせ、結果を観察スル。きっと己ガ使命の重要性を理解シ、すみやかに修理が完了されるハズ。\n\n
dialog_shara_postboss4victory_robot_17	それは甘い見通しカト、監督者サマ。
dialog_shara_postboss4victory_robot_18	留意シ、却下スル。\n\nアバターは常に我々に仕えてキタ。彼らのフロウが常に我々の力とナル。結局のところ、それこそが彼らの#cg#使命#ec#なのダ。我々は彼らを育て、導き、#clr#彼方#ec#から守ってやらネバ。\n\n
dialog_shara_postboss4victory_robot_19	第52レプリケータにて、追加のリソースを割り当てヨウ。これ以上の失敗は#cr#許容しかネル#ec#。\n\n
dialog_shara_postboss4victory_robot_2	警護ユニット。音声通信を停止セヨ。\n\n直接バイナリ通信へ切り替えなサイ。\n\n
dialog_shara_postboss4victory_robot_3	...\n\n.....\n\n001010010010010111010101011...\n\n
dialog_shara_postboss4victory_robot_4	お許しくだサイ、監督者サマ。#cy#シャラ_アバター#ec#と、どう交信すべきかわかりまセン。彼女の成長パターンは、既定のパラメータから大きく逸脱していマス。彼女の行動は完全に非論理的デス。\n\n
dialog_shara_postboss4victory_robot_5	説明ヲ。彼女が現れた時、#cg#挨拶ユニット#ec#が故障したのデハ？\n\n
dialog_shara_postboss4victory_robot_6	違いマス。スキャンの結果、#cy#シャラ_アバター#ec#のDNAパターンはアーキタイプに49%しか適合セズ、修理アバターではナイという結果が出まシタ。戦闘後、データを再確認したトコロ...\n\n
dialog_shara_postboss4victory_robot_7	#cr#戦闘トハ！？#ec#今すぐ説明ヲ。\n\n
dialog_shara_postboss4victory_robot_8	はい、監督者サマ。#cy#シャラ_アバター#ec#は挑発に対シ、暴力で応じる傾向がありマス。\n\nおそらく我々が見つけられなカッタ、彼女のDNAデータの残りの部分に起因するモノと思われマス。\n\n
dialog_shara_postboss4victory_robot_9	49%のDNA適合率からハ、#cy#インキュバトロン#ec#ユニットの故障が疑わレル。\n\n
dialog_shara_preboss2_banditshelp_1	#cc#女大将#ec#よ、助けに来たゼ！あんたをひとりでは戦わせねえさ、#cy#チュンチュン#ec#！\n\n
dialog_shara_preboss2_banditshelp_2	#cy#バードボーイズ#ec#、このバケモノどもを食い止めて！私があの#cc#装置#ec#を破壊できれば、きっと#cc#精霊たち#ec#の力は弱まるはず。油断しないで！\n\n
dialog_shara_preboss2_fight_1	...#cr#炎#ec#と#cy#雷#ec#をもう少々...そこへ#cc#氷#ec#と#cr#影#ec#を加えて... \n\nいいぞ...#cc#フロウ#ec#が凝結してゆく...\n\n...成功だ！\n\n
dialog_shara_preboss2_fight_10	#cr#仲間になるだと？#ec#その鳥アタマにのっけた白ワラのせいで、視界が曇ってしまったか？\n\nどうやら状況が飲み込めていないとみえる。装置を制御するのは#cy#この私#ec#、この精霊どもを制御するのも#cy#この私#ec#だ。そしてもう一度失言を口にした瞬間、#cr#おまえは#ec#次のデータの山となり果てる！\n\n
dialog_shara_preboss2_fight_11	仮に「世界を修理する」#cc#使命#ec#へ導かれて、ここへやって来たのであれば、おめでとう。ここがおまえのゴールだ。この力こそ、#cy#あらゆる変化を可能にする、荒々しいエッセンス#ec#。創造し、破壊し、直せるものを修理して、残りをスクラップにすることができよう。\n\nだが、これは#cy#私#ec#の力だ。そしておまえがこの力を手にできるのは、私がこの力を使って、タングルディープの古代のテクノロジーをすべて手中に収めたあとだ。\n\nその時こそ、全知全能の支配者として#cy#私#ec#を崇敬する世界を、共に創り上げようではないか。#cc#おまえは#ec#胸を張って、私のかたわらに立っていればよいのだ。\n\n
dialog_shara_preboss2_fight_12	それがあなたの計画だとしたら、私はあなたを止めるしかない。そしてあなたの研究を引き継ぎ... \n\n
dialog_shara_preboss2_fight_13	...#cy#自分のもの#ec#にしてみせる。あなたの名前を闇に葬り去ってでも！\n\n
dialog_shara_preboss2_fight_2	うおい、てめえ一体何やってんだヨ？なんだか気分が...うわうわ、よせ！やべえって！お助けくだせえ、#cc#女大将ぉぉぉぉぉっ#ec#！\n\n
dialog_shara_preboss2_fight_3	どうして？！#cy#あれだけ#ec#の力に肉体が耐えられるはずないのに、何を考えているの？！自分がどんな力を弄んでいるか、理解しているわけ？\n\n
dialog_shara_preboss2_fight_4	ようやく、話のわかる客が現れたか。気分転換にちょうどよい。\n\n我が#cy#研究所#ec#へようこそ、#cy#インガーソル#ec#だ。\n\nつましき#cc#フロウ#ec#学者である私が、おまえの無礼な質問に答えよう。いかにも、私はフロウの力を深く理解している。そしてこの驚異的な装置こそ、我が研究の最新の成果だ。\n\n
dialog_shara_preboss2_fight_5	あなたは...#cy#わざと#ec#そうしたってこと？\n\n
dialog_shara_preboss2_fight_6	いかにも。この実験からは、何人かを#cr#焼きトリ#ec#にする価値のある、濃密なデータが得られるのでな。おまえに分けてやってもよいぞ。ちょうど、こうした情報の管理を任せられる、有能な#cy#助手#ec#を探していたところだ。\n\n
dialog_shara_preboss2_fight_7	#cr#私は誰の助手にもならない#ec#、インガーソル！それにこれ以上、我が#cy#バードボーイズ#ec#を傷つけることは許さない！\n\n
dialog_shara_preboss2_fight_8	構わんさ。実験に使える無能な盗賊どもは、他にもゴロゴロしているからな。\n\n#cg#タングルディープ#ec#はそういう場所だ。おまえだって、その手を汚すことなく、ここまでやってきたのではなかろう？\n\n
dialog_shara_preboss2_fight_9	そのとおりよ。私には#cc#使命#ec#がある。どんな邪魔が入ろうと、この壊れた世界を修理してみせる。必要なことは何でもやるけど、あなたに用がないってわけじゃない。私の仲間になりさえすれば...\n\n
dialog_shara_preboss2_passage_1	#cc#女大将#ec#さん！お願いです、助けてくれヨ！この上の部屋に、#cy#トサカのイカれた#ec#変な奴がいてサ！\n\nあいつはへんてこりんな魔法を使って...\n\n
dialog_shara_preboss2_passage_2	待って、今私を何て呼んだ？\n\n
dialog_shara_preboss2_passage_3	ええと...#cc#女大将#ec#さんって。だってあんたはボスで、女じゃんかヨ？とにかく、呼び方ならあんたの好きなように合わせるからサ、このイカれた化け物を召喚するクチバシ野郎を、やっつけてくれヨ！\n\n
dialog_shara_preboss2_passage_4	（化け物を#cy#呼び出す#ec#？その人も私と同じような力を持っているの？ひょっとして宿命を帯びた、別の仲間なんじゃ？\n\n私の睨んだとおり、#cg#タングルディープ#ec#の秘密がひとつ、またひとつと解き明かされていく！一体何が...）\n\n
dialog_shara_preboss2_passage_5	なア、#cc#女大将#ec#さん？もしもーし？聞いてる？\n\n
dialog_shara_preboss2_passage_6	ああ！うん、もちろんよ。ありがとう、勇敢なバードボーイズ。みんなよくやってくれたわ。このことを公爵へ報告して。私はもっと調べてみるわ。\n\n
dialog_shara_preboss3_part1_1	なんて奇妙な場所なの！宙に舞う#cc#フロウ#ec#がとても...澄んでいる。タングルディープの中心部にこれだけの機械があるなんて...インガーソルの装置も#cy#きっと#ec#ここで生まれたんだわ。\n\n
dialog_shara_preboss3_part1_10	#cy#目的ヲ述べなサイ。#ec#\n\n
dialog_shara_preboss3_part1_11	#cc#目的ですって！？#ec#\n\n
dialog_shara_preboss3_part1_12	私の#cc#目的#ec#は明確よ。自分の#cy#力#ec#を使って、この世界を修理するため、ここへ呼ばれたの！\n\n
dialog_shara_preboss3_part1_13	#cy#シャラ_生命体、目的: アセンブラ施設へ修理ニ呼ばレタ。確認中、待機しなサイ...#ec#\n\n
dialog_shara_preboss3_part1_14	#cy#...\n\n......\n\n.........#ec#\n\n
dialog_shara_preboss3_part1_15	#cy#シャラ_生命体ノ修理アバターとノ一致度: #cr#49%#cy#\n\nあなたの目的は却下されまシタ。\n\n#cr#今すぐアセンブラ施設を立ち去りなサイ。#ec#\n\n
