abil_skill_summonvoidcrystal_name	召唤虚空水晶
dialog_shara_boss2_devicedestroyed_8	这个设备也被毁了。全都是英格索尔的错，他实在是太过目光短浅了。虽然如此……\n\n
dialog_shara_boss2_devicedestroyed_9	这种设备应该#cy#不止#ec#有一台。这并不是他自己发明的设备，他只是#cy#发现#ec#了这台设备。也就是说，我可以找到更多类似的设备。而且，我不像他，我不会#cy#浪费#ec#我所找到的力量。\n\n
dialog_shara_boss3victory_part1_1	#cr#关键系统错误 - 即将关闭#ec#\n\n#cy#正向#ec##cg#管理员#ec#发送通知\n\n
dialog_shara_boss3victory_part1_10	但首先……\n\n这个魔法盔甲后面藏了什么好宝贝？\n\n
dialog_shara_boss3victory_part1_11	有原能导管……小型水晶……唔\n\n这能量……好像有点扭曲。真奇怪。\n\n不管怎样……\n\n
dialog_shara_boss3victory_part1_12	如果这个#cg#管理员#ec#可以利用它来控制这台金属机器，我应该能够利用它来控制#cy#其他机器#ec#，让它们为#cr#我#ec#所用。\n\n
dialog_shara_boss3victory_part1_13	哔哔……\n\n啪哔噼啦？\n\n
dialog_shara_boss3victory_part1_14	啪砰？……\n\n啪哔噼啪砰！\n\n砰砰？\n\n
dialog_shara_boss3victory_part1_15	就是这样，带触手的小金属鸟。\n\n我是你新的铁哥们。\n\n
dialog_shara_boss3victory_part1_16	太完美了。\n\n
dialog_shara_boss3victory_part1_2	#cg#管理员#ec#？谁是你的“管理员”？你听命于什么人？！\n\n
dialog_shara_boss3victory_part1_3	#cg#启用管理员重写程序#ec#\n\n#cr#自毁已启动……#ec#
dialog_shara_boss3victory_part1_4	停！#cr#不！#ec#\n\n
dialog_shara_boss3victory_part1_5	这个#cg#管理员#ec#宁愿摧毁自己的发明，也不愿意让它落入我手中。简直和英格索尔如出一辙。\n\n我终于明白他的意思了。竟然有人愿意做出这程度的牺牲……这是何等强大的力量。\n\n
dialog_shara_boss3victory_part1_6	#cy#确实#ec#强大无比！这四周都是金属魔法。蕴藏着智慧和生命的机器？从虚无中创造的物质？\n\n这简直是#cg#神一般#ec#的力量。\n\n
dialog_shara_boss3victory_part1_7	这就是我的#cc#使命#ec#。\n\n
dialog_shara_boss3victory_part1_8	#cg#纷乱深渊#ec#里的其他人仍然活在愚昧的黑暗之中。他们就是一些摆弄石头和树枝的傻子，祈求树木以图获得丰收，在树林里狩猎野兽。\n\n这种情况该结束了。\n\n#cr#我的#ec#力量将为这个时代画上句号，并为我们开展崭新的未来。\n\n
dialog_shara_boss3victory_part1_9	这一切都始于，也将终于这个#cg#管理员#ec#。他藏有这些能改变世界的力量多久了？\n\n#cy#他#ec#就是我注定要解决的问题。我#cy#这一生都在等待#ec#这一刻，等待一切变得如此清晰。现在我必须完成后面的故事。\n\n
dialog_shara_boss4intro_1	#cr#停止。#ec#\n\nSHARA_LIFEFORM。存在计算错误。你是SHARA_AVATAR。停止所有破坏，开始维修。\n\n
dialog_shara_boss4intro_10	虚拟人像……\n\n你处理此信息时出现错误。\n\n
dialog_shara_boss4intro_11	我已掌握所有的信息。五万两千年……现在我终于真正认清了现实。\n\n当你那宝贵的#cg#管理员#ec#命令你自毁时，#cr#记得提醒他下一个就轮到他自己！#ec#\n\n
dialog_shara_boss4intro_2	哈！我不会再上当了，你们这些机器人休想再耍花招。不要再耍什么把戏，#cg#管理员#ec#！\n\n
dialog_shara_boss4intro_3	SHARA_AVATAR发生错误。#cg#管理员#ec#身处不同的设施。\n\n虚拟人像，受委任进行#cy#维修协助#ec#。\n\n必须遵守#cg#管理员#ec#生长计划。\n\n
dialog_shara_boss4intro_4	生长计划？他还有更多远大的计划，想要让我们们继续身陷泥泞和黑暗吗？行行好吧，把这些武器瞄准别的地方，告诉我#cg#管理员#ec#的位置。\n\n
dialog_shara_boss4intro_5	#cg#管理员#ec#已损坏。马上开始维修。\n\n上一次执行维护日期为#cy#52000年前#ec#。\n\n
dialog_shara_boss4intro_6	#cy#五万两千#ec#……？！这……怎么可能？\n\n即便是在最古老、最罕见的文字记载里，我都从未读到过这样久远的历史内容！\n\n难道我们真的被困在#cg#管理员#ec#所设的囚笼里这么久吗？\n\n
dialog_shara_boss4intro_7	成千上万年以来，难道就#cy#没有一个人#ec#有能力挑战#cg#管理员#ec#？一个人都没有？我们怎么都这么软弱？！\n\n
dialog_shara_boss4intro_8	若不进行维修，#cg#管理员#ec#即将发生故障。\n\n#cy#STRUCTURE_TANGLEDEEP#ec#的稳定性将受影响。\n\n#cy#STRUCTURE_TANGLEDEEP#ec#将发生级联故障。\n\n
dialog_shara_boss4intro_9	你们究竟#cr#丧心病狂#ec#到什么程度？\n\n你自私的主人为了确保我们#cr#永远找不到隐藏的技术#ec#，而创造了这个迷宫。现在，他宁可牺牲#cr#整片#ec#纷乱深渊也要阻止我发现这一切？\n\n
dialog_shara_boss4victory_1	你听见了吗，#cg#管理员#ec#？！\n\n你明白自己将面对怎样的下场了吗？！\n\n#cr#我们再也不会当你的囚犯了！#ec#\n\n
dialog_shara_boss4victory_10	干得好，污喙。我会送你一把我自己挖到的强力武器作为奖励，但一定要#cy#阅读使用说明#ec#。\n\n撤回到#cy#总部#ec#去，我要去找这个女人。我相信她和我会有不少事情要讨论。\n\n
dialog_shara_boss4victory_11	#cy#阅读使用说明#ec#……糟了……#cr#（嘎）#ec#\n\n
dialog_shara_boss4victory_2	#cy#（吱吱吱吱）#ec#额，#cc#大姐头#ec#？\n\n我有重要的事情要告诉你！\n\n
dialog_shara_boss4victory_3	#cy#污喙！#ec#\n\n又怎么……等等……\n\n你究竟是#cy#怎么#ec#到这里来的？\n\n
dialog_shara_boss4victory_4	#cy#嘎啊啊啊我#ec#跟着爆炸声和金属堆燃烧的痕迹就来到这里了。但，但是，#cc#大姐头#ec#，你必须听我说……\n\n
dialog_shara_boss4victory_5	一个#cg#非常非常厉害#ec#的家伙闯入了我们的老窝，还把我们都打了一顿！\n\n
dialog_shara_boss4victory_6	别告诉我又是那只#cy#从溪石来的胖浣熊#ec#和他的兄弟搞的鬼。\n\n
dialog_shara_boss4victory_7	不！怎么可能呢！……绝对不是他们！不，不，她看起来有点像你，#cc#大姐头#ec#。没有羽毛、毛皮、鳞片或是翅膀。她就连#cy#战斗#ec#方式和你如出一辙! 她很狡猾、很棘手，而且她也拥有#cy#力量#ec#。还有……还有……\n\n
dialog_shara_boss4victory_8	#cy#她侮辱了我的地毯！#ec#\n\n
dialog_shara_boss4victory_9	#cy#！！！#ec#\n\n#cy#那#ec#可真是出乎意料。一个像我一样的家伙，而且她还拥有足以打败你们的力量？这值得进一步观察。\n\n也许我可以说服这个#cg#神秘战士#ec#帮忙摧毁#cg#管理员#ec#。\n\n
dialog_shara_gamestart_scene_dream_02_text	修好……唯一……\n\n修理……
dialog_shara_gamestart_scene_dream_03_text	你的目标……你的力量……世界……\n\n……需要你……
dialog_shara_gamestart_scene_intro_01_text	纷乱深渊，我已经听到你的召唤很多年了，现在我已经准备好了。我已经不再是数年前被胆小鬼们抛弃在森林中那受到惊吓的小孩了。我已经能控制好我的力量了。今天，我会找到答案。
dialog_shara_gamestart_scene_intro_02_text	实现我使命的第一个挑战就是寻找追随我的人。建造一个更好的世界要从一个人开始，我发誓我一定会让追随我的人过上更好的生活。我知道纷乱深渊中还有很多我的盟友等着我，我能感受到他们。
dialog_shara_gamestart_scene_intro_text	我需要你
dialog_shara_intro_scene_intro_text	我再也见不到我的家人了。\n\n我……将独自一人。\n\n
dialog_shara_intro_scene_intro2_text	他们故意把我留在这……\n\n我从来没有故意伤害过任何人。\n\n
dialog_shara_intro_scene3_intro_text	有人吗？\n\n……我很害怕……\n\n
dialog_shara_intro_scene3_intro2_text	……其他人都去哪了？妈妈呢？爸爸呢？\n\n
dialog_shara_note_text	亲爱的#cy#萨拉#ec#，\n\n你告诉过我们很多次你有一些伟大的#cy#目标#ec#。你曾经无数次从恶梦中惊醒，大喊说我们在阻止你。\n\n很抱歉，我们当中没有一个人知道你的目标到底是什么，但我们也从没有阻止过你。\n\n纷乱深渊#cy#很危险#ec#，但你也一样。不要忘记，你比你所要面临的挑战都要强大。\n\n
dialog_shara_postboss4victory_robot_1	管理员。\n\n情况：未定义。\n\n当前危险水平——\n\n
dialog_shara_postboss4victory_robot_10	这不无可能，管理员女士。\n\n回顾过去的记录，似乎#cy#孵化仪49.1X#ec#孵化了#cy#两个#ec#虚拟人像。#cy#孵化仪49.1X#ec#并未提出相关报告。\n\n我将重新分配#cy#孵化仪49.1X#ec#，将其送往第3区，为“青蛙.生命体”进行废物处理工作。\n\n
dialog_shara_postboss4victory_robot_11	我们相信剩余的51%在#cy#第二个虚拟人像#ec#中。目前有一个#co#带来毁灭的载体#ec#，从溪石农场区为起点一路掠夺，直指我们所在位置。此行为有99.4%几率为另一个虚拟人像的作为。\n\n
dialog_shara_postboss4victory_robot_12	#cr#两个虚拟人像？#ec#据我所知，这应该不可能发生。若#cg#人类.繁殖#ec#湿件于未来进行任何升级，请立即通知我。\n\n无论如何，我们需要解决这个问题。开始#cr#分解#ec#虚拟人像，用所获材料组合成新的虚拟人像。\n\n
dialog_shara_postboss4victory_robot_13	此前我们对多个#cg#人类.数据点#ec#进行了#cy#多次#ec#重组尝试，却未能获得成功。\n\n
dialog_shara_postboss4victory_robot_14	不可接受。我们设计这些模型是有原因的。\n\n通过其独特的#cg#虚拟人像.生命力.原型#ec#所产生的#ca#谐波原能#ec#，是我们在其他任何地方所无法获得的。\n\n
dialog_shara_postboss4victory_robot_15	了解，管理员女士。请求允许对所有农场区#cr#重新格式化#ec#并重新开始。\n\n我们应可在最短#cy#五百零十二年#ec#内孵化一个新虚拟人像。\n\n
dialog_shara_postboss4victory_robot_16	不可接受。我不能再忍受#cy#其他管理员#ec#再次对我们进行乏味的分析。\n\n我们将允许两个虚拟人像见面，并观察其结果。我非常有信心，她们将掌握其使命的重要性，维修工作将在其后迅速完成。\n\n
dialog_shara_postboss4victory_robot_17	我认为情况不如您所想的那么乐观，主管女士。
dialog_shara_postboss4victory_robot_18	了解，但我不同意。\n\n一直以来，虚拟人像都为我们服务，她们的原能永远会为我们提供燃料。毕竟，那是她们的#cg#使命#ec#。我们会养育她们、引导她们，并保护她们不受#clr#外界#ec#的伤害。\n\n
dialog_shara_postboss4victory_robot_19	我在复制器52处为你分配额外资源。若再次犯错，我将#cr#不饶恕你#ec#。\n\n
dialog_shara_postboss4victory_robot_2	守护者单位。停止所有音频通信。\n\n切换到直接二进制传输方式。\n\n
dialog_shara_postboss4victory_robot_3	…\n\n……\n\n001010010010010111010101011…\n\n
dialog_shara_postboss4victory_robot_4	请原谅我，管理员女士。我不确定如何与#cy#萨拉.虚拟人像#ec#互动。她的成长模式大幅度偏离预设参数，她的行为完全不符合逻辑。\n\n
dialog_shara_postboss4victory_robot_5	请确认。#cg#迎宾单位#ec#在她到来时发生了故障？\n\n
dialog_shara_postboss4victory_robot_6	不完全是。扫描结果显示，她与维修虚拟人像DNA匹配结果为阴性，因#cy#萨拉.虚拟人像#ec#的格式与原型匹配度仅有49%。我查阅了战后数据——\n\n
dialog_shara_postboss4victory_robot_7	#cr#战斗！？#ec#请立即提供详细解释。\n\n
dialog_shara_postboss4victory_robot_8	是的，管理员女士。#cy#萨拉.虚拟人像#ec#在面对挑战时呈现暴力反应。\n\n这必定是由她DNA所包含的预测外数据所导致的。\n\n
dialog_shara_postboss4victory_robot_9	49%的DNA匹配度明确显示#cy#孵化仪#ec#单位已出现故障。\n\n
dialog_shara_preboss2_banditshelp_1	#cc#大姐头#ec#，我们是来帮忙的！我们不会让你独自战斗的，#cy#啾啾#ec#！\n\n
dialog_shara_preboss2_banditshelp_2	#cy#鸟人兄弟#ec#，挡下那些怪物！如果我能摧毁这个#cc#设备#ec#，我相信#cc#鬼灵#ec#的力量会被大大#cr#削弱#ec#。注意你们的背后！\n\n
dialog_shara_preboss2_fight_1	……只要再添加一点#cr#火焰#ec#和#cy#闪电#ec#……一点#cc#冰霜#ec#和#cr#暗影#ec#……\n\n我能感觉到#cc#原能#ec#正在凝聚……就是这样……\n\n……太好了！\n\n
dialog_shara_preboss2_fight_10	#cr#我加入你？#ec#长在你脑袋瓜上的那堆白色稻草使你看不清现实吗？\n\n也许你还没有清楚地意识到你的处境：是#cy#我#ec#在控制这台设备，是#cy#我#ec#在控制这些鬼灵，而#cr#你#ec#要是再说一句失礼的话，你就将成为我的下一堆数据！\n\n
dialog_shara_preboss2_fight_11	如果你所谓的“#cc#使命#ec#”指引你去“修复世界”，那么恭喜你，它引导你来到了正确的地方。这力量是#cy#变化的原始本质#ec#。它可以创造、毁灭、修复尚能被拯救的事物，并摧毁其他的一切。\n\n但这是#cy#我#ec#的力量。只有我在用它控制纷乱深渊里的所有古老技术后，我才会和你分享这股力量。\n\n然后，我们将创造一个尊#cy#我#ec#为无上统治者的世界，而#cc#你#ec#可以骄傲地伴随我左右。\n\n
dialog_shara_preboss2_fight_12	如果你打算用这种力量做那种无聊的事，那我别无选择。我只能阻止你。我会继续你的研究……\n\n
dialog_shara_preboss2_fight_13	……#cy#并占为己有#ec#，无人会记得你的名字。\n\n
dialog_shara_preboss2_fight_2	你，你在做什么？感觉就像……糟了！不好了！#cc#大姐头！#ec#救命啊啊啊！\n\n
dialog_shara_preboss2_fight_3	什么？！那种力量#cy#远远#ec#超过肉体所能承受的程度，你到底在想什么？！你真的明白自己在随意调动的是何种力量吗？\n\n
dialog_shara_preboss2_fight_4	终于来了一位大脑正常运作的客人。真是令人耳目一新。\n\n欢迎来到我的#cy#研究站#ec#，你可以称我为“#cy#英格索尔#ec#”。\n\n我是一名谦逊的#cc#原能#ec#学者，容我回答你无礼的问题：是的。我对原能的力量相当了解，而这台奇妙的设备便是我研究成果的前沿之作。\n\n
dialog_shara_preboss2_fight_5	你……你是#cy#故意#ec#这么做的？\n\n
dialog_shara_preboss2_fight_6	当然。只要能从实验中获得丰富的数据，#cr#烧焦几根羽毛#ec#又算得了什么。我愿意与你分享我的研究数据，我需要一名#cy#助理#ec#来帮忙组织和准备这些信息。\n\n
dialog_shara_preboss2_fight_7	#cr#我不会为任何人打下手#ec#，英格索尔！我也不会再让你动我的#cy#鸟人兄弟#ec#身上的一根羽毛！\n\n
dialog_shara_preboss2_fight_8	好吧，那我只好用那十几个强盗帮里那些无用的无名小卒。\n\n我知道#cg#纷乱深渊#ec#是怎么运作的。你能走到这里来，手也不可能没弄脏。\n\n
dialog_shara_preboss2_fight_9	你说得没错。我有一个#cc#使命#ec#，没有人能阻止我修复这个破碎的世界。我会尽我所能，但这并不代表你不能发挥你的作用。如果你加入我……\n\n
dialog_shara_preboss2_passage_1	#cc#大姐头#ec#！女士，请您帮帮我们！楼上房间里有个家伙#cy#彻底地疯了#ec#！!\n\n他有一种奇怪的魔法……\n\n
dialog_shara_preboss2_passage_2	等等，你刚才叫我什么？\n\n
dialog_shara_preboss2_passage_3	呃……#cc#大姐头#ec#，因为您是老大嘛？而且还是位淑女！听着，女士，如果你能帮我们对付那只能凭空召唤可怕生物的疯鸟，您让我怎么称呼您都行！\n\n
dialog_shara_preboss2_passage_4	（#cy#召唤#ec#生物？难道他拥有和我一样的力量？是命中注定要完成这项使命的一个盟友吗？\n\n#cg#纷乱深渊#ec#的秘密正一个接一个地被揭开，正如我所希望的一样！还有什么可以……）\n\n
dialog_shara_preboss2_passage_5	呃，#cc#大姐头#ec#？喂喂？您还在吗？\n\n
dialog_shara_preboss2_passage_6	哦！在，还在。谢谢你，勇敢的兄弟，你做得很好。向公爵报告这件事，我会前往调查的。\n\n
dialog_shara_preboss3_part1_1	这真是个不可思议的地方！周围的#cc#原能#ec#感觉如此……纯净。我没想到纷乱深渊的中心地带会有这么多金属制品，这#cy#肯定#ec#是英格索尔那台设备的来源地。\n\n
dialog_shara_preboss3_part1_10	#cy#说出你的目的。#ec#\n\n
dialog_shara_preboss3_part1_11	#cc#目的！？#ec#\n\n
dialog_shara_preboss3_part1_12	我的#cc#目的#ec#很明确。自我记事以来，我便一直受到召唤，叫我前来这个地方，用我的#cy#力量#ec#来修复这个世界！\n\n
dialog_shara_preboss3_part1_13	#cy#SHARA_LIFEFORM，目的：召唤至装配厂进行维修。你正在接受评估。请保持静止#ec#\n\n
dialog_shara_preboss3_part1_14	#cy#…\n\n……\n\n………#ec#\n\n
dialog_shara_preboss3_part1_15	#cy#SHARA_LIFEFORM与维修虚拟人像匹配度：#cr#49%#cy#\n\n你的目的遭拒绝。\n\n#cr#马上离开装配设施库。#ec#\n\n
dialog_shara_preboss3_part1_16	自我记事以来，我的使命就是要到这个地方来，而你竟然告诉我，我“遭拒绝”了？\n\n#cr#你好意思吗！#ec#\n\n
dialog_shara_preboss3_part1_17	我们做个交易吧。我了解到不少有关下方森林的知识。我很乐意与你分享我的发现，只要你愿意告诉我更多关于#cy#技术#ec#……\n\n
dialog_shara_preboss3_part1_18	#cr#SHARA_LIFEFORM。#ec#\n\n#cy#马上离开装配设施库，#ec##cr#否则你会被移除。\n\n#cr#这是你最后的警告。#ec#\n\n
dialog_shara_preboss3_part1_19	我#cr#绝不#ec#离开！\n\n在达成我的#cc#使命#ec#之前，我决不妥协！这个世界支离破碎，居住其中的人民生活在黑暗和无知之中。只要使用你所#cy#隐藏#ec#的技术，我就可以纠正这一切！\n\n那台可以凭空制造出物质的机器，可以结束所有因资源短缺而造成的#cy#困苦#ec#和#cy#冲突#ec#，还有……\n\n
dialog_shara_preboss3_part1_2	终于找到了！和#cy#英格索尔#ec#使用的那台设备一样，#cc#原能#ec#在这台设备里奔流着，但是到底是谁在控制它呢？\n\n等等，#cy#能量#ec#正在凝聚！\n\n
dialog_shara_preboss3_part1_20	#cr#SHARA_LIFEFORM。准备永久停机和拆卸。#ec#\n\n
dialog_shara_preboss3_part1_21	#cr#你、阻、止、不、了、我！#ec#\n\n
dialog_shara_preboss3_part1_3	什么……我刚才看到什么了？\n\n
dialog_shara_preboss3_part1_4	这台设备刚刚是不是凭空创造了#cy#物质#ec#？那不是……它#cy#应该#ec#不能……\n\n我必须#cy#马上#ec#找控制这一切的人好好谈谈。\n\n
dialog_shara_preboss3_part1_5	#cr#入侵者。入侵者。#ec#\n\n#cy#停下。不许再前进。说出你的名字#ec#\n\n
dialog_shara_preboss3_part1_6	这些魔法盔甲会#cy#说话#ec#？\n\n
dialog_shara_preboss3_part1_7	难道……有人在里面？那他们肯定很小只……\n\n
dialog_shara_preboss3_part1_8	#cr#说出你的名字。#ec#\n\n
dialog_shara_preboss3_part1_9	好吧，好吧。\n\n你好，会说话的盔甲。我叫萨拉。很高兴认识你？\n\n
dialog_waypoint_unlocked_text_shara	#big##cg#已解锁传送点！#ec##endbig#\n\n你现在可以从安全的#cc#萨拉营地#ec##cy#快速旅行#ec#至#cy#^$getstring:fasttravel_destination$^#ec#。\n\n你也可以在安全的边缘区域使用你的^tag5^。\n\n
exp_armormaster_statue_name	护甲大师的雕像
exp_armormaster_statue_text	这是一个精通所有护甲和护盾的#cy#强大守护者#ec#的雕像。\n\n这里有一个仁善的光环弥漫着#cc#原能#ec#，好像他想把#cg#他知识的碎片#ec#传授给我。\n\n我应该在这里冥想吗？\n
exp_bomb_minibombs_desc	这些小玩意是多么的可爱，我真不舍得把它们扔出去……
exp_bomb_minibombs_effectdesc	在一个小范围内造成一个小型爆炸攻击，造成当前生命^number1^的物理伤害
exp_bomb_minibombs_name	袖珍炸弹
exp_bomb_oildrum_desc	我确定一旦我找到一个合适的未知倒油出来，效果将会非常好。
exp_bomb_oildrum_effectdesc	创造一滩持续^number1^回合的浮油。油中的怪物每回合受到^number1^毒属性伤害，火属性攻击会点燃它（每回合^number3^伤害）
exp_bomb_oildrum_name	油桶
exp_campaign_select_info_mirai	米莱受与生俱来的好奇心驱使。她在溪石营地展开旅途，并在那里遇到形形色色的人。她将深入纷乱深渊，试图揭露深藏其中的秘密。\n\n感受《纷乱深渊》的核心故事，#cc#适合所有玩家，无需担心操作熟练度。#ec#赚取经验来提升等级，还可获取职业点数来学习各种独特职业的技能。
