abil_skill_summonvoidcrystal_name	Leerenkristall beschwören
dialog_shara_boss1_prefight_1	Na schau sich das einer an! Der #cr#Dummbaron#ec# watet schon wieder zurück zu uns.\n\nWir brauchen niemanden, der hierherkommt, unser Futter verdrückt und uns sagt, was wir zu tun haben! Wir sind die #cy#übelsten Banditen#ec# in Tangledeep!\n\n
dialog_shara_boss1_prefight_2	Haltet lieber euren Schnabel, denn dieses Mal komme ich mit Verstärkung! Ich und mein Kumpel #cc#Shara#ec# werden euch #cy#Respekt#ec# beibringen.
dialog_shara_boss1_prefight_3	Findet ihr es eigentlich richtig, einen von euch zu verstoßen, nur weil er anders ist? Er kann doch nichts für seinen #cy#Appetit#ec# und für seine #cy#Größe#ec# kann er erst recht nichts.\n\n
dialog_shara_boss1_prefight_4	He Schmutzschnabel, musst du wirklich ein #cr#Mädchen#ec# vorbeibringen, um dich zu verteidigen? Dass wir nicht lachen, die ist doch bloß ein Mäuschen!\n\nUnd jetzt #cr#verzieh dich#ec#, sonst gibt es was auf den Schnabel!\n\n
dialog_shara_boss1_prefight_5	#cr#KRÄCHZ!#ec# Verstehst du jetzt, was ich meine, Shara?!? Die sind echt fies!\n\n
dialog_shara_boss1_prefight_6	Ja, das sind sie. Sie erinnern mich an meine eigenen Leute und ihre #cr#Ignoranz#ec#.\n\nDamals wusste ich noch nicht, wie ich mich durchsetzen soll.\n\n
dialog_shara_boss1_prefight_7	Aber heute werde ich diese Idioten mit Freude #cg#„erleuchten“#ec#. Angriff!\n\n
dialog_shara_boss2_devicedestroyed_1	Die Energie, welche diese Maschine freigesetzt hat, hat die Geister #cr#geschwächt#ec#! Jetzt ist die perfekte Gelegenheit, ihnen den letzten Schlag zu erteilen!\n\n
dialog_shara_boss2_devicedestroyed_10	Er hat sich geirrt, was mich angeht. Mein ganzes Leben in Tangledeep bestand aus nichts anderem als #cr#schwierigen Entscheidungen#ec#. Wenigstens hat er mir den Gefallen getan, allen eine #cy#sehr einfache#ec#, glasklare Entscheidung zu geben.\n\n
dialog_shara_boss2_devicedestroyed_11	Entweder schließt du dich der #cc#Bossdame#ec# an und rettest die Welt, oder du nimmst das gleiche Ende wie #cr#er#ec#.\n\n
dialog_shara_boss2_devicedestroyed_2	Ich habe dich fertiggemacht, und die Maschine lebt weiter. Du warst der Macht des Flows niemals würdig, und kein Herumschrauben könnte das ändern.\n\n
dialog_shara_boss2_devicedestroyed_3	Da liegst du falsch … Diese Maschine … sie nimmt hier ihr Ende. Deine Kräfte sind groß, doch du bist ungeschliffen und hast keinen Fokus. Wenn du den #cy#Fokus#ec# willst, musst du versuchen, das Herz von Tangledeep zu verstehen.\n\nDoch das wirst du nicht … das kannst du nicht. #cr#Es liegt einfach nicht in deiner Natur, wirklich schwere Entscheidungen zu treffen#ec#. Tangledeep hegt einen Groll, den du niemals verstehen würdest. #cg#Er wird#ec# dich schlagen … #cg#er wird#ec# …\n\n
dialog_shara_boss2_devicedestroyed_4	Deine Maschine war bloß eine Krücke, Ingersoll. Ich dachte, du wärst ein weiterer Meister des #cc#Flows#ec#, aber schau dich jetzt mal an.\n\nDu verdienst die Kräfte des Flows nicht, das hast du noch nie.\n\n
dialog_shara_boss2_devicedestroyed_5	Stärke ohne Konzentration … ist völlig wertlos. Hier magst du gewonnen haben, doch du wirst #cy#ausbrennen#ec# noch lange, bevor du die Wahrheit über Tangledeep erfahren hast.\n\nJeder kann gewaltsam sein, aber #cr#schwere Entscheidungen zu treffen, hast du einfach nicht in dir#ec#. Tangledeep hegt einen Groll, den du niemals verstehen würdest. #cg#Er wird#ec# dich schlagen … #cg#er wird#ec# …\n\n
dialog_shara_boss2_devicedestroyed_6	#cy#Er#ec#?!? Von wem redest du? Ingersoll, du … Wie konntest du mir das #cr#ANTUN#ec#?!?\n\n
dialog_shara_boss2_devicedestroyed_7	Diese Technologie zu zerstören, anstatt sie an die Welt abzutreten? Wie egoistisch. Und dennoch …\n\n
dialog_shara_boss2_devicedestroyed_8	Somit wurde die Maschine also auch vernichtet. Und Ingersoll trägt die ganze Schuld dafür, weil er so kurzsichtig war. Aber …\n\n
dialog_shara_boss2_devicedestroyed_9	Das #cy#kann einfach nicht#ec# die einzige ihrer Art gewesen sein. Er hat sie nicht erschaffen, sondern #cy#gefunden#ec#, was bedeutet, dass ich noch viele mehr von diesen Dingern finden werde. Und anders als er werde ich diese neu gefundene Macht nicht #cy#vergeuden#ec#.\n\n
dialog_shara_boss3victory_part1_1	#cr#KRITISCHER SYSTEMAUSFALL – WIRD HERUNTERGEFAHREN#ec#\n\n#cy#BENACHRICHTIGUNGSVERSUCH#ec# AN #cg#ZENTRALANLAGE#ec#\n\n
dialog_shara_boss3victory_part1_10	Doch das Wichtigste zuerst …\n\nWelch wunderbare Schätze hat diese magische Rüstung wohl zurückgelassen?\n\n
dialog_shara_boss3victory_part1_11	Hier gibt es Stromfelder aus Flow … kleine Kristalle … hmm …\n\nDiese Energie ist … irgendwie schief. Merkwürdig.\n\nTrotzdem …\n\n
dialog_shara_boss3victory_part1_12	Wenn die #cg#Zentralanlage#ec# damit diese Metallmaschine kontrollieren konnte, dürfte ich keine Probleme haben, sie als Fokus zu benutzen, damit #cy#andere#ec# #cr#mir#ec# dienen.\n\n
dialog_shara_boss3victory_part1_13	bip bip …\n\nbep bip bibi buhp?\n\n
dialog_shara_boss3victory_part1_14	biep bipp? …\n\nbep bip bipp bip biep!\n\nbipp bipp?\n\n
dialog_shara_boss3victory_part1_15	Genau, du kleiner Metallvogel mit Tentaklen.\n\nIch bin deine neue Busenfreundin.\n\n
dialog_shara_boss3victory_part1_16	Perfekt.\n\n
dialog_shara_boss3victory_part1_2	#cg#Zentralanlage#ec#? Wer oder was ist denn deine „Zentralanlage“? Wessen Befehlen folgst du?!?\n\n
dialog_shara_boss3victory_part1_3	#cg#ZENTRALANLAGENÜBERSTEUERUNG AKTIV#ec#\n\n#cr#BEGINNE SELBSTVERNICHTUNGSPROZESS …#ec#
dialog_shara_boss3victory_part1_4	Halt! #cr#NEIN!#ec#\n\n
dialog_shara_boss3victory_part1_5	Eine #cg#Zentralanlage#ec#, die lieber ihre eigene Schöpfung zerstört als in meinen Händen sieht. Genau wie Ingersoll.\n\nJetzt verstehe ich, was er gemeint hat. So viel zu opfern … Diese Kräfte müssen wirklich immens sein.\n\n
dialog_shara_boss3victory_part1_6	Sie #cy#SIND#ec# immens! Ich bin von Metallmagie umgeben. Mit Intelligenz und Leben durchtränkte Maschinen? Aus dem Nichts erzeugte Materie?\n\nDas sind #cg#heilige#ec# Kräfte.\n\n
dialog_shara_boss3victory_part1_7	Das ist meine #cc#Berufung#ec#.\n\n
dialog_shara_boss3victory_part1_8	Der Rest von #cg#Tangledeep#ec# lebt im Dunkeln. Nur Narren spielen mit Stock und Stein, betteln die Bäume um eine reiche Ernte, kriechen durch die Wälder, um Monster zu jagen.\n\nAber das ist jetzt vorbei.\n\n#cr#Meine#ec# Kräfte werden dieses Kapitel ein für allemal beenden und uns in ein neues Morgen befördern.\n\n
dialog_shara_boss3victory_part1_9	Und mit der #cg#Zentralanlage#ec# hat es begonnen und soll es auch enden. Wie lange hortet sie schon die Kräfte, welche die Welt hätte verändern können?\n\n#cy#Sie#ec# ist das Problem, für dessen Lösung mich das Schicksal auserwählt hat. Ich habe #cy#mein ganzes Leben lang#ec# darauf gewartet, dass alles so klar ist. Jetzt muss ich es durchziehen.\n\n
dialog_shara_boss4intro_1	#cr#HALT.#ec#\n\nSHARA_LEBENSFORM. ES GAB EINEN RECHNUNGSFEHLER. DU BIST SHARA_AVATAR. ZERSTÖRUNG WIRD BEENDET UND REPARATUREN BEGONNEN.\n\n
dialog_shara_boss4intro_10	AVATAR … \n\nDU VERARBEITEST DIESE INFORMATION NICHT KORREKT.\n\n
dialog_shara_boss4intro_11	Ich habe alle Informationen, die ich brauche. Zweiundfünfzigtausend Jahre …\n\nWenn deine tolle #cg#Zentralanlage#ec# dich dazu auffordert, dich selbst zu vernichten, #cr#erinnere sie daran, dass sie als nächstes dran ist#ec#!\n\n
dialog_shara_boss4intro_2	Ha! Ihr Maschinen hattet eure Chance, ihr legt mich nicht mehr aufs Kreuz. Keine Spielchen mehr, #cg#Zentralanlage#ec#!\n\n
dialog_shara_boss4intro_3	SHARA_AVATAR IST INKORREKT. #cg#ZENTRALANLAGE#ec# IN ANDERER EINRICHTUNG UNTERGEBRACHT.\n\nAVATAR, #cy#REPARATURHILFE#ec# ANGEORDNET.\n\n#cg#ZENTRALANLAGEN#ec#-ENTWICKLUNGSPLÄNE MÜSSEN BEFOLGT WERDEN.\n\n
dialog_shara_boss4intro_4	Entwicklungspläne? Noch mehr prächtige Pläne, mit denen wir uns in Schmutz und Dunkelheit suhlen dürfen? Tu uns beiden einen Gefallen – richte deine Waffe auf ein anderes Opfer und sage mir einfach, wo die #cg#Zentralanlage#ec# ist.\n\n
dialog_shara_boss4intro_5	#cg#Zentralanlage#ec# IST BESCHÄDIGT. UNVERZÜGLICHE EINLEITUNG VON RAPARATURMAẞNAHMEN.\n\nLETZTER WARTUNGSZYKLUS VOR #cy#52.000 JAHREN#ec#.\n\n
dialog_shara_boss4intro_6	Zweiundfünfzig#cy#TAUSEND#ec#?!? Das ist … wie ist das möglich?\n\nSelbst in den ältesten, seltensten Texten habe ich noch nie von etwas gelesen, das so alt ist!\n\nSind wir etwa wirklich schon so lange im Gefängnis der #cg#ZENTRALANLAGE#ec# gefangen?\n\n
dialog_shara_boss4intro_7	Tausende und tausende von Jahren, und #cy#nicht einer#ec# hat es fertiggebracht, die #cg#Zentralanlage#ec# herauszufordern? Nicht ein einziger? Wie konnten wir nur alle so schwach sein?!?\n\n
dialog_shara_boss4intro_8	OHNE REPARATUREN IST DER AUSFALL DER #cg#ZENTRALANLAGE#ec# UNVERMEIDBAR.\n\n#cy#STRUKTUR_TANGLEDEEP#ec# WIRD INSTABIL WERDEN.\n\n#cy#STRUKTUR_TANGLEDEEP#ec# UNTERLIEGT KASKADENAUSFÄLLEN.\n\n
dialog_shara_boss4intro_9	Was für #cr#Monster#ec# seid ihr eigentlich?\n\nEuer egozentrischer Anführer hat dieses Labyrinth erschaffen, um sicherzugehen, dass wir #cr#niemals die versteckte Technologie finden#ec#. Und er opfert #cr#GANZ#ec# Tangledeep, nur um sie vor mir geheimzuhalten?\n\n
dialog_shara_boss4victory_1	Kannst du mich hören, #cg#Zentralanlage#ec#?!\n\nVerstehst du, was dir bevorsteht?\n\n#cr#Wir werden nicht länger deine Gefangenen sein!#ec#\n\n
dialog_shara_boss4victory_10	Gute Arbeit, Schmutzschnabel. Zur Belohnung gebe ich dir eine starke Waffe, die ich gefunden habe, aber #cy#lies dir unbedingt die Anleitung durch#ec#, bevor du sie verwendest.\n\nNun gehe zurück zum #cy#Hauptquartier#ec#, während ich diese Frau suche. Ich bin mir sicher, dass sie und ich uns viel zu erzählen haben werden.\n\n
dialog_shara_boss4victory_11	#cy#Anleitung lesen#ec# … oh oh … #cr#*krächz*#ec#\n\n
dialog_shara_boss4victory_2	#cy#*Pfeif pfeif*#ec# Äh, #cc#Bossdame#ec#?\n\nIch habe dir etwas Wichtiges mitzuteilen!\n\n
dialog_shara_boss4victory_3	#cy#Schmutzschnabel!#ec#\n\nWas sind … Moment mal …\n\n#cy#Wie#ec# bist du eigentlich hierhergekommen??\n\n
dialog_shara_boss4victory_4	#cy#Kräää-hich#ec# bin einfach dem Klang der Explosionen und der Spur brennender Metallhaufen gefolgt. Aber, aber, #cc#Bossdame#ec#, das musst du hören …\n\n
dialog_shara_boss4victory_5	Jemand #cg#wirklich, wirklich Starkes#ec# ist in meiner Höhle aufgetaucht und hat uns alle vermöbelt!\n\n
dialog_shara_boss4victory_6	Jetzt sag mir bloß nicht, dass es schon wieder dieser #cy#fette Waschbär aus Windbach#ec# und seine Brüder waren.\n\n
dialog_shara_boss4victory_7	Nein! Niemals! Also … niemals wieder! Nein nein, sie hat ein bisschen ausgesehen wie du, #cc#Bossdame#ec#. Keine Federn, Fell, Flügel oder Schuppen. Aber sie hat sogar #cy#gekämpft#ec# wie du! Sie war schlau und zäh, und sie hatte #cy#Kraft#ec#. Und … und …\n\n
dialog_shara_boss4victory_8	#cy#SIE HAT SICH ÜBER MEINEN TEPPICH LUSTIG GEMACHT!#ec#\n\n
dialog_shara_boss4victory_9	#cy#!!!#ec#\n\nAlso #cy#das#ec# ist wirklich komisch. Jemand wie ich, der stark genug war, um dich zu besiegen? Das muss weiter beobachtet werden.\n\nVielleicht könnte sich diese #cg#mysteriöse Kämpferin#ec# sogar dazu überreden lassen, mir bei der Vernichtung der #cg#Zentralanlage#ec# zu helfen.\n\n
dialog_shara_gamestart_scene_dream_02_text	REPARIERE  DIE EINZIGE…\n\nREPARATUR
dialog_shara_gamestart_scene_dream_03_text	DEINE BESTIMMUNG … DEINE KRAFT … DIE WELT …\n\n…BRAUCHEN DICH …
dialog_shara_gamestart_scene_intro_01_text	Tangledeep, ich höre deine Rufe schon seit Jahren, und nun bin ich bereit. Ich bin nicht mehr das verängstigte Kind, das von Feiglingen allein im Wald zurückgelassen wurde. Ich habe die Kontrolle über meine Kräfte. Heute ist der Tag, an dem ich meine Antworten finde.
dialog_shara_gamestart_scene_intro_02_text	Als ersten Test meiner Berufung muss ich herausfinden, ob mir andere folgen werden. Eine bessere Welt wird mit einer Person nach der anderen aufgebaut, und ich schwöre, dass ich jene, die mir folgen, in ein besseres Leben führen werde. Ich weiß, dass meine Verbündeten mich in Tangledeep erwarten – das spüre ich einfach.
dialog_shara_gamestart_scene_intro_text	DU WIRST GEBRAUCHT
dialog_shara_intro_scene3_intro2_text	Ich werde meine Familie nie wieder sehen.\n\nIch … bin ganz alleine.\n\n
dialog_shara_intro_scene3_intro_text	Sie haben mich absichtlich verlassen …?\n\nAber ich wollte doch nie jemandem weh tun.\n\n
dialog_shara_intro_scene_intro2_text	Hallo?\n\n…\n\nIch habe Angst …\n\n
dialog_shara_intro_scene_intro_text	… Wo sind denn alle hin? Mutter? Vater?\n\n
dialog_shara_note_text	Geliebte #cy#Shara#ec#,\n\nimmer wieder hast du uns gesagt, dass du eine größere #cy#Berufung#ec# hast. Unzählige Male bist du aus furchtbaren Alpträumen erwacht und hast geschrien, dass wir alle dich zurückhalten würden.\n\nEs tut mir so leid, dass niemand von uns herausfinden konnte, was diese Berufung ist, aber wenigstens halten wir dich jetzt nicht mehr zurück.\n\nTangledeep ist #cr#gefährlich#ec#, aber du auch. Du bist stärker als jede Herausforderung, der du dich jemals stellen wirst, vergiss das bitte nicht.\n\n
dialog_shara_postboss4victory_robot_1	ZENTRALANLAGE.\n\nAKTUELLER STATUS: UNKLAR.\n\nAKTUELLER GEFAH…\n\n
dialog_shara_postboss4victory_robot_10	Das ist möglich, gnädige Zentralanlage.\n\nBei Betrachten alter Aufzeichnungen scheint es, dass #cy#Incubatron 49.1X#ec# #cy#zwei#ec# Avatare ausgebrütet hat. #cy#Incubatron 49.1X#ec# hat darüber keinen Bericht erstattet.\n\nIch werde #cy#Incubatron 49.1X#ec# der Müllverarbeitung für die Frosch.Lebensformen in Sektor 3 zuweisen.\n\n
dialog_shara_postboss4victory_robot_11	Wir vermuten, dass sich die anderen 51 % im #cy#zweiten Avatar#ec# befinden. Es entwickelt sich zurzeit eine #co#Welle von Zerstörung#ec# und Plünderung im Farmsektor Windbach, die sich in unsere Richtung ausbreitet. Mit einer Wahrscheinlichkeit von 99,4 % deutet dies darauf hin, dass sich der andere Avatar nähert.\n\n
dialog_shara_postboss4victory_robot_12	#cr#Zwei Avatare?#ec# Wir waren uns dieser Möglichkeit gar nicht bewusst. Bitte weise uns unverzüglich auf alle zukünftigen Wetware-Upgrades in der #cg#Menschen.Zucht#ec# hin.\n\nWie dem auch sei, dieses Problem muss behoben werden. Fahre mit der #cr#Demontage#ec# der Avatare fort und kombiniere das Material zu einem neuen Avatar.\n\n
dialog_shara_postboss4victory_robot_13	Trotz #cy#wiederholter#ec# Versuche an #cg#Menschlichen.Datenpunkten#ec# hat dies bisher nie funktioniert.\n\n
dialog_shara_postboss4victory_robot_14	Absolut inakzeptabel. Wir haben diese Muster aus einem guten Grund entwickelt.\n\n#ca#Harmonisches Flow#ec#, generiert durch ihren einzigartigen #cg#Avatar.Lebenskraft.Archetypen#ec#, ist nirgendwo sonst zu finden.\n\n
dialog_shara_postboss4victory_robot_15	Verstanden, gnädige Zentralanlage. Erbitte Erlaubnis, all die Farmsektoren zu #cr#reformattieren#ec# und von vorn zu beginnen.\n\nMit etwas Glück könnten wir bereits in #cy#fünfthundertundzwölf Jahren#ec# einen neuen Avatar zur Verfügung haben.\n\n
dialog_shara_postboss4victory_robot_16	Absolut inakzeptabel. Wir können keine weitere lästige Analyse der #cy#anderen Zentralanlagen#ec# über uns ergehen lassen.\n\nStattdessen werden wir den Avataren gestatten, sich zu treffen, und dann die Ergebnisse begutachten. Wir sind höchst zuversichtlich, dass sie die Wichtigkeit ihrer Mission verstehen werden, und kurz darauf können die Reparaturen fertiggestellt werden.\n\n
dialog_shara_postboss4victory_robot_17	Ich kann diesen Optimismus nicht teilen, gnädige Zentralanlage.
dialog_shara_postboss4victory_robot_18	Zur Kenntnis genommen und abgelehnt.\n\nDie Avatare haben uns schon immer gedient, ihr Flow wird uns immer antreiben. Schließlich ist dies ihre #cg#Bestimmung#ec#. Wir werden sie nähren, leiten und vor dem #clr#Außerhalb#ec# beschützen.\n\n
dialog_shara_postboss4victory_robot_19	Ich stelle dir zusätzliche Ressourcen in Replikator 52 zur Verfügung. Weiteres Versagen wird #cr#nicht geduldet#ec#.\n\n
dialog_shara_postboss4victory_robot_2	SCHUTZEINHEIT. BEENDE AUDIO-KOMMUNIKATION.\n\nWECHSLE ZU DIREKTER BINÄRER ÜBERTRAGUNG.\n\n
dialog_shara_postboss4victory_robot_3	…\n\n……\n\n001010010010010111010101011 …\n\n
dialog_shara_postboss4victory_robot_4	Verzeih mir, gnädige Zentralanlage. Ich bin nicht sicher, wie ich mit #cy#Shara.Avatar#ec# interagieren soll. Ihre Wachstumsmuster weichen stark von den eingestellten Parametern ab, und ihr Verhalten ergibt absolut keinen Sinn.\n\n
dialog_shara_postboss4victory_robot_5	Erzähle mir mehr. Sind die #cg#Empfangseinheiten#ec# bei ihrer Ankunft ausgefallen?\n\n
dialog_shara_postboss4victory_robot_6	Nicht wirklich. Die Ergebnisse des Scans waren negativ für Reparatur-Avatar-DNA, da die Muster von #cy#Shara.Avatar#ec# und der Archetyp nur eine Übereinstimmung von 49 % besitzen. Ich habe die Daten nach dem Kampf überprüft und …\n\n
dialog_shara_postboss4victory_robot_7	#cr#Kampf!?!#ec# Erläutere dies sofort.\n\n
dialog_shara_postboss4victory_robot_8	Natürlich, gnädige Zentralanlage. #cy#Shara.Avatar#ec# neigt zu gewaltsamen Reaktionen, wenn sie herausgefordert wird.\n\nDer Grund hierfür muss in den restlichen Daten in ihrer DNA liegen, die wir nicht in Betracht gezogen haben.\n\n
dialog_shara_postboss4victory_robot_9	Eine DNA-Übereinstimmung von 49 % deutet auf einen Defekt der #cy#Incubatron#ec#-Einheit hin.\n\n
dialog_shara_preboss2_banditshelp_1	#cc#Bossdame#ec#, wir sind hier, um zu helfen! Wir lassen dich nicht alleine kämpfen, #cy#zwitscher zwitscher#ec#!\n\n
dialog_shara_preboss2_banditshelp_2	#cy#Flatterjungz#ec#, haltet diese Monster in Schach! Wenn ich die #cc#Maschine#ec# zerstören kann, werden die #cc#Geister#ec# bestimmt stark #cr#geschwächt#ec#. Seid vorsichtig!\n\n
dialog_shara_preboss2_fight_1	… nur noch ein bisschen #cr#Feuer#ec# und #cy#Blitz#ec# … eine Prise #cc#Eis#ec# und #cr#Schatten#ec# … \n\nOh ja, ich kann spüren, wie sich das #cc#Flow#ec# zusammenballt … ja …\n\n... JA!\n\n
dialog_shara_preboss2_fight_10	#cr#DIR anschließen?#ec# Versperrt dir all das weiße Stroh auf deinem Vogelhirn etwa deine Sicht?\n\nVielleicht hast du unsere Situation noch nicht richtig beurteilt: #cy#Ich#ec# kontrolliere die Maschine, #cy#ich#ec# kontrolliere diese Geister und #cr#du#ec# bist nur einen unhöflichen Kommentar davon entfernt, mein nächster Datenberg zu werden!\n\n
dialog_shara_preboss2_fight_11	Wenn dich deine „#cc#Bestimmung#ec#“ leitet, damit du die „Welt reparierst“, na dann Glückwunsch, du bist am richtigen Ort gelandet. Diese Kraft ist die #cy#rohe Essenz von Veränderung#ec#. Sie erschafft, vernichtet, repariert, was gerettet werden kann, und entsorgt den Rest.\n\nDoch es ist #cy#meine#ec# Kraft, und ich werde sie erst dann mit dir teilen, wenn ich damit all die antike Technologie von Tangledeep kontrolliert habe.\n\nDann werden wir eine Welt erschaffen, in der #cy#ich#ec# als allwissender Anführer anerkannt werde und #cc#du#ec# stolz an meiner Seite stehst.\n\n
dialog_shara_preboss2_fight_12	Wenn das deine Pläne mit dieser Kraft sind, habe ich keine andere Wahl, als dich aufzuhalten. Ich werde deine Forschungen fortsetzen …\n\n
dialog_shara_preboss2_fight_13	… #cy#als meine eigenen#ec#, und niemand wird sich an deinen Namen erinnern.\n\n
dialog_shara_preboss2_fight_2	W-was machst du denn da? Das fühlt sich an wie … oh oh! Oh nein! #cc#Bossdame!#ec# Hiiilfeee!\n\n
dialog_shara_preboss2_fight_3	Was?!? Das war #cy#viel#ec# zu viel Kraft, um sie durch einen einzigen Körper fließen zu lassen! Was hast du dir nur dabei gedacht?!? Verstehst du eigentlich, mit welchen Kräften du hier spielst?\n\n
